------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=30&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '30', 'areatype': 'county', 'topic': 'inc', 'demo': '00010', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_004.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=30&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Montana by County
Income: Median family income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"Montana",30000,65843.000000000,"33 of 52"
"United States",00000,70850.000000000,"N/A"
"Wheatland County",30107,42841.000000000,"2926 of 3141"
"Blaine County",30005,43517.000000000,"2902 of 3141"
"Glacier County",30035,43571.000000000,"2899 of 3141"
"Sanders County",30089,45221.000000000,"2824 of 3141"
"Treasure County",30103,45833.000000000,"2785 of 3141"
"Golden Valley County",30037,46250.000000000,"2756 of 3141"
"Meagher County",30059,46442.000000000,"2742 of 3141"
"Lincoln County",30053,46971.000000000,"2712 of 3141"
"Chouteau County",30015,50281.000000000,"2485 of 3141"
"Wibaux County",30109,50357.000000000,"2475 of 3141"
"Big Horn County",30003,52075.000000000,"2308 of 3141"
"Roosevelt County",30085,52344.000000000,"2280 of 3141"
"Musselshell County",30065,52868.000000000,"2220 of 3141"
"Hill County",30041,53940.000000000,"2144 of 3141"
"Fergus County",30027,54395.000000000,"2106 of 3141"
"Lake County",30047,54886.000000000,"2065 of 3141"
"Mineral County",30061,54961.000000000,"2061 of 3141"
"Pondera County",30073,54975.000000000,"2059 of 3141"
"Phillips County",30071,55432.000000000,"2016 of 3141"
"Powell County",30077,55563.000000000,"2004 of 3141"
"Granite County",30039,55982.000000000,"1964 of 3141"
"Deer Lodge County",30023,56574.000000000,"1910 of 3141"
"Toole County",30101,57893.000000000,"1779 of 3141"
"Silver Bow County",30093,58066.000000000,"1755 of 3141"
"Judith Basin County",30045,58594.000000000,"1701 of 3141"
"Ravalli County",30081,58633.000000000,"1699 of 3141"
"Powder River County",30075,60263.000000000,"1518 of 3141"
"Petroleum County",30069,61042.000000000,"1431 of 3141"
"Madison County",30057,61178.000000000,"1421 of 3141"
"Cascade County",30013,61464.000000000,"1393 of 3141"
"Carter County",30011,61579.000000000,"1380 of 3141"
"Teton County",30099,62377.000000000,"1305 of 3141"
"Prairie County",30079,62417.000000000,"1302 of 3141"
"Flathead County",30029,63685.000000000,"1181 of 3141"
"Liberty County",30051,63750.000000000,"1175 of 3141"
"Garfield County",30033,64375.000000000,"1128 of 3141"
"Sweet Grass County",30097,64643.000000000,"1097 of 3141"
"Beaverhead County",30001,65240.000000000,"1053 of 3141"
"Valley County",30105,65383.000000000,"1035 of 3141"
"McCone County",30055,65625.000000000,"1016 of 3141"
"Broadwater County",30007,66698.000000000,"944 of 3141"
"Park County",30067,66871.000000000,"930 of 3141"
"Daniels County",30019,67500.000000000,"881 of 3141"
"Dawson County",30021,68401.000000000,"817 of 3141"
"Rosebud County",30087,70617.000000000,"690 of 3141"
"Missoula County",30063,70883.000000000,"677 of 3141"
"Custer County",30017,72058.000000000,"610 of 3141"
"Yellowstone County",30111,72370.000000000,"593 of 3141"
"Fallon County",30025,72625.000000000,"578 of 3141"
"Sheridan County",30091,73021.000000000,"549 of 3141"
"Carbon County",30009,73071.000000000,"544 of 3141"
"Lewis and Clark County",30049,75577.000000000,"443 of 3141"
"Stillwater County",30095,77731.000000000,"364 of 3141"
"Jefferson County",30043,78003.000000000,"356 of 3141"
"Richland County",30083,78151.000000000,"351 of 3141"
"Gallatin County",30031,79430.000000000,"326 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income: Median family income, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#income."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
Data for United States does not include Puerto Rico.
