------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=30&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '30', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=30&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Montana by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Montana",30000,2.1,9013,"28 of 52"
"United States",00000,3.3,3975282,"N/A"
"Granite County",30039,0.0,0,"3097 of 3141"
"Meagher County",30059,0.0,0,"3097 of 3141"
"Petroleum County",30069,0.0,0,"3097 of 3141"
"Powder River County",30075,0.0,0,"3097 of 3141"
"Prairie County",30079,0.0,0,"3097 of 3141"
"Toole County",30101,0.1,2,"3091 of 3141"
"Daniels County",30019,0.1,1,"3088 of 3141"
"Judith Basin County",30045,0.3,3,"3049 of 3141"
"Fallon County",30025,0.5,6,"3001 of 3141"
"Treasure County",30103,0.5,2,"2971 of 3141"
"Golden Valley County",30037,0.6,2,"2934 of 3141"
"Valley County",30105,0.7,23,"2908 of 3141"
"Carter County",30011,0.7,4,"2884 of 3141"
"Lincoln County",30053,0.9,72,"2746 of 3141"
"Broadwater County",30007,1.0,23,"2661 of 3141"
"Sweet Grass County",30097,1.0,15,"2635 of 3141"
"Wibaux County",30109,1.0,5,"2606 of 3141"
"Park County",30067,1.2,88,"2420 of 3141"
"Carbon County",30009,1.2,54,"2398 of 3141"
"Lewis and Clark County",30049,1.3,360,"2248 of 3141"
"Custer County",30017,1.3,64,"2239 of 3141"
"Deer Lodge County",30023,1.4,55,"2162 of 3141"
"Sheridan County",30091,1.4,23,"2160 of 3141"
"Jefferson County",30043,1.4,63,"2148 of 3141"
"Sanders County",30089,1.5,74,"2047 of 3141"
"Beaverhead County",30001,1.5,59,"2044 of 3141"
"Madison County",30057,1.5,53,"2006 of 3141"
"Gallatin County",30031,1.5,630,"1972 of 3141"
"Ravalli County",30081,1.6,273,"1904 of 3141"
"Missoula County",30063,1.8,853,"1733 of 3141"
"Silver Bow County",30093,1.8,272,"1732 of 3141"
"Cascade County",30013,1.9,637,"1646 of 3141"
"Liberty County",30051,2.0,17,"1522 of 3141"
"Mineral County",30061,2.1,36,"1372 of 3141"
"Fergus County",30027,2.2,110,"1278 of 3141"
"Phillips County",30071,2.2,40,"1263 of 3141"
"Flathead County",30029,2.3,860,"1234 of 3141"
"Hill County",30041,2.3,143,"1198 of 3141"
"Garfield County",30033,2.4,11,"1073 of 3141"
"Yellowstone County",30111,2.5,1622,"997 of 3141"
"Stillwater County",30095,2.7,103,"874 of 3141"
"Chouteau County",30015,2.8,63,"848 of 3141"
"Pondera County",30073,2.8,63,"802 of 3141"
"Teton County",30099,2.9,70,"786 of 3141"
"Powell County",30077,3.1,75,"671 of 3141"
"Richland County",30083,3.3,148,"605 of 3141"
"McCone County",30055,3.3,24,"582 of 3141"
"Lake County",30047,3.3,394,"577 of 3141"
"Rosebud County",30087,3.9,126,"396 of 3141"
"Musselshell County",30065,4.2,88,"325 of 3141"
"Wheatland County",30107,4.5,37,"276 of 3141"
"Glacier County",30035,4.6,194,"261 of 3141"
"Dawson County",30021,5.0,203,"223 of 3141"
"Roosevelt County",30085,5.2,166,"208 of 3141"
"Blaine County",30005,6.1,141,"148 of 3141"
"Big Horn County",30003,15.2,563,"9 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
