------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=30&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '30', 'areatype': 'county', 'topic': 'pop', 'demo': '00022', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=30&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Montana by County
Population: Black
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Black),Rank within US
"Montana",30000,0.4,4438,"52 of 52"
"United States",00000,12.7,40610815,"N/A"
"Carter County",30011,0.0,0,"3052 of 3141"
"Daniels County",30019,0.0,0,"3052 of 3141"
"Garfield County",30033,0.0,0,"3052 of 3141"
"Judith Basin County",30045,0.0,0,"3052 of 3141"
"Liberty County",30051,0.0,0,"3052 of 3141"
"McCone County",30055,0.0,0,"3052 of 3141"
"Meagher County",30059,0.0,0,"3052 of 3141"
"Petroleum County",30069,0.0,0,"3052 of 3141"
"Phillips County",30071,0.0,0,"3052 of 3141"
"Powder River County",30075,0.0,0,"3052 of 3141"
"Prairie County",30079,0.0,0,"3052 of 3141"
"Richland County",30083,0.0,0,"3052 of 3141"
"Treasure County",30103,0.0,0,"3052 of 3141"
"Wheatland County",30107,0.0,0,"3052 of 3141"
"Wibaux County",30109,0.0,0,"3052 of 3141"
"Jefferson County",30043,0.1,6,"3015 of 3141"
"Beaverhead County",30001,0.1,6,"3004 of 3141"
"Chouteau County",30015,0.1,4,"2998 of 3141"
"Broadwater County",30007,0.1,4,"2996 of 3141"
"Lincoln County",30053,0.1,15,"2991 of 3141"
"Toole County",30101,0.1,4,"2987 of 3141"
"Rosebud County",30087,0.1,8,"2979 of 3141"
"Valley County",30105,0.1,7,"2970 of 3141"
"Ravalli County",30081,0.1,41,"2965 of 3141"
"Big Horn County",30003,0.1,14,"2958 of 3141"
"Granite County",30039,0.1,4,"2937 of 3141"
"Sweet Grass County",30097,0.1,5,"2922 of 3141"
"Sheridan County",30091,0.1,5,"2915 of 3141"
"Sanders County",30089,0.1,16,"2914 of 3141"
"Fergus County",30027,0.1,16,"2911 of 3141"
"Mineral County",30061,0.2,7,"2892 of 3141"
"Roosevelt County",30085,0.2,21,"2874 of 3141"
"Stillwater County",30095,0.2,20,"2847 of 3141"
"Lake County",30047,0.2,67,"2832 of 3141"
"Carbon County",30009,0.2,24,"2831 of 3141"
"Blaine County",30005,0.2,16,"2818 of 3141"
"Teton County",30099,0.2,15,"2813 of 3141"
"Hill County",30041,0.3,43,"2801 of 3141"
"Flathead County",30029,0.3,259,"2793 of 3141"
"Glacier County",30035,0.3,39,"2784 of 3141"
"Park County",30067,0.3,46,"2781 of 3141"
"Gallatin County",30031,0.3,318,"2741 of 3141"
"Lewis and Clark County",30049,0.3,220,"2708 of 3141"
"Deer Lodge County",30023,0.4,34,"2680 of 3141"
"Missoula County",30063,0.4,435,"2672 of 3141"
"Pondera County",30073,0.4,25,"2634 of 3141"
"Madison County",30057,0.5,37,"2568 of 3141"
"Custer County",30017,0.5,60,"2521 of 3141"
"Dawson County",30021,0.5,48,"2508 of 3141"
"Silver Bow County",30093,0.5,185,"2484 of 3141"
"Powell County",30077,0.6,43,"2375 of 3141"
"Yellowstone County",30111,0.7,1113,"2269 of 3141"
"Musselshell County",30065,0.8,39,"2181 of 3141"
"Cascade County",30013,1.3,1097,"1876 of 3141"
"Fallon County",30025,1.4,42,"1832 of 3141"
"Golden Valley County",30037,4.0,30,"1253 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Black, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
