------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=30&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '30', 'areatype': 'county', 'topic': 'pop', 'demo': '00023', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_019.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=30&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Montana by County
Population: American Indian/Alaska Native
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (AI/AN),Rank within US
"United States",00000,0.8,2632102,"N/A"
"Montana",30000,6.5,66865,"5 of 52"
"Garfield County",30033,0.0,0,"2960 of 3141"
"Golden Valley County",30037,0.0,0,"2960 of 3141"
"Liberty County",30051,0.0,0,"2960 of 3141"
"Petroleum County",30069,0.0,0,"2960 of 3141"
"Sweet Grass County",30097,0.0,0,"2960 of 3141"
"Treasure County",30103,0.0,0,"2960 of 3141"
"Wibaux County",30109,0.2,2,"2279 of 3141"
"Mineral County",30061,0.3,14,"1580 of 3141"
"Carter County",30011,0.4,5,"1437 of 3141"
"Granite County",30039,0.4,14,"1281 of 3141"
"Madison County",30057,0.5,38,"1198 of 3141"
"Daniels County",30019,0.6,10,"1072 of 3141"
"Ravalli County",30081,0.6,261,"975 of 3141"
"Musselshell County",30065,0.7,31,"944 of 3141"
"Park County",30067,0.7,114,"880 of 3141"
"Carbon County",30009,0.9,96,"719 of 3141"
"Gallatin County",30031,1.0,995,"671 of 3141"
"Lincoln County",30053,1.0,194,"661 of 3141"
"Fergus County",30027,1.0,117,"649 of 3141"
"Stillwater County",30095,1.0,98,"638 of 3141"
"Fallon County",30025,1.1,31,"628 of 3141"
"Meagher County",30059,1.2,24,"560 of 3141"
"Prairie County",30079,1.2,16,"556 of 3141"
"Deer Lodge County",30023,1.3,123,"513 of 3141"
"Teton County",30099,1.4,82,"508 of 3141"
"Sheridan County",30091,1.4,49,"504 of 3141"
"Judith Basin County",30045,1.4,27,"503 of 3141"
"Jefferson County",30043,1.4,168,"484 of 3141"
"Broadwater County",30007,1.5,84,"479 of 3141"
"Flathead County",30029,1.5,1412,"474 of 3141"
"Powder River County",30075,1.5,24,"469 of 3141"
"Custer County",30017,1.9,230,"395 of 3141"
"Lewis and Clark County",30049,2.0,1300,"389 of 3141"
"Beaverhead County",30001,2.0,188,"384 of 3141"
"Dawson County",30021,2.2,204,"363 of 3141"
"Silver Bow County",30093,2.3,791,"352 of 3141"
"Missoula County",30063,2.6,3003,"312 of 3141"
"Wheatland County",30107,2.9,62,"290 of 3141"
"Sanders County",30089,3.6,416,"253 of 3141"
"Richland County",30083,3.7,418,"251 of 3141"
"Yellowstone County",30111,4.3,6655,"226 of 3141"
"Powell County",30077,4.5,308,"221 of 3141"
"Cascade County",30013,4.7,3830,"214 of 3141"
"Toole County",30101,5.4,274,"191 of 3141"
"McCone County",30055,7.1,122,"166 of 3141"
"Valley County",30105,9.2,696,"127 of 3141"
"Phillips County",30071,11.2,464,"111 of 3141"
"Pondera County",30073,14.9,904,"75 of 3141"
"Chouteau County",30015,19.8,1151,"61 of 3141"
"Hill County",30041,24.2,3984,"52 of 3141"
"Lake County",30047,24.4,7192,"51 of 3141"
"Rosebud County",30087,37.0,3442,"40 of 3141"
"Blaine County",30005,50.4,3352,"27 of 3141"
"Roosevelt County",30085,55.4,6220,"24 of 3141"
"Glacier County",30035,64.6,8831,"20 of 3141"
"Big Horn County",30003,66.2,8799,"19 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: American Indian/Alaska Native, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
