------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=30&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '30', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=30&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Montana by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"Montana",30000,9.1,23843,"24 of 52"
"United States",00000,10.5,8253388,"N/A"
"Daniels County",30019,1.8,9,"16 of 3141"
"Garfield County",30033,3.1,10,"53 of 3141"
"Richland County",30083,3.3,98,"64 of 3141"
"Teton County",30099,3.5,54,"82 of 3141"
"Powder River County",30075,4.1,20,"138 of 3141"
"Fallon County",30025,4.3,34,"159 of 3141"
"Valley County",30105,4.9,108,"230 of 3141"
"Stillwater County",30095,5.0,136,"237 of 3141"
"Sheridan County",30091,5.0,50,"246 of 3141"
"Broadwater County",30007,5.1,79,"255 of 3141"
"Carbon County",30009,5.6,161,"342 of 3141"
"Gallatin County",30031,5.7,1358,"355 of 3141"
"Prairie County",30079,5.8,21,"369 of 3141"
"Carter County",30011,6.0,22,"413 of 3141"
"McCone County",30055,6.4,31,"493 of 3141"
"Madison County",30057,6.4,130,"497 of 3141"
"Granite County",30039,6.6,53,"529 of 3141"
"Park County",30067,6.6,281,"543 of 3141"
"Yellowstone County",30111,6.9,2778,"605 of 3141"
"Custer County",30017,6.9,221,"610 of 3141"
"Jefferson County",30043,6.9,223,"617 of 3141"
"Judith Basin County",30045,7.0,42,"627 of 3141"
"Meagher County",30059,7.2,34,"684 of 3141"
"Lewis and Clark County",30049,7.5,1287,"758 of 3141"
"Beaverhead County",30001,7.6,173,"797 of 3141"
"Sweet Grass County",30097,8.2,83,"934 of 3141"
"Liberty County",30051,8.3,46,"984 of 3141"
"Missoula County",30063,8.4,2260,"1004 of 3141"
"Flathead County",30029,8.5,2108,"1021 of 3141"
"Petroleum County",30069,8.7,11,"1065 of 3141"
"Dawson County",30021,8.8,242,"1098 of 3141"
"Wibaux County",30109,8.8,31,"1103 of 3141"
"Cascade County",30013,9.4,2012,"1228 of 3141"
"Lincoln County",30053,9.8,483,"1358 of 3141"
"Fergus County",30027,10.0,309,"1401 of 3141"
"Ravalli County",30081,10.8,1215,"1613 of 3141"
"Musselshell County",30065,11.3,150,"1734 of 3141"
"Rosebud County",30087,12.1,271,"1918 of 3141"
"Deer Lodge County",30023,12.2,283,"1936 of 3141"
"Treasure County",30103,12.4,33,"1979 of 3141"
"Toole County",30101,12.7,152,"2037 of 3141"
"Silver Bow County",30093,13.5,1118,"2193 of 3141"
"Mineral County",30061,13.6,129,"2221 of 3141"
"Powell County",30077,13.8,224,"2267 of 3141"
"Lake County",30047,14.2,1094,"2321 of 3141"
"Golden Valley County",30037,14.7,33,"2406 of 3141"
"Sanders County",30089,14.8,493,"2412 of 3141"
"Chouteau County",30015,15.2,239,"2480 of 3141"
"Phillips County",30071,16.3,176,"2607 of 3141"
"Pondera County",30073,16.7,237,"2654 of 3141"
"Hill County",30041,17.3,698,"2712 of 3141"
"Wheatland County",30107,17.5,84,"2732 of 3141"
"Big Horn County",30003,21.9,644,"2972 of 3141"
"Blaine County",30005,23.7,370,"3022 of 3141"
"Roosevelt County",30085,25.7,537,"3057 of 3141"
"Glacier County",30035,26.1,665,"3059 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Families below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
