------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=30&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '30', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=30&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Montana by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"United States",00000,82.4,264493836,"N/A"
"Montana",30000,96.4,993236,"44 of 52"
"Golden Valley County",30037,91.3,682,"832 of 3141"
"Big Horn County",30003,94.4,12547,"1202 of 3141"
"Yellowstone County",30111,94.7,147973,"1249 of 3141"
"Richland County",30083,94.8,10811,"1273 of 3141"
"Rosebud County",30087,95.2,8849,"1365 of 3141"
"Lake County",30047,95.7,28257,"1481 of 3141"
"Cascade County",30013,95.8,78355,"1491 of 3141"
"Silver Bow County",30093,95.8,33066,"1505 of 3141"
"Beaverhead County",30001,95.8,8970,"1513 of 3141"
"Meagher County",30059,95.9,1918,"1536 of 3141"
"Wibaux County",30109,96.3,1080,"1654 of 3141"
"Stillwater County",30095,96.5,9012,"1692 of 3141"
"Hill County",30041,96.5,15895,"1706 of 3141"
"Toole County",30101,96.5,4857,"1713 of 3141"
"Madison County",30057,96.6,7637,"1743 of 3141"
"Ravalli County",30081,96.7,40004,"1745 of 3141"
"Gallatin County",30031,96.7,97394,"1750 of 3141"
"Deer Lodge County",30023,96.7,8832,"1765 of 3141"
"Roosevelt County",30085,96.7,10851,"1766 of 3141"
"McCone County",30055,96.8,1672,"1777 of 3141"
"Custer County",30017,96.8,11519,"1814 of 3141"
"Missoula County",30063,96.9,110698,"1836 of 3141"
"Lewis and Clark County",30049,96.9,64248,"1845 of 3141"
"Dawson County",30021,97.0,9044,"1883 of 3141"
"Wheatland County",30107,97.2,2048,"1944 of 3141"
"Glacier County",30035,97.2,13290,"1952 of 3141"
"Daniels County",30019,97.2,1738,"1972 of 3141"
"Lincoln County",30053,97.3,18724,"2007 of 3141"
"Park County",30067,97.3,15565,"2010 of 3141"
"Sanders County",30089,97.3,11108,"2036 of 3141"
"Broadwater County",30007,97.4,5603,"2054 of 3141"
"Flathead County",30029,97.4,93623,"2057 of 3141"
"Sheridan County",30091,97.4,3477,"2086 of 3141"
"Blaine County",30005,97.5,6480,"2119 of 3141"
"Powder River County",30075,97.5,1570,"2126 of 3141"
"Valley County",30105,97.6,7376,"2144 of 3141"
"Musselshell County",30065,97.6,4651,"2156 of 3141"
"Treasure County",30103,97.6,771,"2161 of 3141"
"Carbon County",30009,97.6,10216,"2167 of 3141"
"Phillips County",30071,97.7,4042,"2188 of 3141"
"Judith Basin County",30045,97.7,1919,"2191 of 3141"
"Jefferson County",30043,97.7,11357,"2211 of 3141"
"Chouteau County",30015,97.7,5680,"2232 of 3141"
"Fergus County",30027,97.8,11078,"2269 of 3141"
"Granite County",30039,97.8,3137,"2300 of 3141"
"Powell County",30077,97.9,6710,"2346 of 3141"
"Pondera County",30073,98.1,5964,"2423 of 3141"
"Fallon County",30025,98.2,2873,"2510 of 3141"
"Sweet Grass County",30097,98.4,3589,"2629 of 3141"
"Teton County",30099,98.5,5950,"2690 of 3141"
"Prairie County",30079,98.7,1308,"2814 of 3141"
"Mineral County",30061,98.7,4141,"2829 of 3141"
"Liberty County",30051,99.1,2224,"2950 of 3141"
"Carter County",30011,99.7,1316,"3098 of 3141"
"Garfield County",30033,99.8,1084,"3119 of 3141"
"Petroleum County",30069,100.0,453,"3133 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Non-Hispanic (Origin Recode), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
