------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=30&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '30', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=30&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Montana by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"United States",00000,73.0,234370202,"N/A"
"Montana",30000,89.0,916664,"8 of 52"
"Big Horn County",30003,31.1,4127,"3085 of 3141"
"Glacier County",30035,32.2,4407,"3081 of 3141"
"Roosevelt County",30085,36.9,4144,"3059 of 3141"
"Blaine County",30005,46.5,3088,"2985 of 3141"
"Rosebud County",30087,59.6,5542,"2824 of 3141"
"Lake County",30047,67.7,19981,"2637 of 3141"
"Hill County",30041,70.8,11654,"2539 of 3141"
"Chouteau County",30015,76.6,4454,"2363 of 3141"
"Pondera County",30073,82.1,4993,"2121 of 3141"
"Phillips County",30071,85.9,3554,"1928 of 3141"
"Valley County",30105,86.6,6549,"1865 of 3141"
"Cascade County",30013,88.5,72375,"1695 of 3141"
"Golden Valley County",30037,90.4,675,"1524 of 3141"
"Toole County",30101,90.9,4572,"1469 of 3141"
"Yellowstone County",30111,90.9,142087,"1467 of 3141"
"Powell County",30077,91.1,6241,"1441 of 3141"
"McCone County",30055,91.6,1582,"1387 of 3141"
"Missoula County",30063,91.9,105007,"1333 of 3141"
"Sanders County",30089,92.1,10507,"1314 of 3141"
"Sheridan County",30091,92.6,3305,"1242 of 3141"
"Deer Lodge County",30023,93.1,8500,"1174 of 3141"
"Lewis and Clark County",30049,93.8,62193,"1043 of 3141"
"Richland County",30083,94.0,10719,"1018 of 3141"
"Silver Bow County",30093,94.4,32579,"950 of 3141"
"Custer County",30017,94.5,11235,"940 of 3141"
"Dawson County",30021,94.6,8821,"901 of 3141"
"Gallatin County",30031,94.7,95345,"891 of 3141"
"Powder River County",30075,94.7,1524,"890 of 3141"
"Jefferson County",30043,94.7,11010,"880 of 3141"
"Flathead County",30029,94.7,91067,"878 of 3141"
"Treasure County",30103,94.8,749,"864 of 3141"
"Beaverhead County",30001,94.9,8885,"841 of 3141"
"Teton County",30099,95.0,5735,"835 of 3141"
"Fallon County",30025,95.1,2782,"807 of 3141"
"Lincoln County",30053,95.3,18337,"780 of 3141"
"Sweet Grass County",30097,95.3,3475,"774 of 3141"
"Musselshell County",30065,95.3,4543,"772 of 3141"
"Madison County",30057,95.5,7546,"735 of 3141"
"Wheatland County",30107,95.5,2014,"721 of 3141"
"Stillwater County",30095,95.7,8939,"688 of 3141"
"Fergus County",30027,95.8,10849,"663 of 3141"
"Ravalli County",30081,95.8,39644,"661 of 3141"
"Meagher County",30059,95.8,1916,"660 of 3141"
"Broadwater County",30007,96.1,5533,"574 of 3141"
"Park County",30067,96.2,15390,"559 of 3141"
"Granite County",30039,96.7,3099,"423 of 3141"
"Carbon County",30009,97.0,10147,"340 of 3141"
"Judith Basin County",30045,97.4,1914,"219 of 3141"
"Mineral County",30061,97.6,4094,"167 of 3141"
"Carter County",30011,98.0,1294,"88 of 3141"
"Petroleum County",30069,98.5,446,"48 of 3141"
"Liberty County",30051,98.7,2215,"39 of 3141"
"Prairie County",30079,98.8,1309,"35 of 3141"
"Daniels County",30019,98.9,1768,"31 of 3141"
"Wibaux County",30109,99.8,1119,"5 of 3141"
"Garfield County",30033,99.9,1085,"4 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: White, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
