------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=30&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '30', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=30&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Montana by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"Montana",30000,0.4,1816,"2 of 51"
"United States",00000,4.5,5305440,"N/A"
"Broadwater County",30007,0.0,0,"1 of 3140"
"Deer Lodge County",30023,0.0,0,"1 of 3140"
"Garfield County",30033,0.0,0,"1 of 3140"
"Granite County",30039,0.0,0,"1 of 3140"
"Judith Basin County",30045,0.0,0,"1 of 3140"
"McCone County",30055,0.0,0,"1 of 3140"
"Meagher County",30059,0.0,0,"1 of 3140"
"Mineral County",30061,0.0,0,"1 of 3140"
"Musselshell County",30065,0.0,0,"1 of 3140"
"Phillips County",30071,0.0,0,"1 of 3140"
"Powder River County",30075,0.0,0,"1 of 3140"
"Prairie County",30079,0.0,0,"1 of 3140"
"Sanders County",30089,0.0,0,"1 of 3140"
"Sweet Grass County",30097,0.0,0,"1 of 3140"
"Treasure County",30103,0.0,0,"1 of 3140"
"Valley County",30105,0.0,0,"1 of 3140"
"Wibaux County",30109,0.0,0,"1 of 3140"
"Roosevelt County",30085,0.0,1,"310 of 3140"
"Custer County",30017,0.0,2,"320 of 3140"
"Lewis and Clark County",30049,0.1,27,"400 of 3140"
"Teton County",30099,0.1,3,"443 of 3140"
"Chouteau County",30015,0.1,3,"459 of 3140"
"Jefferson County",30043,0.2,7,"504 of 3140"
"Stillwater County",30095,0.2,8,"605 of 3140"
"Flathead County",30029,0.2,85,"635 of 3140"
"Lake County",30047,0.2,29,"679 of 3140"
"Lincoln County",30053,0.3,22,"718 of 3140"
"Blaine County",30005,0.3,7,"789 of 3140"
"Madison County",30057,0.3,12,"863 of 3140"
"Cascade County",30013,0.3,120,"877 of 3140"
"Carter County",30011,0.4,2,"890 of 3140"
"Glacier County",30035,0.4,15,"899 of 3140"
"Pondera County",30073,0.4,8,"903 of 3140"
"Powell County",30077,0.4,9,"926 of 3140"
"Ravalli County",30081,0.4,65,"940 of 3140"
"Dawson County",30021,0.4,16,"965 of 3140"
"Big Horn County",30003,0.4,15,"983 of 3140"
"Silver Bow County",30093,0.4,64,"1012 of 3140"
"Sheridan County",30091,0.4,7,"1013 of 3140"
"Rosebud County",30087,0.5,15,"1080 of 3140"
"Petroleum County",30069,0.5,1,"1103 of 3140"
"Yellowstone County",30111,0.5,311,"1105 of 3140"
"Wheatland County",30107,0.5,4,"1108 of 3140"
"Hill County",30041,0.5,31,"1128 of 3140"
"Richland County",30083,0.6,25,"1204 of 3140"
"Park County",30067,0.6,42,"1212 of 3140"
"Toole County",30101,0.6,11,"1260 of 3140"
"Carbon County",30009,0.6,27,"1266 of 3140"
"Gallatin County",30031,0.7,266,"1353 of 3140"
"Missoula County",30063,0.8,405,"1582 of 3140"
"Fergus County",30027,0.9,47,"1677 of 3140"
"Daniels County",30019,1.1,10,"1837 of 3140"
"Beaverhead County",30001,1.4,55,"2011 of 3140"
"Fallon County",30025,1.5,19,"2101 of 3140"
"Golden Valley County",30037,1.5,5,"2107 of 3140"
"Liberty County",30051,1.7,15,"2226 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Non-English Language: Language isolation, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#non-english."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
A "limited English speaking household" is one in which no member 14 years old and over (1) speaks only English or (2) speaks a non-English language and speaks English "very well."
Data for United States does not include Puerto Rico.
