------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=30&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '30', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=30&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Montana by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Montana",30000,2.1,14526,"2 of 52"
"United States",00000,5.4,11759554,"N/A"
"Petroleum County",30069,0.0,0,"1 of 3141"
"Sweet Grass County",30097,0.9,23,"31 of 3141"
"Golden Valley County",30037,0.9,5,"32 of 3141"
"Gallatin County",30031,1.0,626,"41 of 3141"
"Stillwater County",30095,1.0,70,"48 of 3141"
"Missoula County",30063,1.1,857,"62 of 3141"
"Beaverhead County",30001,1.2,75,"67 of 3141"
"Flathead County",30029,1.2,829,"74 of 3141"
"Meagher County",30059,1.3,18,"88 of 3141"
"Judith Basin County",30045,1.3,20,"90 of 3141"
"Park County",30067,1.3,158,"92 of 3141"
"Lewis and Clark County",30049,1.4,651,"108 of 3141"
"Fallon County",30025,1.4,28,"113 of 3141"
"Dawson County",30021,1.5,96,"130 of 3141"
"Chouteau County",30015,1.5,58,"133 of 3141"
"Broadwater County",30007,1.5,65,"157 of 3141"
"Valley County",30105,1.9,101,"276 of 3141"
"Yellowstone County",30111,1.9,2024,"277 of 3141"
"Fergus County",30027,1.9,159,"283 of 3141"
"Carbon County",30009,1.9,153,"284 of 3141"
"Daniels County",30019,1.9,25,"288 of 3141"
"Jefferson County",30043,2.0,168,"321 of 3141"
"Silver Bow County",30093,2.3,523,"455 of 3141"
"Carter County",30011,2.3,22,"458 of 3141"
"Powder River County",30075,2.3,28,"468 of 3141"
"Powell County",30077,2.3,121,"469 of 3141"
"Cascade County",30013,2.3,1284,"487 of 3141"
"McCone County",30055,2.4,29,"498 of 3141"
"Ravalli County",30081,2.4,716,"500 of 3141"
"Madison County",30057,2.4,150,"521 of 3141"
"Deer Lodge County",30023,2.5,171,"579 of 3141"
"Lake County",30047,2.5,508,"586 of 3141"
"Richland County",30083,2.8,209,"738 of 3141"
"Glacier County",30035,2.9,231,"834 of 3141"
"Prairie County",30079,3.0,29,"908 of 3141"
"Garfield County",30033,3.1,23,"928 of 3141"
"Big Horn County",30003,3.1,232,"931 of 3141"
"Granite County",30039,3.1,75,"964 of 3141"
"Blaine County",30005,3.2,128,"992 of 3141"
"Teton County",30099,3.2,133,"1000 of 3141"
"Sheridan County",30091,3.3,85,"1056 of 3141"
"Treasure County",30103,3.3,19,"1061 of 3141"
"Custer County",30017,3.3,277,"1083 of 3141"
"Rosebud County",30087,3.4,200,"1136 of 3141"
"Sanders County",30089,3.5,305,"1182 of 3141"
"Musselshell County",30065,3.6,124,"1231 of 3141"
"Hill County",30041,3.9,395,"1372 of 3141"
"Roosevelt County",30085,3.9,252,"1394 of 3141"
"Pondera County",30073,4.3,177,"1573 of 3141"
"Mineral County",30061,4.5,138,"1652 of 3141"
"Phillips County",30071,4.7,135,"1775 of 3141"
"Lincoln County",30053,4.9,711,"1824 of 3141"
"Toole County",30101,6.4,233,"2333 of 3141"
"Wibaux County",30109,7.6,62,"2603 of 3141"
"Wheatland County",30107,16.0,222,"3073 of 3141"
"Liberty County",30051,22.3,370,"3122 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than 9th grade, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
