------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=30&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '30', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=30&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Montana by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Montana",30000,30.7,216308,"21 of 52"
"United States",00000,30.9,66887603,"N/A"
"Toole County",30101,14.8,537,"2339 of 3141"
"Musselshell County",30065,15.0,516,"2310 of 3141"
"Mineral County",30061,15.2,470,"2269 of 3141"
"Roosevelt County",30085,15.5,996,"2221 of 3141"
"Fallon County",30025,15.9,312,"2127 of 3141"
"Liberty County",30051,16.3,270,"2047 of 3141"
"Carter County",30011,16.6,162,"1994 of 3141"
"Deer Lodge County",30023,17.1,1162,"1924 of 3141"
"Sanders County",30089,17.3,1506,"1880 of 3141"
"McCone County",30055,17.4,214,"1872 of 3141"
"Garfield County",30033,17.5,132,"1842 of 3141"
"Big Horn County",30003,17.6,1330,"1831 of 3141"
"Wheatland County",30107,17.8,247,"1781 of 3141"
"Phillips County",30071,18.1,516,"1740 of 3141"
"Powell County",30077,18.2,962,"1724 of 3141"
"Glacier County",30035,18.4,1461,"1691 of 3141"
"Rosebud County",30087,18.8,1097,"1618 of 3141"
"Meagher County",30059,19.6,273,"1462 of 3141"
"Richland County",30083,19.7,1485,"1458 of 3141"
"Dawson County",30021,19.8,1278,"1434 of 3141"
"Lincoln County",30053,20.4,2970,"1328 of 3141"
"Prairie County",30079,20.5,197,"1317 of 3141"
"Golden Valley County",30037,20.6,118,"1306 of 3141"
"Blaine County",30005,20.7,832,"1287 of 3141"
"Sheridan County",30091,20.8,538,"1254 of 3141"
"Valley County",30105,21.1,1121,"1222 of 3141"
"Pondera County",30073,22.1,908,"1104 of 3141"
"Custer County",30017,22.4,1862,"1066 of 3141"
"Wibaux County",30109,22.7,184,"1020 of 3141"
"Daniels County",30019,23.0,298,"972 of 3141"
"Treasure County",30103,23.1,133,"969 of 3141"
"Hill County",30041,23.7,2429,"909 of 3141"
"Teton County",30099,23.7,990,"908 of 3141"
"Granite County",30039,25.0,600,"806 of 3141"
"Stillwater County",30095,25.0,1677,"804 of 3141"
"Petroleum County",30069,25.3,93,"784 of 3141"
"Sweet Grass County",30097,25.4,676,"773 of 3141"
"Chouteau County",30015,25.6,996,"765 of 3141"
"Powder River County",30075,25.6,314,"758 of 3141"
"Silver Bow County",30093,25.9,6026,"734 of 3141"
"Lake County",30047,26.0,5231,"728 of 3141"
"Ravalli County",30081,26.5,8042,"697 of 3141"
"Cascade County",30013,27.3,15114,"629 of 3141"
"Judith Basin County",30045,28.3,434,"573 of 3141"
"Broadwater County",30007,28.6,1203,"557 of 3141"
"Flathead County",30029,29.1,19691,"532 of 3141"
"Fergus County",30027,29.5,2447,"517 of 3141"
"Yellowstone County",30111,30.2,32157,"472 of 3141"
"Madison County",30057,30.3,1889,"463 of 3141"
"Carbon County",30009,31.1,2487,"416 of 3141"
"Jefferson County",30043,32.9,2773,"342 of 3141"
"Beaverhead County",30001,33.0,2102,"338 of 3141"
"Park County",30067,34.1,4097,"298 of 3141"
"Lewis and Clark County",30049,37.5,17443,"206 of 3141"
"Missoula County",30063,42.6,32154,"116 of 3141"
"Gallatin County",30031,48.8,31156,"55 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: At least bachelors degree, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
