------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=30&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '30', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=30&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Montana by County
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Foreign Born),Rank within US
"Montana",30000,2.1,21771,"50 of 51"
"United States",00000,13.4,43028127,"N/A"
"Garfield County",30033,0.0,0,"3128 of 3140"
"Carter County",30011,0.1,1,"3123 of 3140"
"Powell County",30077,0.5,36,"2980 of 3140"
"Prairie County",30079,0.6,8,"2937 of 3140"
"Liberty County",30051,0.7,15,"2888 of 3140"
"Golden Valley County",30037,0.7,5,"2886 of 3140"
"McCone County",30055,0.8,13,"2825 of 3140"
"Treasure County",30103,0.8,6,"2818 of 3140"
"Big Horn County",30003,0.8,112,"2760 of 3140"
"Judith Basin County",30045,0.9,18,"2708 of 3140"
"Broadwater County",30007,1.2,69,"2484 of 3140"
"Phillips County",30071,1.2,50,"2474 of 3140"
"Carbon County",30009,1.3,131,"2434 of 3140"
"Blaine County",30005,1.3,84,"2419 of 3140"
"Roosevelt County",30085,1.3,143,"2413 of 3140"
"Rosebud County",30087,1.3,121,"2389 of 3140"
"Granite County",30039,1.3,42,"2385 of 3140"
"Lewis and Clark County",30049,1.3,879,"2374 of 3140"
"Teton County",30099,1.4,82,"2353 of 3140"
"Powder River County",30075,1.4,22,"2346 of 3140"
"Custer County",30017,1.4,168,"2311 of 3140"
"Jefferson County",30043,1.4,166,"2303 of 3140"
"Hill County",30041,1.4,236,"2300 of 3140"
"Meagher County",30059,1.5,30,"2247 of 3140"
"Ravalli County",30081,1.5,626,"2235 of 3140"
"Petroleum County",30069,1.5,7,"2214 of 3140"
"Dawson County",30021,1.6,147,"2195 of 3140"
"Deer Lodge County",30023,1.6,144,"2194 of 3140"
"Sweet Grass County",30097,1.6,58,"2186 of 3140"
"Stillwater County",30095,1.6,153,"2152 of 3140"
"Fallon County",30025,1.6,48,"2150 of 3140"
"Glacier County",30035,1.7,238,"2075 of 3140"
"Fergus County",30027,1.8,204,"2036 of 3140"
"Chouteau County",30015,1.9,108,"2010 of 3140"
"Valley County",30105,1.9,141,"1999 of 3140"
"Musselshell County",30065,2.0,95,"1932 of 3140"
"Mineral County",30061,2.1,86,"1901 of 3140"
"Flathead County",30029,2.1,1994,"1885 of 3140"
"Sheridan County",30091,2.1,74,"1884 of 3140"
"Yellowstone County",30111,2.1,3310,"1855 of 3140"
"Richland County",30083,2.2,248,"1823 of 3140"
"Lincoln County",30053,2.2,427,"1795 of 3140"
"Cascade County",30013,2.2,1819,"1794 of 3140"
"Pondera County",30073,2.3,138,"1768 of 3140"
"Wheatland County",30107,2.3,48,"1760 of 3140"
"Park County",30067,2.4,384,"1716 of 3140"
"Missoula County",30063,2.4,2793,"1702 of 3140"
"Lake County",30047,2.5,730,"1684 of 3140"
"Silver Bow County",30093,2.7,943,"1547 of 3140"
"Wibaux County",30109,2.8,31,"1526 of 3140"
"Toole County",30101,3.0,151,"1421 of 3140"
"Sanders County",30089,3.1,351,"1392 of 3140"
"Madison County",30057,3.1,246,"1385 of 3140"
"Daniels County",30019,3.1,56,"1381 of 3140"
"Gallatin County",30031,3.2,3178,"1370 of 3140"
"Beaverhead County",30001,3.8,358,"1170 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Foreign born, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
