------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=30&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '30', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=30&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Montana by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"Montana",30000,49.7,512002,"6 of 52"
"United States",00000,50.8,162985654,"N/A"
"Powell County",30077,38.1,2609,"23 of 3141"
"Toole County",30101,43.1,2166,"72 of 3141"
"McCone County",30055,46.6,805,"204 of 3141"
"Judith Basin County",30045,46.7,918,"219 of 3141"
"Deer Lodge County",30023,47.7,4353,"310 of 3141"
"Dawson County",30021,47.8,4455,"325 of 3141"
"Fallon County",30025,47.8,1399,"334 of 3141"
"Petroleum County",30069,48.1,218,"390 of 3141"
"Daniels County",30019,48.2,862,"405 of 3141"
"Gallatin County",30031,48.3,48676,"422 of 3141"
"Garfield County",30033,48.4,526,"446 of 3141"
"Madison County",30057,48.5,3832,"460 of 3141"
"Wheatland County",30107,48.6,1024,"474 of 3141"
"Prairie County",30079,48.6,644,"480 of 3141"
"Jefferson County",30043,48.8,5670,"528 of 3141"
"Sanders County",30089,48.8,5571,"542 of 3141"
"Liberty County",30051,49.0,1101,"616 of 3141"
"Richland County",30083,49.2,5610,"662 of 3141"
"Phillips County",30071,49.4,2043,"749 of 3141"
"Hill County",30041,49.4,8136,"776 of 3141"
"Granite County",30039,49.4,1584,"779 of 3141"
"Mineral County",30061,49.4,2073,"788 of 3141"
"Cascade County",30013,49.6,40557,"850 of 3141"
"Missoula County",30063,49.6,56641,"856 of 3141"
"Carbon County",30009,49.6,5195,"897 of 3141"
"Glacier County",30035,49.6,6789,"900 of 3141"
"Fergus County",30027,49.7,5626,"924 of 3141"
"Broadwater County",30007,49.7,2859,"930 of 3141"
"Silver Bow County",30093,49.7,17160,"963 of 3141"
"Sheridan County",30091,49.8,1776,"1006 of 3141"
"Beaverhead County",30001,49.9,4666,"1075 of 3141"
"Rosebud County",30087,49.9,4638,"1132 of 3141"
"Lincoln County",30053,50.0,9615,"1158 of 3141"
"Carter County",30011,50.0,660,"1192 of 3141"
"Park County",30067,50.0,8007,"1235 of 3141"
"Wibaux County",30109,50.0,561,"1238 of 3141"
"Golden Valley County",30037,50.1,374,"1262 of 3141"
"Blaine County",30005,50.1,3330,"1291 of 3141"
"Flathead County",30029,50.1,48182,"1299 of 3141"
"Stillwater County",30095,50.2,4691,"1386 of 3141"
"Valley County",30105,50.2,3798,"1405 of 3141"
"Custer County",30017,50.3,5979,"1434 of 3141"
"Ravalli County",30081,50.3,20813,"1457 of 3141"
"Musselshell County",30065,50.3,2398,"1488 of 3141"
"Lewis and Clark County",30049,50.4,33392,"1542 of 3141"
"Chouteau County",30015,50.4,2928,"1550 of 3141"
"Lake County",30047,50.6,14923,"1747 of 3141"
"Roosevelt County",30085,50.6,5675,"1785 of 3141"
"Big Horn County",30003,50.6,6724,"1793 of 3141"
"Pondera County",30073,50.6,3077,"1799 of 3141"
"Yellowstone County",30111,50.8,79464,"2089 of 3141"
"Teton County",30099,50.8,3071,"2101 of 3141"
"Meagher County",30059,51.4,1028,"2594 of 3141"
"Sweet Grass County",30097,51.6,1883,"2742 of 3141"
"Powder River County",30075,51.8,834,"2822 of 3141"
"Treasure County",30103,52.3,413,"2967 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Female, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
