------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=30&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '30', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=30&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Montana by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"Montana",30000,3.6,36626,"44 of 52"
"United States",00000,17.6,56510571,"N/A"
"Petroleum County",30069,0.0,0,"3133 of 3141"
"Garfield County",30033,0.2,2,"3119 of 3141"
"Carter County",30011,0.3,4,"3098 of 3141"
"Liberty County",30051,0.9,21,"2950 of 3141"
"Mineral County",30061,1.3,53,"2829 of 3141"
"Prairie County",30079,1.3,17,"2814 of 3141"
"Teton County",30099,1.5,90,"2690 of 3141"
"Sweet Grass County",30097,1.6,57,"2629 of 3141"
"Fallon County",30025,1.8,52,"2510 of 3141"
"Pondera County",30073,1.9,117,"2423 of 3141"
"Powell County",30077,2.1,142,"2346 of 3141"
"Granite County",30039,2.2,69,"2300 of 3141"
"Fergus County",30027,2.2,249,"2269 of 3141"
"Chouteau County",30015,2.3,132,"2232 of 3141"
"Jefferson County",30043,2.3,268,"2211 of 3141"
"Judith Basin County",30045,2.3,46,"2191 of 3141"
"Phillips County",30071,2.3,97,"2188 of 3141"
"Carbon County",30009,2.4,250,"2167 of 3141"
"Treasure County",30103,2.4,19,"2161 of 3141"
"Musselshell County",30065,2.4,115,"2156 of 3141"
"Valley County",30105,2.4,185,"2144 of 3141"
"Powder River County",30075,2.5,40,"2126 of 3141"
"Blaine County",30005,2.5,166,"2119 of 3141"
"Sheridan County",30091,2.6,91,"2086 of 3141"
"Flathead County",30029,2.6,2524,"2057 of 3141"
"Broadwater County",30007,2.6,152,"2054 of 3141"
"Sanders County",30089,2.7,306,"2036 of 3141"
"Park County",30067,2.7,436,"2010 of 3141"
"Lincoln County",30053,2.7,525,"2007 of 3141"
"Daniels County",30019,2.8,50,"1972 of 3141"
"Glacier County",30035,2.8,387,"1952 of 3141"
"Wheatland County",30107,2.8,60,"1944 of 3141"
"Dawson County",30021,3.0,280,"1883 of 3141"
"Lewis and Clark County",30049,3.1,2042,"1845 of 3141"
"Missoula County",30063,3.1,3533,"1836 of 3141"
"Custer County",30017,3.2,376,"1814 of 3141"
"McCone County",30055,3.2,56,"1777 of 3141"
"Roosevelt County",30085,3.3,367,"1766 of 3141"
"Deer Lodge County",30023,3.3,299,"1765 of 3141"
"Gallatin County",30031,3.3,3339,"1750 of 3141"
"Ravalli County",30081,3.3,1383,"1745 of 3141"
"Madison County",30057,3.4,265,"1743 of 3141"
"Toole County",30101,3.5,174,"1713 of 3141"
"Hill County",30041,3.5,573,"1706 of 3141"
"Stillwater County",30095,3.5,330,"1692 of 3141"
"Wibaux County",30109,3.7,41,"1654 of 3141"
"Meagher County",30059,4.1,82,"1536 of 3141"
"Beaverhead County",30001,4.2,390,"1513 of 3141"
"Silver Bow County",30093,4.2,1448,"1505 of 3141"
"Cascade County",30013,4.2,3461,"1491 of 3141"
"Lake County",30047,4.3,1261,"1481 of 3141"
"Rosebud County",30087,4.8,443,"1365 of 3141"
"Richland County",30083,5.2,594,"1273 of 3141"
"Yellowstone County",30111,5.3,8359,"1249 of 3141"
"Big Horn County",30003,5.6,743,"1202 of 3141"
"Golden Valley County",30037,8.7,65,"832 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Hispanic, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
