------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=12&areatype=county&cancer=017&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '12', 'areatype': 'county', 'cancer': '017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=12&areatype=county&cancer=017&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Florida by County

"Esophagus, 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Florida",12000,***,3.7 ,3.6, 3.8,1070,falling,-2.1 ,-3.6, -0.7
"United States",00000,***,4 ,4, 4,14989,falling,-1.0 ,-1.1, -0.8
"Gadsden County",12039,***,7.6 ,4.6, 11.8,4,*,*,*,*
"Levy County",12075,***,6.7 ,4.1, 10.8,4,*,*,*,*
"Citrus County",12017,***,6.7 ,5.4, 8.5,20,rising,1.9 ,0.6, 3.1
"Suwannee County",12121,***,5.7 ,3.3, 9.4,4,*,*,*,*
"Clay County",12019,***,5.6 ,4.3, 7.3,12,*,*,*,*
"Lake County",12069,***,5.6 ,4.7, 6.6,30,rising,1.5 ,0.3, 2.7
"Putnam County",12107,***,5.4 ,3.5, 7.9,6,stable,0.1 ,-2.2, 2.5
"Marion County",12083,***,5.2 ,4.4, 6.2,32,stable,-0.1 ,-1.0, 0.9
"Santa Rosa County",12113,***,5 ,3.7, 6.7,9,rising,2.1 ,0.1, 4.2
"St. Lucie County",12111,***,5 ,4.1, 6,23,stable,0.3 ,-1.4, 2.0
"Indian River County",12061,***,4.8 ,3.6, 6.3,14,stable,-0.5 ,-1.9, 0.8
"Polk County",12105,***,4.7 ,4.1, 5.4,42,rising,1.1 ,0.3, 1.9
"Columbia County",12023,***,4.6 ,2.8, 7.3,4,*,*,*,*
"Pasco County",12101,***,4.6 ,3.9, 5.4,35,stable,0.8 ,-0.3, 1.9
"Volusia County",12127,***,4.6 ,4, 5.3,40,stable,0.0 ,-1.0, 1.0
"Charlotte County",12015,***,4.6 ,3.6, 5.9,18,rising,2.0 ,0.2, 3.9
"Sarasota County",12115,***,4.5 ,3.8, 5.3,39,rising,1.1 ,0.2, 2.0
"Escambia County",12033,***,4.4 ,3.5, 5.5,17,stable,-0.2 ,-1.7, 1.3
"Alachua County",12001,***,4.4 ,3.3, 5.8,11,stable,0.3 ,-1.5, 2.1
"Brevard County",12009,***,4.4 ,3.8, 5,42,stable,-0.6 ,-1.6, 0.3
"St. Johns County",12109,***,4.3 ,3.3, 5.5,14,stable,-1.0 ,-2.7, 0.6
"Pinellas County",12103,***,4.2 ,3.7, 4.6,66,stable,-0.1 ,-0.9, 0.6
"Hernando County",12053,***,4.1 ,3.1, 5.3,14,falling,-6.7 ,-12.0, -1.1
"Hillsborough County",12057,***,4.1 ,3.6, 4.6,59,stable,-0.3 ,-1.0, 0.5
"Okaloosa County",12091,***,4 ,2.9, 5.4,9,stable,-0.6 ,-2.4, 1.4
"Bay County",12005,***,4 ,3, 5.4,10,stable,1.8 ,-0.9, 4.6
"Nassau County",12089,***,3.9 ,2.4, 6.2,4,falling,-3.1 ,-5.0, -1.2
"Sumter County",12119,***,3.9 ,2.9, 5.7,14,stable,-1.1 ,-3.7, 1.5
"Flagler County",12035,***,3.9 ,2.7, 5.6,8,*,*,*,*
"Duval County",12031,***,3.8 ,3.3, 4.4,37,falling,-1.4 ,-2.5, -0.4
