------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '26', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Michigan by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"United States",00000,10.5,8253388,"N/A"
"Michigan",26000,10.9,273889,"33 of 52"
"Leelanau County",26089,3.5,218,"80 of 3141"
"Livingston County",26093,3.9,2004,"114 of 3141"
"Benzie County",26019,5.0,225,"250 of 3141"
"Clinton County",26037,5.4,1100,"305 of 3141"
"Barry County",26015,5.5,916,"318 of 3141"
"Ottawa County",26139,5.6,4065,"336 of 3141"
"Grand Traverse County",26055,6.1,1453,"438 of 3141"
"Oakland County",26125,6.3,20527,"486 of 3141"
"Lapeer County",26087,6.9,1685,"603 of 3141"
"Washtenaw County",26161,7.0,5594,"643 of 3141"
"Emmet County",26047,7.1,654,"675 of 3141"
"Eaton County",26045,7.4,2139,"726 of 3141"
"Midland County",26111,7.4,1708,"739 of 3141"
"Monroe County",26115,7.7,3121,"830 of 3141"
"Charlevoix County",26029,7.8,575,"851 of 3141"
"Iron County",26071,8.0,230,"892 of 3141"
"Allegan County",26005,8.1,2491,"905 of 3141"
"Kent County",26081,8.8,13824,"1097 of 3141"
"Alger County",26003,8.8,184,"1106 of 3141"
"Antrim County",26009,8.9,610,"1126 of 3141"
"Marquette County",26103,9.0,1405,"1151 of 3141"
"Macomb County",26099,9.2,20748,"1188 of 3141"
"Houghton County",26061,9.2,694,"1191 of 3141"
"Lenawee County",26091,9.2,2320,"1194 of 3141"
"Otsego County",26137,9.3,641,"1216 of 3141"
"Ontonagon County",26131,9.4,158,"1226 of 3141"
"Menominee County",26109,9.4,606,"1251 of 3141"
"Baraga County",26013,9.4,179,"1253 of 3141"
"Ionia County",26067,9.4,1492,"1258 of 3141"
"St. Clair County",26147,9.4,4039,"1261 of 3141"
"Manistee County",26101,9.5,587,"1293 of 3141"
"Huron County",26063,9.7,867,"1330 of 3141"
"Shiawassee County",26155,9.8,1862,"1346 of 3141"
"Alpena County",26007,9.9,783,"1380 of 3141"
"Cass County",26027,9.9,1424,"1390 of 3141"
"Keweenaw County",26083,10.0,63,"1413 of 3141"
"Sanilac County",26151,10.2,1143,"1460 of 3141"
"Presque Isle County",26141,10.2,399,"1467 of 3141"
"Kalamazoo County",26077,10.2,6253,"1472 of 3141"
"Delta County",26041,10.2,1026,"1476 of 3141"
"Tuscola County",26157,10.5,1569,"1523 of 3141"
"Alcona County",26001,10.5,325,"1538 of 3141"
"Branch County",26023,10.7,1178,"1567 of 3141"
"Van Buren County",26159,10.7,2101,"1592 of 3141"
"Dickinson County",26043,10.8,794,"1614 of 3141"
"Missaukee County",26113,11.2,454,"1703 of 3141"
"Jackson County",26075,11.3,4552,"1730 of 3141"
"Crawford County",26039,11.4,449,"1756 of 3141"
"Montmorency County",26119,11.5,296,"1779 of 3141"
"Mason County",26105,11.5,899,"1795 of 3141"
"Mackinac County",26097,11.6,356,"1801 of 3141"
"Chippewa County",26033,11.6,996,"1813 of 3141"
"Hillsdale County",26059,11.7,1400,"1831 of 3141"
"Cheboygan County",26031,11.9,882,"1865 of 3141"
"St. Joseph County",26149,11.9,1983,"1869 of 3141"
"Bay County",26017,11.9,3339,"1874 of 3141"
"Iosco County",26069,11.9,847,"1875 of 3141"
"Oceana County",26127,12.1,887,"1904 of 3141"
"Isabella County",26073,12.1,1696,"1912 of 3141"
"Wexford County",26165,12.2,1091,"1946 of 3141"
"Luce County",26095,12.3,172,"1966 of 3141"
"Saginaw County",26145,12.6,6202,"2026 of 3141"
"Berrien County",26021,12.7,5139,"2030 of 3141"
"Ingham County",26065,12.7,7732,"2032 of 3141"
"Oscoda County",26135,12.7,287,"2034 of 3141"
"Montcalm County",26117,12.7,2043,"2039 of 3141"
"Arenac County",26011,12.8,553,"2054 of 3141"
"Calhoun County",26025,13.1,4451,"2126 of 3141"
"Mecosta County",26107,13.1,1256,"2129 of 3141"
"Newaygo County",26123,13.5,1735,"2199 of 3141"
"Muskegon County",26121,13.6,5937,"2210 of 3141"
"Gogebic County",26053,13.7,529,"2249 of 3141"
"Kalkaska County",26079,13.8,654,"2255 of 3141"
"Gladwin County",26051,14.4,1027,"2359 of 3141"
"Ogemaw County",26129,14.5,886,"2374 of 3141"
"Osceola County",26133,14.8,890,"2413 of 3141"
"Schoolcraft County",26153,15.0,310,"2450 of 3141"
"Roscommon County",26143,15.4,1066,"2504 of 3141"
"Genesee County",26049,15.4,16539,"2507 of 3141"
"Lake County",26085,15.6,431,"2529 of 3141"
"Gratiot County",26057,16.4,1601,"2617 of 3141"
"Clare County",26035,16.9,1398,"2669 of 3141"
"Wayne County",26163,18.5,76945,"2801 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Families below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
