------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '26', 'areatype': 'county', 'topic': 'pop', 'demo': '00023', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_019.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Michigan by County
Population: American Indian/Alaska Native
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (AI/AN),Rank within US
"Michigan",26000,0.5,51804,"24 of 52"
"United States",00000,0.8,2632102,"N/A"
"Clinton County",26037,0.1,115,"2419 of 3141"
"St. Clair County",26147,0.2,264,"2349 of 3141"
"Barry County",26015,0.2,127,"2096 of 3141"
"Shiawassee County",26155,0.2,153,"2053 of 3141"
"Keweenaw County",26083,0.2,5,"2010 of 3141"
"Kalamazoo County",26077,0.3,657,"1934 of 3141"
"Oakland County",26125,0.3,3282,"1875 of 3141"
"Livingston County",26093,0.3,495,"1871 of 3141"
"Macomb County",26099,0.3,2504,"1773 of 3141"
"Saginaw County",26145,0.3,562,"1771 of 3141"
"Ionia County",26067,0.3,187,"1766 of 3141"
"Tuscola County",26157,0.3,157,"1760 of 3141"
"Branch County",26023,0.3,132,"1715 of 3141"
"Berrien County",26021,0.3,481,"1677 of 3141"
"Houghton County",26061,0.3,116,"1639 of 3141"
"Wayne County",26163,0.3,5673,"1634 of 3141"
"Washtenaw County",26161,0.3,1214,"1575 of 3141"
"Ingham County",26065,0.3,964,"1572 of 3141"
"Ottawa County",26139,0.3,954,"1561 of 3141"
"Lapeer County",26087,0.4,309,"1519 of 3141"
"Jackson County",26075,0.4,566,"1503 of 3141"
"Bay County",26017,0.4,379,"1494 of 3141"
"Huron County",26063,0.4,115,"1487 of 3141"
"Hillsdale County",26059,0.4,172,"1447 of 3141"
"Sanilac County",26151,0.4,161,"1411 of 3141"
"Genesee County",26049,0.4,1595,"1409 of 3141"
"Monroe County",26115,0.4,591,"1389 of 3141"
"Presque Isle County",26141,0.4,52,"1366 of 3141"
"Kent County",26081,0.4,2581,"1363 of 3141"
"Mecosta County",26107,0.4,185,"1308 of 3141"
"St. Joseph County",26149,0.4,263,"1296 of 3141"
"Gratiot County",26057,0.4,180,"1283 of 3141"
"Alpena County",26007,0.4,129,"1261 of 3141"
"Lenawee County",26091,0.5,449,"1248 of 3141"
"Midland County",26111,0.5,387,"1233 of 3141"
"Oscoda County",26135,0.5,39,"1221 of 3141"
"Allegan County",26005,0.5,559,"1177 of 3141"
"Clare County",26035,0.5,165,"1099 of 3141"
"Wexford County",26165,0.5,178,"1098 of 3141"
"Crawford County",26039,0.5,75,"1094 of 3141"
"Otsego County",26137,0.6,134,"1087 of 3141"
"Eaton County",26045,0.6,616,"1060 of 3141"
"Montcalm County",26117,0.6,366,"1044 of 3141"
"Missaukee County",26113,0.6,91,"1007 of 3141"
"Muskegon County",26121,0.6,1094,"970 of 3141"
"Alcona County",26001,0.6,66,"968 of 3141"
"Kalkaska County",26079,0.6,112,"950 of 3141"
"Gladwin County",26051,0.7,167,"941 of 3141"
"Calhoun County",26025,0.7,907,"924 of 3141"
"Lake County",26085,0.7,87,"845 of 3141"
"Montmorency County",26119,0.8,70,"837 of 3141"
"Mason County",26105,0.8,226,"816 of 3141"
"Dickinson County",26043,0.8,205,"802 of 3141"
"Iosco County",26069,0.8,202,"802 of 3141"
"Newaygo County",26123,0.8,399,"777 of 3141"
"Marquette County",26103,0.8,561,"774 of 3141"
"Osceola County",26133,0.8,196,"765 of 3141"
"Antrim County",26009,0.9,197,"761 of 3141"
"Oceana County",26127,0.9,225,"756 of 3141"
"Roscommon County",26143,0.9,209,"747 of 3141"
"Van Buren County",26159,0.9,689,"720 of 3141"
"Grand Traverse County",26055,1.0,957,"637 of 3141"
"Cass County",26027,1.1,588,"581 of 3141"
"Ontonagon County",26131,1.2,71,"571 of 3141"
"Charlevoix County",26029,1.2,315,"559 of 3141"
"Ogemaw County",26129,1.2,253,"558 of 3141"
"Iron County",26071,1.2,138,"547 of 3141"
"Arenac County",26011,1.4,209,"505 of 3141"
"Benzie County",26019,1.5,266,"455 of 3141"
"Manistee County",26101,1.7,404,"438 of 3141"
"Delta County",26041,1.9,702,"396 of 3141"
"Cheboygan County",26031,2.1,523,"376 of 3141"
"Emmet County",26047,2.3,763,"350 of 3141"
"Menominee County",26109,2.5,580,"324 of 3141"
"Gogebic County",26053,2.7,428,"302 of 3141"
"Isabella County",26073,2.9,2026,"296 of 3141"
"Leelanau County",26089,2.9,631,"291 of 3141"
"Alger County",26003,3.3,303,"273 of 3141"
"Baraga County",26013,4.8,410,"209 of 3141"
"Luce County",26095,6.9,442,"169 of 3141"
"Schoolcraft County",26153,7.1,578,"165 of 3141"
"Chippewa County",26033,14.1,5374,"83 of 3141"
"Mackinac County",26097,17.1,1852,"66 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: American Indian/Alaska Native, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
