------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '26', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Michigan by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Michigan",26000,28.1,1887041,"34 of 52"
"United States",00000,30.9,66887603,"N/A"
"Oscoda County",26135,10.9,675,"2963 of 3141"
"Lake County",26085,11.4,1018,"2906 of 3141"
"Arenac County",26011,11.6,1323,"2881 of 3141"
"Ogemaw County",26129,11.8,1837,"2860 of 3141"
"Montmorency County",26119,12.0,886,"2839 of 3141"
"Clare County",26035,12.1,2706,"2813 of 3141"
"Osceola County",26133,12.4,1999,"2764 of 3141"
"Kalkaska County",26079,12.5,1561,"2748 of 3141"
"Montcalm County",26117,12.8,5545,"2702 of 3141"
"Missaukee County",26113,13.4,1393,"2594 of 3141"
"Gladwin County",26051,13.6,2540,"2576 of 3141"
"Tuscola County",26157,13.8,5229,"2531 of 3141"
"Sanilac County",26151,13.9,4065,"2512 of 3141"
"Branch County",26023,14.0,4208,"2490 of 3141"
"Roscommon County",26143,14.2,2691,"2463 of 3141"
"Gratiot County",26057,14.7,4136,"2355 of 3141"
"Newaygo County",26123,15.0,4959,"2308 of 3141"
"Luce County",26095,15.1,725,"2294 of 3141"
"Alcona County",26001,15.2,1291,"2278 of 3141"
"Schoolcraft County",26153,15.2,922,"2276 of 3141"
"St. Joseph County",26149,15.4,6270,"2230 of 3141"
"Baraga County",26013,15.5,966,"2219 of 3141"
"Huron County",26063,15.5,3624,"2201 of 3141"
"Menominee County",26109,15.8,2729,"2147 of 3141"
"Ionia County",26067,16.2,6985,"2078 of 3141"
"Presque Isle County",26141,16.2,1623,"2068 of 3141"
"Shiawassee County",26155,16.2,7735,"2058 of 3141"
