------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '26', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Michigan by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"United States",00000,50.8,162985654,"N/A"
"Michigan",26000,50.8,5044989,"29 of 52"
"Baraga County",26013,40.4,3468,"40 of 3141"
"Luce County",26095,41.4,2653,"52 of 3141"
"Chippewa County",26033,44.9,17075,"116 of 3141"
"Alger County",26003,45.0,4166,"119 of 3141"
"Houghton County",26061,45.7,16620,"145 of 3141"
"Gogebic County",26053,45.8,7132,"149 of 3141"
"Ionia County",26067,46.8,30017,"222 of 3141"
"Gratiot County",26057,46.9,19382,"234 of 3141"
"Manistee County",26101,48.0,11735,"368 of 3141"
"Branch County",26023,48.3,21026,"417 of 3141"
"Montcalm County",26117,48.5,30515,"452 of 3141"
"Keweenaw County",26083,48.5,1037,"471 of 3141"
"Oscoda County",26135,48.6,4038,"488 of 3141"
"Kalkaska County",26079,48.9,8484,"558 of 3141"
"Ontonagon County",26131,48.9,2968,"559 of 3141"
"Lake County",26085,48.9,5704,"560 of 3141"
"Jackson County",26075,48.9,77789,"580 of 3141"
"Missaukee County",26113,49.0,7348,"618 of 3141"
"Montmorency County",26119,49.3,4579,"707 of 3141"
"Lenawee County",26091,49.4,48656,"745 of 3141"
"Lapeer County",26087,49.4,43542,"754 of 3141"
"Oceana County",26127,49.4,12994,"760 of 3141"
"Arenac County",26011,49.4,7524,"763 of 3141"
"Menominee County",26109,49.4,11555,"775 of 3141"
"Mackinac County",26097,49.5,5362,"808 of 3141"
"Osceola County",26133,49.5,11496,"818 of 3141"
"Mecosta County",26107,49.5,21379,"820 of 3141"
"Marquette County",26103,49.5,33247,"824 of 3141"
"Alcona County",26001,49.6,5166,"879 of 3141"
"Cass County",26027,49.7,25536,"934 of 3141"
"Crawford County",26039,49.7,6868,"939 of 3141"
"Barry County",26015,49.7,29649,"975 of 3141"
"Gladwin County",26051,49.8,12605,"1003 of 3141"
"Tuscola County",26157,49.8,26680,"1033 of 3141"
"Newaygo County",26123,49.8,23863,"1045 of 3141"
"Livingston County",26093,49.9,93217,"1088 of 3141"
"Ogemaw County",26129,49.9,10461,"1089 of 3141"
"Wexford County",26165,49.9,16435,"1145 of 3141"
"Presque Isle County",26141,50.1,6435,"1252 of 3141"
"Allegan County",26005,50.1,57148,"1260 of 3141"
"Dickinson County",26043,50.1,12875,"1296 of 3141"
"Hillsdale County",26059,50.1,23007,"1301 of 3141"
"Benzie County",26019,50.2,8768,"1384 of 3141"
"Cheboygan County",26031,50.2,12795,"1396 of 3141"
