------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '26', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Michigan by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"United States",00000,14.6,45650345,"N/A"
"Michigan",26000,15.6,1510841,"36 of 52"
"Livingston County",26093,5.9,10935,"86 of 3141"
"Leelanau County",26089,7.7,1650,"206 of 3141"
"Oakland County",26125,9.0,111071,"360 of 3141"
"Barry County",26015,9.3,5440,"405 of 3141"
"Ottawa County",26139,9.5,25806,"455 of 3141"
"Grand Traverse County",26055,9.7,8642,"476 of 3141"
"Lapeer County",26087,9.7,8427,"485 of 3141"
"Benzie County",26019,10.0,1728,"544 of 3141"
"Clinton County",26037,10.1,7736,"555 of 3141"
"Emmet County",26047,10.7,3454,"660 of 3141"
"Allegan County",26005,10.8,12169,"672 of 3141"
"Eaton County",26045,10.9,11655,"697 of 3141"
"Monroe County",26115,11.2,16555,"747 of 3141"
"Midland County",26111,11.3,9300,"782 of 3141"
"Charlevoix County",26029,11.6,2990,"842 of 3141"
"Macomb County",26099,11.8,101096,"890 of 3141"
"Antrim County",26009,12.6,2865,"1022 of 3141"
"Alger County",26003,13.0,1070,"1106 of 3141"
"Shiawassee County",26155,13.1,8857,"1141 of 3141"
"Ionia County",26067,13.1,7905,"1146 of 3141"
"St. Clair County",26147,13.3,21050,"1196 of 3141"
"Kent County",26081,13.4,83789,"1215 of 3141"
"Menominee County",26109,13.5,3092,"1226 of 3141"
"Cass County",26027,13.6,6907,"1245 of 3141"
"Huron County",26063,13.6,4266,"1261 of 3141"
"Lenawee County",26091,13.7,12811,"1283 of 3141"
"Iron County",26071,14.2,1556,"1383 of 3141"
"Delta County",26041,14.4,5156,"1410 of 3141"
"Baraga County",26013,14.4,957,"1428 of 3141"
"Keweenaw County",26083,14.5,307,"1431 of 3141"
"Washtenaw County",26161,14.5,49602,"1438 of 3141"
"Manistee County",26101,14.7,3401,"1473 of 3141"
"Otsego County",26137,14.9,3549,"1502 of 3141"
"Alcona County",26001,14.9,1526,"1505 of 3141"
"Presque Isle County",26141,14.9,1891,"1515 of 3141"
"Alpena County",26007,15.0,4206,"1530 of 3141"
"Sanilac County",26151,15.0,6165,"1542 of 3141"
"Montmorency County",26119,15.1,1380,"1549 of 3141"
"Jackson County",26075,15.2,22614,"1568 of 3141"
"Dickinson County",26043,15.2,3855,"1580 of 3141"
"Mackinac County",26097,15.4,1648,"1609 of 3141"
"Ontonagon County",26131,15.5,930,"1628 of 3141"
"St. Joseph County",26149,15.7,9403,"1678 of 3141"
"Van Buren County",26159,15.8,11733,"1698 of 3141"
"Missaukee County",26113,15.9,2349,"1706 of 3141"
"Tuscola County",26157,15.9,8307,"1711 of 3141"
"Branch County",26023,15.9,6528,"1729 of 3141"
"Mason County",26105,16.0,4541,"1741 of 3141"
"Bay County",26017,16.3,16960,"1788 of 3141"
"Marquette County",26103,16.4,10262,"1800 of 3141"
"Crawford County",26039,16.4,2228,"1816 of 3141"
"Kalamazoo County",26077,16.7,41981,"1886 of 3141"
"Cheboygan County",26031,16.8,4217,"1900 of 3141"
"Iosco County",26069,16.9,4186,"1915 of 3141"
"Hillsdale County",26059,17.0,7510,"1932 of 3141"
"Chippewa County",26033,17.1,5786,"1963 of 3141"
"Berrien County",26021,17.2,25868,"1978 of 3141"
"Wexford County",26165,17.3,5628,"2006 of 3141"
"Calhoun County",26025,17.4,22630,"2014 of 3141"
"Montcalm County",26117,17.5,10487,"2035 of 3141"
"Oceana County",26127,17.5,4550,"2042 of 3141"
"Saginaw County",26145,17.7,33103,"2075 of 3141"
"Newaygo County",26123,17.8,8405,"2107 of 3141"
"Oscoda County",26135,18.1,1488,"2161 of 3141"
"Arenac County",26011,18.5,2773,"2224 of 3141"
"Kalkaska County",26079,18.5,3174,"2225 of 3141"
"Muskegon County",26121,18.5,30727,"2235 of 3141"
"Ogemaw County",26129,18.7,3856,"2269 of 3141"
"Luce County",26095,19.4,1041,"2353 of 3141"
"Roscommon County",26143,19.8,4675,"2407 of 3141"
"Genesee County",26049,20.0,81280,"2433 of 3141"
"Gladwin County",26051,20.2,5066,"2453 of 3141"
"Gogebic County",26053,20.4,2866,"2474 of 3141"
"Gratiot County",26057,20.5,7260,"2478 of 3141"
"Osceola County",26133,20.7,4749,"2507 of 3141"
"Ingham County",26065,20.9,56038,"2531 of 3141"
"Houghton County",26061,21.4,7264,"2582 of 3141"
"Schoolcraft County",26153,21.4,1706,"2588 of 3141"
"Mecosta County",26107,22.5,9015,"2691 of 3141"
"Clare County",26035,23.6,7108,"2782 of 3141"
"Wayne County",26163,23.7,413769,"2791 of 3141"
"Lake County",26085,25.0,2822,"2862 of 3141"
"Isabella County",26073,27.3,17493,"2974 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
