------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '26', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Michigan by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"Michigan",26000,49.2,4880579,"24 of 52"
"United States",00000,49.2,158018753,"N/A"
"Wayne County",26163,48.1,848339,"279 of 3141"
"Genesee County",26049,48.2,198115,"328 of 3141"
"Saginaw County",26145,48.5,94017,"500 of 3141"
"Ingham County",26065,48.6,139183,"574 of 3141"
"Isabella County",26073,48.7,34338,"583 of 3141"
"Macomb County",26099,48.7,420439,"586 of 3141"
"Oakland County",26125,48.7,605231,"645 of 3141"
"Eaton County",26045,48.9,53065,"759 of 3141"
"Calhoun County",26025,48.9,65652,"764 of 3141"
"Berrien County",26021,48.9,75835,"839 of 3141"
"Kalamazoo County",26077,49.0,127247,"873 of 3141"
"Schoolcraft County",26153,49.0,3977,"906 of 3141"
"Midland County",26111,49.1,40954,"940 of 3141"
"Grand Traverse County",26055,49.2,44860,"1062 of 3141"
"Charlevoix County",26029,49.2,12868,"1076 of 3141"
"Kent County",26081,49.2,313134,"1098 of 3141"
"Bay County",26017,49.2,51875,"1132 of 3141"
"Shiawassee County",26155,49.3,33807,"1160 of 3141"
"Otsego County",26137,49.3,11951,"1187 of 3141"
"Alpena County",26007,49.3,14169,"1215 of 3141"
"Ottawa County",26139,49.3,138250,"1235 of 3141"
"Iron County",26071,49.4,5576,"1321 of 3141"
"Monroe County",26115,49.4,73905,"1337 of 3141"
"Clinton County",26037,49.4,38231,"1396 of 3141"
"Washtenaw County",26161,49.5,178949,"1459 of 3141"
"Clare County",26035,49.5,15148,"1467 of 3141"
"Leelanau County",26089,49.5,10681,"1498 of 3141"
"Sanilac County",26151,49.6,20592,"1550 of 3141"
"Roscommon County",26143,49.6,11867,"1555 of 3141"
"Mason County",26105,49.6,14284,"1568 of 3141"
"Emmet County",26047,49.6,16359,"1577 of 3141"
"Antrim County",26009,49.6,11479,"1593 of 3141"
"St. Clair County",26147,49.6,79295,"1604 of 3141"
"Iosco County",26069,49.7,12570,"1622 of 3141"
"Delta County",26041,49.7,18084,"1657 of 3141"
"Huron County",26063,49.7,15777,"1665 of 3141"
"St. Joseph County",26149,49.7,30264,"1674 of 3141"
"Van Buren County",26159,49.7,37397,"1709 of 3141"
"Muskegon County",26121,49.7,85918,"1717 of 3141"
"Cheboygan County",26031,49.8,12680,"1746 of 3141"
"Benzie County",26019,49.8,8694,"1758 of 3141"
