------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '26', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Michigan by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"United States",00000,8.4,26717038,"N/A"
"Michigan",26000,8.8,864350,"33 of 51"
"Ontonagon County",26131,2.1,130,"116 of 3140"
"Leelanau County",26089,2.9,609,"224 of 3140"
"Lake County",26085,3.2,367,"296 of 3140"
"Baraga County",26013,3.5,300,"380 of 3140"
"Keweenaw County",26083,3.6,76,"397 of 3140"
"Gogebic County",26053,3.7,568,"422 of 3140"
"Clinton County",26037,3.8,2875,"453 of 3140"
"Alger County",26003,3.9,358,"496 of 3140"
"Oscoda County",26135,3.9,324,"515 of 3140"
"Alcona County",26001,4.0,414,"532 of 3140"
"Antrim County",26009,4.2,970,"596 of 3140"
"Kalkaska County",26079,4.3,735,"618 of 3140"
"Benzie County",26019,4.3,747,"630 of 3140"
"Livingston County",26093,4.6,8441,"727 of 3140"
"Montmorency County",26119,4.7,437,"788 of 3140"
"Sanilac County",26151,4.9,2004,"858 of 3140"
"Iron County",26071,4.9,550,"879 of 3140"
"Arenac County",26011,5.0,754,"912 of 3140"
"Gladwin County",26051,5.1,1271,"952 of 3140"
"Mackinac County",26097,5.1,555,"987 of 3140"
"Manistee County",26101,5.3,1283,"1059 of 3140"
"Presque Isle County",26141,5.4,690,"1113 of 3140"
"Charlevoix County",26029,5.5,1418,"1147 of 3140"
"Lapeer County",26087,5.5,4786,"1148 of 3140"
"Crawford County",26039,5.6,771,"1231 of 3140"
"Oceana County",26127,5.8,1502,"1295 of 3140"
"Cass County",26027,5.8,2939,"1297 of 3140"
"Newaygo County",26123,5.8,2755,"1317 of 3140"
"Allegan County",26005,5.8,6576,"1324 of 3140"
"Monroe County",26115,5.9,8746,"1380 of 3140"
"Iosco County",26069,5.9,1489,"1387 of 3140"
"Cheboygan County",26031,6.0,1507,"1409 of 3140"
"Missaukee County",26113,6.0,883,"1413 of 3140"
"Tuscola County",26157,6.1,3255,"1506 of 3140"
"Menominee County",26109,6.2,1433,"1523 of 3140"
"Shiawassee County",26155,6.2,4229,"1546 of 3140"
"Huron County",26063,6.2,1963,"1552 of 3140"
"Hillsdale County",26059,6.2,2827,"1553 of 3140"
"Osceola County",26133,6.3,1446,"1577 of 3140"
"Montcalm County",26117,6.4,4011,"1648 of 3140"
"Branch County",26023,6.5,2800,"1688 of 3140"
"Barry County",26015,6.6,3858,"1704 of 3140"
"Dickinson County",26043,6.6,1683,"1731 of 3140"
"Eaton County",26045,6.6,7114,"1735 of 3140"
"Van Buren County",26159,6.8,5078,"1810 of 3140"
"Otsego County",26137,7.0,1677,"1865 of 3140"
"Ogemaw County",26129,7.2,1498,"1958 of 3140"
"Midland County",26111,7.2,5979,"1976 of 3140"
"Roscommon County",26143,7.3,1720,"1985 of 3140"
"Delta County",26041,7.4,2671,"2042 of 3140"
"Mason County",26105,7.5,2153,"2105 of 3140"
"Macomb County",26099,7.6,64808,"2119 of 3140"
"Gratiot County",26057,7.6,3121,"2129 of 3140"
"Oakland County",26125,7.6,93775,"2143 of 3140"
"Wexford County",26165,7.7,2514,"2181 of 3140"
"Alpena County",26007,7.8,2214,"2191 of 3140"
"Ottawa County",26139,7.9,21759,"2223 of 3140"
"Ionia County",26067,7.9,5000,"2244 of 3140"
"Bay County",26017,7.9,8288,"2250 of 3140"
"Grand Traverse County",26055,8.0,7184,"2257 of 3140"
"Lenawee County",26091,8.1,7920,"2307 of 3140"
"Mecosta County",26107,8.2,3506,"2332 of 3140"
"Clare County",26035,8.2,2500,"2347 of 3140"
"Luce County",26095,8.9,568,"2530 of 3140"
"Emmet County",26047,8.9,2903,"2531 of 3140"
"Saginaw County",26145,9.1,17415,"2585 of 3140"
"Houghton County",26061,9.2,3300,"2601 of 3140"
"Berrien County",26021,9.2,14147,"2618 of 3140"
"St. Clair County",26147,9.3,14741,"2636 of 3140"
"Schoolcraft County",26153,9.4,756,"2644 of 3140"
"Jackson County",26075,9.4,14788,"2658 of 3140"
"St. Joseph County",26149,9.5,5736,"2690 of 3140"
