------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '26', 'areatype': 'county', 'topic': 'mob', 'demo': '00021', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_012.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Michigan by County
Mobility: Moved from outside US (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Outside US),Rank within US
"Michigan",26000,0.5,49187,"23 of 51"
"United States",00000,0.7,2074097,"N/A"
"St. Joseph County",26149,0.0,22,"503 of 3140"
"Lake County",26085,0.1,6,"589 of 3140"
"Otsego County",26137,0.1,16,"690 of 3140"
"Baraga County",26013,0.1,6,"716 of 3140"
"Iron County",26071,0.1,8,"724 of 3140"
"Luce County",26095,0.1,5,"777 of 3140"
"Dickinson County",26043,0.1,21,"812 of 3140"
"Cheboygan County",26031,0.1,21,"817 of 3140"
"Gladwin County",26051,0.1,22,"846 of 3140"
"Allegan County",26005,0.1,101,"858 of 3140"
"Shiawassee County",26155,0.1,61,"860 of 3140"
"Keweenaw County",26083,0.1,2,"891 of 3140"
"Roscommon County",26143,0.1,23,"903 of 3140"
"Missaukee County",26113,0.1,15,"929 of 3140"
"Huron County",26063,0.1,38,"1081 of 3140"
"Ionia County",26067,0.1,78,"1100 of 3140"
"Arenac County",26011,0.1,19,"1115 of 3140"
"Grand Traverse County",26055,0.1,114,"1121 of 3140"
"Wexford County",26165,0.1,44,"1178 of 3140"
"Presque Isle County",26141,0.1,18,"1202 of 3140"
"Bay County",26017,0.1,153,"1239 of 3140"
"Osceola County",26133,0.1,34,"1245 of 3140"
"Clare County",26035,0.1,45,"1250 of 3140"
"Ontonagon County",26131,0.1,9,"1253 of 3140"
"Emmet County",26047,0.2,49,"1263 of 3140"
"Tuscola County",26157,0.2,80,"1266 of 3140"
"Menominee County",26109,0.2,36,"1297 of 3140"
"Sanilac County",26151,0.2,64,"1299 of 3140"
"Alpena County",26007,0.2,48,"1390 of 3140"
"Cass County",26027,0.2,86,"1393 of 3140"
"St. Clair County",26147,0.2,268,"1394 of 3140"
"Genesee County",26049,0.2,705,"1419 of 3140"
"Alger County",26003,0.2,16,"1420 of 3140"
"Muskegon County",26121,0.2,297,"1423 of 3140"
"Monroe County",26115,0.2,258,"1428 of 3140"
"Livingston County",26093,0.2,329,"1449 of 3140"
"Ogemaw County",26129,0.2,38,"1475 of 3140"
"Montcalm County",26117,0.2,114,"1479 of 3140"
"Delta County",26041,0.2,67,"1497 of 3140"
"Newaygo County",26123,0.2,94,"1568 of 3140"
"Gogebic County",26053,0.2,31,"1575 of 3140"
"Gratiot County",26057,0.2,83,"1588 of 3140"
"Lenawee County",26091,0.2,203,"1612 of 3140"
"Charlevoix County",26029,0.2,54,"1613 of 3140"
"Antrim County",26009,0.2,48,"1617 of 3140"
"Barry County",26015,0.2,126,"1644 of 3140"
"Mason County",26105,0.2,62,"1665 of 3140"
"Leelanau County",26089,0.2,47,"1679 of 3140"
"Iosco County",26069,0.2,58,"1724 of 3140"
"Kalkaska County",26079,0.2,40,"1737 of 3140"
"Clinton County",26037,0.2,179,"1740 of 3140"
"Lapeer County",26087,0.2,208,"1756 of 3140"
"Hillsdale County",26059,0.2,108,"1760 of 3140"
"Jackson County",26075,0.2,377,"1767 of 3140"
"Montmorency County",26119,0.3,24,"1851 of 3140"
"Schoolcraft County",26153,0.3,21,"1853 of 3140"
"Chippewa County",26033,0.3,99,"1875 of 3140"
"Alcona County",26001,0.3,32,"2045 of 3140"
"Marquette County",26103,0.3,207,"2050 of 3140"
"Mecosta County",26107,0.3,134,"2057 of 3140"
"Ottawa County",26139,0.3,870,"2065 of 3140"
"Oscoda County",26135,0.3,26,"2072 of 3140"
"Calhoun County",26025,0.3,421,"2073 of 3140"
"Saginaw County",26145,0.3,639,"2127 of 3140"
"Manistee County",26101,0.4,88,"2221 of 3140"
