------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '26', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Michigan by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Michigan",26000,1.6,64139,"46 of 52"
"United States",00000,3.3,3975282,"N/A"
"Iron County",26071,0.8,40,"2851 of 3141"
"Clinton County",26037,0.8,222,"2846 of 3141"
"Gogebic County",26053,0.8,51,"2843 of 3141"
"Alpena County",26007,0.9,109,"2770 of 3141"
"Manistee County",26101,0.9,84,"2764 of 3141"
"Bay County",26017,0.9,382,"2756 of 3141"
"Gratiot County",26057,0.9,132,"2714 of 3141"
"Charlevoix County",26029,0.9,101,"2711 of 3141"
"Schoolcraft County",26153,0.9,30,"2692 of 3141"
"Cheboygan County",26031,1.0,111,"2638 of 3141"
"Chippewa County",26033,1.0,137,"2637 of 3141"
"Leelanau County",26089,1.0,92,"2594 of 3141"
"Midland County",26111,1.0,347,"2590 of 3141"
"Livingston County",26093,1.0,742,"2563 of 3141"
"Alcona County",26001,1.1,54,"2527 of 3141"
"St. Clair County",26147,1.1,703,"2521 of 3141"
"Mason County",26105,1.1,134,"2510 of 3141"
"Oakland County",26125,1.1,5505,"2506 of 3141"
"Dickinson County",26043,1.1,126,"2483 of 3141"
"Montmorency County",26119,1.1,46,"2466 of 3141"
"Shiawassee County",26155,1.1,315,"2450 of 3141"
"Menominee County",26109,1.1,121,"2446 of 3141"
"Marquette County",26103,1.1,300,"2442 of 3141"
