------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '26', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Michigan by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"Michigan",26000,9.8,656683,"21 of 52"
"United States",00000,12.7,27437114,"N/A"
"Livingston County",26093,4.6,5943,"67 of 3141"
"Leelanau County",26089,4.8,795,"86 of 3141"
"Washtenaw County",26161,4.9,10963,"93 of 3141"
"Grand Traverse County",26055,5.3,3440,"123 of 3141"
"Keweenaw County",26083,5.3,87,"125 of 3141"
"Marquette County",26103,5.4,2414,"139 of 3141"
"Clinton County",26037,5.8,3043,"177 of 3141"
"Emmet County",26047,6.0,1418,"192 of 3141"
"Dickinson County",26043,6.2,1151,"221 of 3141"
"Kalamazoo County",26077,6.2,10041,"228 of 3141"
"Midland County",26111,6.3,3621,"234 of 3141"
"Oakland County",26125,6.3,54409,"235 of 3141"
"Eaton County",26045,6.4,4846,"257 of 3141"
"Delta County",26041,6.4,1700,"258 of 3141"
"Charlevoix County",26029,6.4,1231,"262 of 3141"
"Ontonagon County",26131,7.3,365,"395 of 3141"
"Benzie County",26019,7.5,974,"448 of 3141"
"Ingham County",26065,7.6,13001,"468 of 3141"
"Gogebic County",26053,7.7,908,"501 of 3141"
"Menominee County",26109,7.8,1340,"518 of 3141"
"Ottawa County",26139,7.8,13503,"525 of 3141"
"Shiawassee County",26155,7.8,3739,"530 of 3141"
"Barry County",26015,8.0,3324,"581 of 3141"
"Houghton County",26061,8.0,1702,"587 of 3141"
"Isabella County",26073,8.0,3044,"589 of 3141"
"Iron County",26071,8.1,709,"592 of 3141"
"Mason County",26105,8.1,1673,"604 of 3141"
