------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '26', 'areatype': 'county', 'topic': 'pop', 'demo': '00002', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_013.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Michigan by County
Population: Age under 18
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age Under 18),Rank within US
"Michigan",26000,22.3,2208521,"36 of 52"
"United States",00000,22.9,73601279,"N/A"
"Ontonagon County",26131,12.6,766,"3131 of 3141"
"Alcona County",26001,13.0,1358,"3126 of 3141"
"Montmorency County",26119,15.1,1400,"3097 of 3141"
"Roscommon County",26143,15.2,3636,"3091 of 3141"
"Alger County",26003,15.4,1425,"3079 of 3141"
"Gogebic County",26053,15.5,2417,"3074 of 3141"
"Presque Isle County",26141,16.4,2104,"3039 of 3141"
"Iron County",26071,16.4,1849,"3036 of 3141"
"Mackinac County",26097,16.5,1792,"3027 of 3141"
"Luce County",26095,16.6,1066,"3014 of 3141"
"Lake County",26085,16.7,1945,"3011 of 3141"
"Keweenaw County",26083,16.8,358,"3007 of 3141"
"Iosco County",26069,16.9,4272,"2997 of 3141"
"Leelanau County",26089,17.1,3689,"2981 of 3141"
"Isabella County",26073,17.4,12294,"2957 of 3141"
"Cheboygan County",26031,17.5,4466,"2949 of 3141"
"Manistee County",26101,17.8,4350,"2922 of 3141"
"Marquette County",26103,18.1,12161,"2879 of 3141"
"Schoolcraft County",26153,18.3,1483,"2850 of 3141"
"Arenac County",26011,18.3,2786,"2849 of 3141"
"Baraga County",26013,18.3,1573,"2838 of 3141"
"Crawford County",26039,18.6,2572,"2805 of 3141"
"Ogemaw County",26129,18.8,3942,"2774 of 3141"
"Chippewa County",26033,18.8,7151,"2770 of 3141"
"Mecosta County",26107,18.9,8153,"2756 of 3141"
"Antrim County",26009,18.9,4373,"2753 of 3141"
"Benzie County",26019,18.9,3306,"2748 of 3141"
"Oscoda County",26135,19.0,1576,"2739 of 3141"
"Menominee County",26109,19.1,4457,"2728 of 3141"
"Alpena County",26007,19.1,5501,"2713 of 3141"
"Washtenaw County",26161,19.3,69611,"2687 of 3141"
"Gladwin County",26051,19.4,4906,"2651 of 3141"
"Huron County",26063,19.5,6188,"2623 of 3141"
"Clare County",26035,19.8,6071,"2535 of 3141"
"Charlevoix County",26029,20.0,5220,"2503 of 3141"
"Dickinson County",26043,20.0,5136,"2493 of 3141"
"Ingham County",26065,20.1,57644,"2451 of 3141"
"Delta County",26041,20.3,7390,"2400 of 3141"
"Emmet County",26047,20.3,6698,"2398 of 3141"
"Houghton County",26061,20.4,7403,"2374 of 3141"
"Gratiot County",26057,20.4,8427,"2367 of 3141"
"Mason County",26105,20.6,5938,"2299 of 3141"
"Grand Traverse County",26055,20.7,18886,"2274 of 3141"
"Bay County",26017,20.8,21954,"2220 of 3141"
"Cass County",26027,21.2,10908,"2080 of 3141"
"Tuscola County",26157,21.2,11378,"2073 of 3141"
"Kalkaska County",26079,21.3,3691,"2063 of 3141"
"Otsego County",26137,21.5,5212,"1984 of 3141"
"Eaton County",26045,21.6,23432,"1953 of 3141"
"Lenawee County",26091,21.6,21341,"1934 of 3141"
"Macomb County",26099,21.7,187244,"1923 of 3141"
"St. Clair County",26147,21.7,34624,"1922 of 3141"
"Lapeer County",26087,21.8,19185,"1888 of 3141"
"Oakland County",26125,21.8,270805,"1854 of 3141"
"Midland County",26111,21.8,18223,"1853 of 3141"
"Saginaw County",26145,21.8,42304,"1850 of 3141"
"Shiawassee County",26155,21.9,15050,"1804 of 3141"
"Kalamazoo County",26077,21.9,57002,"1800 of 3141"
"Jackson County",26075,22.0,35050,"1752 of 3141"
"Sanilac County",26151,22.1,9167,"1741 of 3141"
"Monroe County",26115,22.2,33233,"1673 of 3141"
"Hillsdale County",26059,22.3,10227,"1637 of 3141"
"Berrien County",26021,22.3,34535,"1627 of 3141"
"Livingston County",26093,22.6,42314,"1491 of 3141"
"Barry County",26015,22.6,13496,"1482 of 3141"
"Montcalm County",26117,22.9,14428,"1360 of 3141"
"Newaygo County",26123,23.0,11012,"1323 of 3141"
"Clinton County",26037,23.0,17790,"1316 of 3141"
"Oceana County",26127,23.2,6101,"1236 of 3141"
"Osceola County",26133,23.2,5385,"1233 of 3141"
"Missaukee County",26113,23.2,3477,"1222 of 3141"
"Genesee County",26049,23.2,95457,"1217 of 3141"
"Calhoun County",26025,23.3,31247,"1203 of 3141"
"Ionia County",26067,23.4,14991,"1155 of 3141"
"Branch County",26023,23.4,10201,"1131 of 3141"
"Wexford County",26165,23.5,7723,"1116 of 3141"
"Muskegon County",26121,23.6,40772,"1053 of 3141"
"Van Buren County",26159,24.0,18020,"895 of 3141"
"Wayne County",26163,24.0,422853,"888 of 3141"
"Ottawa County",26139,24.6,69024,"650 of 3141"
"Allegan County",26005,24.8,28300,"608 of 3141"
"Kent County",26081,24.9,158405,"571 of 3141"
"St. Joseph County",26149,25.0,15221,"545 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age under 18, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
