------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '26', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Michigan by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"United States",00000,82.4,264493836,"N/A"
"Michigan",26000,95.1,9441000,"40 of 52"
"Oceana County",26127,85.5,22496,"530 of 3141"
"Van Buren County",26159,88.8,66774,"662 of 3141"
"Kent County",26081,89.7,570942,"711 of 3141"
"Ottawa County",26139,90.6,253806,"777 of 3141"
"Saginaw County",26145,91.7,177751,"873 of 3141"
"Lenawee County",26091,92.2,90925,"909 of 3141"
"Ingham County",26065,92.4,264447,"925 of 3141"
"St. Joseph County",26149,92.5,56326,"940 of 3141"
"Allegan County",26005,92.8,105920,"975 of 3141"
"Gratiot County",26057,94.2,38908,"1152 of 3141"
"Newaygo County",26123,94.2,45137,"1169 of 3141"
"Wayne County",26163,94.3,1662845,"1178 of 3141"
"Muskegon County",26121,94.6,163295,"1227 of 3141"
"Berrien County",26021,94.8,146868,"1270 of 3141"
"Eaton County",26045,94.8,102948,"1275 of 3141"
"Bay County",26017,94.8,99922,"1284 of 3141"
"Calhoun County",26025,95.0,127618,"1318 of 3141"
"Kalamazoo County",26077,95.3,247603,"1380 of 3141"
"Ionia County",26067,95.3,61147,"1382 of 3141"
"Lapeer County",26087,95.4,84170,"1411 of 3141"
"Washtenaw County",26161,95.5,345104,"1420 of 3141"
"Mason County",26105,95.5,27514,"1435 of 3141"
"Branch County",26023,95.5,41600,"1437 of 3141"
"Clinton County",26037,95.6,73883,"1440 of 3141"
"Leelanau County",26089,95.8,20653,"1494 of 3141"
"Oakland County",26125,96.1,1193919,"1598 of 3141"
"Isabella County",26073,96.2,67888,"1616 of 3141"
"Sanilac County",26151,96.3,40017,"1655 of 3141"
"Cass County",26027,96.4,49521,"1659 of 3141"
"Monroe County",26115,96.5,144457,"1716 of 3141"
"Jackson County",26075,96.6,153585,"1728 of 3141"
"Montcalm County",26117,96.6,60824,"1737 of 3141"
"Genesee County",26049,96.7,397296,"1757 of 3141"
"Tuscola County",26157,96.8,51829,"1775 of 3141"
"St. Clair County",26147,96.8,154599,"1783 of 3141"
"Luce County",26095,96.8,6202,"1806 of 3141"
"Manistee County",26101,97.1,23725,"1919 of 3141"
"Shiawassee County",26155,97.1,66661,"1943 of 3141"
"Grand Traverse County",26055,97.3,88738,"2012 of 3141"
"Barry County",26015,97.3,57995,"2022 of 3141"
"Missaukee County",26113,97.3,14581,"2040 of 3141"
"Lake County",26085,97.4,11366,"2069 of 3141"
"Midland County",26111,97.4,81332,"2073 of 3141"
"Macomb County",26099,97.5,842444,"2120 of 3141"
"Benzie County",26019,97.6,17045,"2169 of 3141"
"Livingston County",26093,97.7,182678,"2225 of 3141"
"Huron County",26063,97.7,31032,"2239 of 3141"
"Hillsdale County",26059,97.8,44901,"2271 of 3141"
"Mecosta County",26107,97.9,42257,"2307 of 3141"
"Antrim County",26009,97.9,22649,"2332 of 3141"
"Iosco County",26069,98.0,24803,"2362 of 3141"
"Ogemaw County",26129,98.0,20563,"2394 of 3141"
"Arenac County",26011,98.0,14938,"2404 of 3141"
"Clare County",26035,98.1,30025,"2453 of 3141"
"Crawford County",26039,98.2,13567,"2469 of 3141"
"Wexford County",26165,98.2,32314,"2475 of 3141"
"Iron County",26071,98.2,11086,"2481 of 3141"
"Kalkaska County",26079,98.2,17045,"2492 of 3141"
"Charlevoix County",26029,98.2,25691,"2499 of 3141"
"Chippewa County",26033,98.2,37351,"2518 of 3141"
"Osceola County",26133,98.3,22822,"2543 of 3141"
"Menominee County",26109,98.3,23001,"2579 of 3141"
"Roscommon County",26143,98.4,23543,"2587 of 3141"
"Otsego County",26137,98.4,23851,"2588 of 3141"
"Mackinac County",26097,98.4,10662,"2604 of 3141"
"Emmet County",26047,98.4,32463,"2635 of 3141"
"Houghton County",26061,98.5,35790,"2686 of 3141"
"Baraga County",26013,98.5,8452,"2688 of 3141"
"Gladwin County",26051,98.5,24951,"2703 of 3141"
"Marquette County",26103,98.6,66181,"2727 of 3141"
"Dickinson County",26043,98.6,25330,"2743 of 3141"
"Alger County",26003,98.6,9123,"2744 of 3141"
"Alcona County",26001,98.6,10266,"2745 of 3141"
"Oscoda County",26135,98.6,8188,"2754 of 3141"
"Ontonagon County",26131,98.6,5990,"2775 of 3141"
"Cheboygan County",26031,98.7,25135,"2784 of 3141"
"Alpena County",26007,98.7,28358,"2806 of 3141"
"Montmorency County",26119,98.7,9173,"2832 of 3141"
"Gogebic County",26053,98.7,15382,"2836 of 3141"
"Presque Isle County",26141,98.8,12695,"2847 of 3141"
"Delta County",26041,98.8,35960,"2863 of 3141"
"Schoolcraft County",26153,99.0,8036,"2945 of 3141"
"Keweenaw County",26083,99.3,2122,"3031 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Non-Hispanic (Origin Recode), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
