------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '26', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=26&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Michigan by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Michigan",26000,3.0,204526,"11 of 52"
"United States",00000,5.4,11759554,"N/A"
"Livingston County",26093,1.1,1362,"49 of 3141"
"Emmet County",26047,1.1,263,"57 of 3141"
"Dickinson County",26043,1.2,221,"69 of 3141"
"Grand Traverse County",26055,1.3,868,"97 of 3141"
"Charlevoix County",26029,1.3,256,"99 of 3141"
"Leelanau County",26089,1.4,225,"103 of 3141"
"Clinton County",26037,1.4,744,"109 of 3141"
"Iron County",26071,1.5,134,"150 of 3141"
"Washtenaw County",26161,1.5,3436,"154 of 3141"
"Menominee County",26109,1.6,282,"180 of 3141"
"Shiawassee County",26155,1.7,798,"196 of 3141"
"Kalamazoo County",26077,1.7,2711,"202 of 3141"
"Gogebic County",26053,1.7,200,"206 of 3141"
"Otsego County",26137,1.7,295,"217 of 3141"
"Keweenaw County",26083,1.8,30,"249 of 3141"
"Midland County",26111,1.9,1071,"262 of 3141"
"Marquette County",26103,1.9,848,"278 of 3141"
"Eaton County",26045,1.9,1437,"279 of 3141"
"Oakland County",26125,2.0,17730,"345 of 3141"
"Barry County",26015,2.1,852,"353 of 3141"
"Ontonagon County",26131,2.1,105,"378 of 3141"
"Cheboygan County",26031,2.1,404,"379 of 3141"
"Crawford County",26039,2.2,222,"407 of 3141"
"Roscommon County",26143,2.2,414,"426 of 3141"
"Iosco County",26069,2.2,434,"446 of 3141"
"Jackson County",26075,2.3,2506,"473 of 3141"
"St. Clair County",26147,2.3,2570,"474 of 3141"
"Delta County",26041,2.3,607,"475 of 3141"
"Isabella County",26073,2.3,875,"480 of 3141"
"Genesee County",26049,2.3,6472,"490 of 3141"
"Monroe County",26115,2.4,2475,"511 of 3141"
"Wexford County",26165,2.4,543,"514 of 3141"
"Manistee County",26101,2.4,441,"533 of 3141"
"Benzie County",26019,2.4,317,"538 of 3141"
"Ingham County",26065,2.5,4283,"566 of 3141"
"Alpena County",26007,2.6,545,"619 of 3141"
"Lapeer County",26087,2.6,1596,"630 of 3141"
"Mason County",26105,2.6,537,"634 of 3141"
"Houghton County",26061,2.6,559,"654 of 3141"
"Ionia County",26067,2.6,1141,"656 of 3141"
"Antrim County",26009,2.6,456,"658 of 3141"
"Calhoun County",26025,2.7,2420,"667 of 3141"
"Chippewa County",26033,2.7,707,"699 of 3141"
"Lenawee County",26091,2.7,1849,"712 of 3141"
"Cass County",26027,2.8,1023,"773 of 3141"
"Tuscola County",26157,2.9,1082,"797 of 3141"
"Mackinac County",26097,2.9,243,"842 of 3141"
"Ottawa County",26139,2.9,5052,"843 of 3141"
"Muskegon County",26121,2.9,3419,"846 of 3141"
"Bay County",26017,3.0,2206,"856 of 3141"
"Mecosta County",26107,3.0,790,"874 of 3141"
"Missaukee County",26113,3.1,318,"932 of 3141"
"Kalkaska County",26079,3.1,388,"958 of 3141"
"Berrien County",26021,3.2,3384,"985 of 3141"
"Montcalm County",26117,3.2,1408,"1031 of 3141"
"Saginaw County",26145,3.3,4328,"1050 of 3141"
"Alcona County",26001,3.3,281,"1066 of 3141"
"Gratiot County",26057,3.4,951,"1114 of 3141"
"Allegan County",26005,3.5,2649,"1151 of 3141"
"Luce County",26095,3.5,169,"1185 of 3141"
"Baraga County",26013,3.5,220,"1187 of 3141"
"Presque Isle County",26141,3.5,353,"1191 of 3141"
"Alger County",26003,3.6,256,"1229 of 3141"
"Arenac County",26011,3.7,417,"1267 of 3141"
"Hillsdale County",26059,3.7,1150,"1275 of 3141"
"Ogemaw County",26129,3.8,588,"1322 of 3141"
"Sanilac County",26151,3.8,1101,"1323 of 3141"
"Macomb County",26099,3.8,22898,"1343 of 3141"
"Schoolcraft County",26153,4.1,247,"1468 of 3141"
"Branch County",26023,4.1,1234,"1494 of 3141"
"Newaygo County",26123,4.1,1361,"1497 of 3141"
"Huron County",26063,4.2,975,"1522 of 3141"
"Kent County",26081,4.2,17464,"1533 of 3141"
"Osceola County",26133,4.4,703,"1607 of 3141"
"Montmorency County",26119,4.4,327,"1627 of 3141"
"Lake County",26085,4.4,396,"1633 of 3141"
"Wayne County",26163,4.5,53042,"1672 of 3141"
"Oceana County",26127,4.6,835,"1731 of 3141"
"Gladwin County",26051,4.8,894,"1791 of 3141"
"Van Buren County",26159,4.8,2461,"1801 of 3141"
"Clare County",26035,5.2,1164,"1927 of 3141"
"St. Joseph County",26149,5.3,2166,"1970 of 3141"
"Oscoda County",26135,5.5,342,"2027 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than 9th grade, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
