------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"Illinois",17000,16.8,2162070,"11 of 52"
"United States",00000,17.6,56510571,"N/A"
"Schuyler County",17169,0.3,18,"3113 of 3141"
"Hamilton County",17065,0.3,23,"3105 of 3141"
"Greene County",17061,0.4,54,"3083 of 3141"
"Alexander County",17003,1.0,68,"2933 of 3141"
"Shelby County",17173,1.0,220,"2930 of 3141"
"Mason County",17125,1.0,142,"2925 of 3141"
"Edgar County",17045,1.1,193,"2901 of 3141"
"Macoupin County",17117,1.1,510,"2897 of 3141"
"Gallatin County",17059,1.1,58,"2896 of 3141"
"Cumberland County",17035,1.1,121,"2895 of 3141"
"Calhoun County",17013,1.1,55,"2888 of 3141"
"Scott County",17171,1.2,60,"2873 of 3141"
"Moultrie County",17139,1.2,181,"2850 of 3141"
"Pike County",17149,1.3,202,"2827 of 3141"
"Piatt County",17147,1.3,209,"2821 of 3141"
"Edwards County",17047,1.3,84,"2818 of 3141"
"Jersey County",17083,1.3,286,"2813 of 3141"
"Wayne County",17191,1.4,231,"2756 of 3141"
"White County",17193,1.4,198,"2755 of 3141"
"Washington County",17189,1.4,200,"2751 of 3141"
"Clay County",17025,1.4,189,"2746 of 3141"
"Stark County",17175,1.4,79,"2741 of 3141"
"Hancock County",17067,1.4,262,"2728 of 3141"
"Menard County",17129,1.4,179,"2723 of 3141"
"Jasper County",17079,1.5,141,"2706 of 3141"
"Adams County",17001,1.5,988,"2697 of 3141"
"Clark County",17023,1.5,239,"2681 of 3141"
"Monroe County",17133,1.5,508,"2674 of 3141"
"Henderson County",17071,1.5,107,"2651 of 3141"
"Christian County",17021,1.6,523,"2638 of 3141"
"Franklin County",17055,1.6,648,"2581 of 3141"
"Richland County",17159,1.7,264,"2580 of 3141"
"Fayette County",17051,1.7,377,"2548 of 3141"
"Montgomery County",17135,1.7,502,"2541 of 3141"
"Woodford County",17203,1.7,674,"2536 of 3141"
"Saline County",17165,1.7,423,"2535 of 3141"
"Hardin County",17069,1.8,74,"2509 of 3141"
"Marion County",17121,1.9,719,"2449 of 3141"
"Pope County",17151,1.9,84,"2419 of 3141"
"Effingham County",17049,1.9,661,"2418 of 3141"
"Wabash County",17185,2.0,229,"2397 of 3141"
"Pulaski County",17153,2.1,119,"2333 of 3141"
"Macon County",17115,2.2,2327,"2289 of 3141"
"Sangamon County",17167,2.2,4360,"2266 of 3141"
