------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"Illinois",17000,13.5,1698613,"24 of 52"
"United States",00000,14.6,45650345,"N/A"
"Monroe County",17133,5.3,1781,"53 of 3141"
"Piatt County",17147,5.4,888,"56 of 3141"
"Kendall County",17093,5.6,6889,"68 of 3141"
"DuPage County",17043,6.8,62247,"124 of 3141"
"McHenry County",17111,7.3,22339,"170 of 3141"
"Woodford County",17203,7.4,2793,"174 of 3141"
"Will County",17197,7.4,50149,"177 of 3141"
"Jo Daviess County",17085,7.6,1658,"195 of 3141"
"Tazewell County",17179,8.0,10556,"238 of 3141"
"Lake County",17097,8.5,58251,"291 of 3141"
"Putnam County",17155,8.9,507,"331 of 3141"
"Clinton County",17027,9.0,3200,"359 of 3141"
"Logan County",17107,9.2,2327,"396 of 3141"
"Grundy County",17063,9.4,4669,"422 of 3141"
"Jersey County",17083,9.4,2009,"440 of 3141"
"Washington County",17189,9.7,1364,"482 of 3141"
"Marshall County",17123,10.3,1194,"589 of 3141"
"Kane County",17089,10.4,54558,"611 of 3141"
"Boone County",17007,10.6,5617,"634 of 3141"
"Ogle County",17141,11.1,5657,"739 of 3141"
"Whiteside County",17195,11.1,6207,"741 of 3141"
"Hancock County",17067,11.2,2029,"759 of 3141"
"Henderson County",17071,11.3,774,"766 of 3141"
"Carroll County",17015,11.3,1634,"776 of 3141"
"Effingham County",17049,11.3,3798,"779 of 3141"
"Mercer County",17131,11.4,1765,"789 of 3141"
"Menard County",17129,11.4,1386,"791 of 3141"
"Edwards County",17047,11.5,746,"825 of 3141"
"Brown County",17009,11.6,557,"837 of 3141"
"Lee County",17103,11.8,3699,"883 of 3141"
"Crawford County",17033,11.9,2056,"899 of 3141"
"Moultrie County",17139,12.1,1740,"932 of 3141"
"Douglas County",17041,12.1,2379,"938 of 3141"
"Shelby County",17173,12.1,2630,"939 of 3141"
"Randolph County",17157,12.3,3531,"980 of 3141"
"Jasper County",17079,12.4,1167,"988 of 3141"
"Henry County",17073,12.5,6109,"1014 of 3141"
"Bureau County",17011,12.6,4175,"1029 of 3141"
"Pope County",17151,12.7,531,"1049 of 3141"
"Christian County",17021,12.8,4033,"1055 of 3141"
"Calhoun County",17013,12.8,601,"1059 of 3141"
"Adams County",17001,13.1,8513,"1129 of 3141"
"Wabash County",17185,13.1,1498,"1130 of 3141"
"Cass County",17017,13.1,1666,"1147 of 3141"
"De Witt County",17039,13.3,2108,"1179 of 3141"
"Macoupin County",17117,13.3,5962,"1187 of 3141"
"Livingston County",17105,13.3,4565,"1208 of 3141"
"Madison County",17119,13.5,35099,"1233 of 3141"
"La Salle County",17099,13.6,14617,"1252 of 3141"
"Warren County",17187,13.8,2238,"1306 of 3141"
"Hamilton County",17065,13.9,1134,"1314 of 3141"
"White County",17193,13.9,1911,"1318 of 3141"
"Johnson County",17087,13.9,1472,"1323 of 3141"
"Mason County",17125,13.9,1897,"1326 of 3141"
"Clay County",17025,14.0,1842,"1344 of 3141"
"Stark County",17175,14.0,763,"1348 of 3141"
"Cumberland County",17035,14.3,1533,"1393 of 3141"
"Clark County",17023,14.3,2232,"1394 of 3141"
"McLean County",17113,14.5,24110,"1447 of 3141"
"Rock Island County",17161,14.6,20597,"1456 of 3141"
"Perry County",17145,14.7,2766,"1481 of 3141"
"Pike County",17149,14.9,2281,"1504 of 3141"
"Scott County",17171,14.9,738,"1519 of 3141"
"Morgan County",17137,14.9,4611,"1524 of 3141"
"Richland County",17159,15.0,2348,"1538 of 3141"
"Kankakee County",17091,15.1,16059,"1556 of 3141"
"Williamson County",17199,15.2,9906,"1573 of 3141"
"Winnebago County",17201,15.3,43159,"1591 of 3141"
"Edgar County",17045,15.4,2655,"1606 of 3141"
"Iroquois County",17075,15.5,4316,"1632 of 3141"
"Fulton County",17057,15.5,5146,"1640 of 3141"
"Montgomery County",17135,15.6,3916,"1646 of 3141"
"Sangamon County",17167,15.6,30348,"1662 of 3141"
"Ford County",17053,15.7,2044,"1669 of 3141"
"Bond County",17005,15.7,2399,"1680 of 3141"
"Wayne County",17191,15.8,2594,"1694 of 3141"
"Peoria County",17143,15.9,28747,"1720 of 3141"
"Cook County",17031,15.9,821572,"1733 of 3141"
"Stephenson County",17177,16.1,7254,"1766 of 3141"
"Lawrence County",17101,16.4,2286,"1796 of 3141"
"Hardin County",17069,16.6,676,"1842 of 3141"
"Gallatin County",17059,16.6,862,"1853 of 3141"
"Macon County",17115,16.6,17246,"1854 of 3141"
"Union County",17181,16.8,2870,"1914 of 3141"
"St. Clair County",17163,17.0,44376,"1953 of 3141"
"Pulaski County",17153,17.1,966,"1969 of 3141"
"Fayette County",17051,17.8,3564,"2104 of 3141"
"Marion County",17121,17.8,6659,"2111 of 3141"
"Greene County",17061,17.9,2306,"2126 of 3141"
"DeKalb County",17037,18.1,17944,"2166 of 3141"
"Knox County",17095,18.1,8541,"2169 of 3141"
"Massac County",17127,18.4,2635,"2210 of 3141"
"Jefferson County",17081,18.9,6733,"2290 of 3141"
"Vermilion County",17183,19.8,15043,"2408 of 3141"
"Franklin County",17055,19.9,7635,"2418 of 3141"
"Saline County",17165,20.6,4920,"2498 of 3141"
"Coles County",17029,21.0,10212,"2536 of 3141"
"Champaign County",17019,21.4,41088,"2583 of 3141"
"Schuyler County",17169,21.5,1511,"2607 of 3141"
"McDonough County",17109,22.3,6212,"2679 of 3141"
"Jackson County",17077,27.9,15300,"2994 of 3141"
"Alexander County",17003,33.4,2212,"3083 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
