------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'pop', 'demo': '00029', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_017.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
Population: Age 50 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 50 And Over),Rank within US
"Illinois",17000,34.0,4376156,"37 of 52"
"United States",00000,34.5,110609456,"N/A"
"Kendall County",17093,25.1,30876,"3098 of 3141"
"Champaign County",17019,27.3,56841,"3025 of 3141"
"DeKalb County",17037,28.0,29262,"2989 of 3141"
"McLean County",17113,29.3,50687,"2931 of 3141"
"Jackson County",17077,30.2,17837,"2867 of 3141"
"Will County",17197,31.1,213786,"2802 of 3141"
"Kane County",17089,31.2,165047,"2796 of 3141"
"Cook County",17031,32.1,1683093,"2712 of 3141"
"Grundy County",17063,32.4,16313,"2683 of 3141"
"Brown County",17009,33.1,2249,"2607 of 3141"
"McDonough County",17109,33.1,10471,"2606 of 3141"
"Boone County",17007,33.5,17953,"2574 of 3141"
"Lake County",17097,33.6,236709,"2553 of 3141"
"Coles County",17029,33.9,17826,"2509 of 3141"
"Peoria County",17143,34.7,64673,"2397 of 3141"
"McHenry County",17111,34.9,107653,"2366 of 3141"
"St. Clair County",17163,35.1,92783,"2337 of 3141"
"DuPage County",17043,35.3,328801,"2310 of 3141"
"Kankakee County",17091,35.4,39177,"2301 of 3141"
"Winnebago County",17201,36.8,105739,"2069 of 3141"
"Douglas County",17041,36.9,7321,"2040 of 3141"
"Lawrence County",17101,37.1,6101,"1998 of 3141"
"Madison County",17119,37.2,99036,"1972 of 3141"
"Cass County",17017,37.2,4796,"1964 of 3141"
"Clinton County",17027,37.4,14061,"1934 of 3141"
"Sangamon County",17167,37.4,74152,"1915 of 3141"
"Effingham County",17049,37.7,12883,"1850 of 3141"
"Logan County",17107,37.7,11131,"1841 of 3141"
"Tazewell County",17179,37.9,51029,"1820 of 3141"
"Warren County",17187,37.9,6605,"1817 of 3141"
"Woodford County",17203,38.1,14818,"1777 of 3141"
"Perry County",17145,38.1,8185,"1758 of 3141"
"Jefferson County",17081,38.2,14642,"1746 of 3141"
"Williamson County",17199,38.2,25779,"1740 of 3141"
"Moultrie County",17139,38.4,5645,"1706 of 3141"
"Rock Island County",17161,38.4,56113,"1704 of 3141"
"Bond County",17005,38.6,6570,"1672 of 3141"
"Vermilion County",17183,38.6,30565,"1669 of 3141"
"Fayette County",17051,38.7,8505,"1646 of 3141"
"Randolph County",17157,39.2,12873,"1532 of 3141"
"Ogle County",17141,39.4,20339,"1481 of 3141"
"Macon County",17115,39.5,42516,"1450 of 3141"
"Morgan County",17137,39.6,13644,"1427 of 3141"
"Livingston County",17105,39.7,14614,"1410 of 3141"
"Adams County",17001,39.7,26525,"1407 of 3141"
"Monroe County",17133,39.8,13413,"1400 of 3141"
"La Salle County",17099,39.8,44249,"1392 of 3141"
"Crawford County",17033,40.0,7685,"1339 of 3141"
"Johnson County",17087,40.1,5169,"1320 of 3141"
"Marion County",17121,40.1,15351,"1319 of 3141"
"Jersey County",17083,40.2,8920,"1303 of 3141"
"Clark County",17023,40.3,6420,"1267 of 3141"
"Fulton County",17057,40.3,14416,"1262 of 3141"
"Saline County",17165,40.4,9860,"1259 of 3141"
"Franklin County",17055,40.4,15868,"1253 of 3141"
"Cumberland County",17035,40.4,4402,"1252 of 3141"
"Christian County",17021,40.4,13563,"1247 of 3141"
"Lee County",17103,40.5,14028,"1229 of 3141"
"Montgomery County",17135,40.5,11825,"1210 of 3141"
"Greene County",17061,40.6,5409,"1181 of 3141"
"De Witt County",17039,40.8,6595,"1154 of 3141"
"Pike County",17149,40.8,6504,"1142 of 3141"
"Henry County",17073,40.9,20321,"1118 of 3141"
"Knox County",17095,41.0,21058,"1108 of 3141"
"Whiteside County",17195,41.0,23309,"1101 of 3141"
"Richland County",17159,41.1,6555,"1081 of 3141"
"Edwards County",17047,41.2,2705,"1063 of 3141"
"Piatt County",17147,41.2,6770,"1051 of 3141"
"Macoupin County",17117,41.3,18962,"1046 of 3141"
"Ford County",17053,41.3,5564,"1036 of 3141"
"Jasper County",17079,41.5,3989,"998 of 3141"
"Menard County",17129,41.5,5157,"996 of 3141"
"Wabash County",17185,41.7,4824,"976 of 3141"
"Wayne County",17191,41.8,6921,"962 of 3141"
"Massac County",17127,41.8,6103,"955 of 3141"
"Washington County",17189,41.9,5974,"941 of 3141"
"Union County",17181,42.1,7268,"910 of 3141"
"Bureau County",17011,42.3,14209,"882 of 3141"
"Scott County",17171,42.3,2160,"880 of 3141"
"Hamilton County",17065,42.3,3496,"870 of 3141"
"Alexander County",17003,42.5,2883,"839 of 3141"
"Clay County",17025,42.6,5710,"821 of 3141"
"White County",17193,42.8,6073,"792 of 3141"
"Iroquois County",17075,42.9,12194,"783 of 3141"
"Shelby County",17173,43.0,9427,"756 of 3141"
"Edgar County",17045,43.1,7588,"747 of 3141"
"Stephenson County",17177,43.2,19804,"728 of 3141"
"Mercer County",17131,43.3,6832,"723 of 3141"
"Hardin County",17069,43.3,1803,"713 of 3141"
"Gallatin County",17059,43.6,2281,"663 of 3141"
"Stark County",17175,43.8,2432,"646 of 3141"
"Pulaski County",17153,44.0,2503,"625 of 3141"
"Mason County",17125,44.4,6180,"571 of 3141"
"Schuyler County",17169,44.7,3213,"538 of 3141"
"Hancock County",17067,45.0,8223,"516 of 3141"
"Calhoun County",17013,45.1,2208,"508 of 3141"
"Marshall County",17123,45.2,5389,"500 of 3141"
"Putnam County",17155,46.7,2694,"363 of 3141"
"Carroll County",17015,47.1,6924,"330 of 3141"
"Jo Daviess County",17085,49.0,10801,"219 of 3141"
"Henderson County",17071,49.1,3403,"214 of 3141"
"Pope County",17151,53.8,2345,"63 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 50 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
