------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'pop', 'demo': '00003', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_018.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
Population: Age 65 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 65 And Over),Rank within US
"Illinois",17000,14.4,1847932,"41 of 52"
"United States",00000,14.9,47732389,"N/A"
"Kendall County",17093,9.3,11422,"3093 of 3141"
"DeKalb County",17037,11.5,12032,"2951 of 3141"
"Champaign County",17019,11.6,24026,"2945 of 3141"
"Will County",17197,11.7,80436,"2934 of 3141"
"McLean County",17113,11.8,20468,"2915 of 3141"
"Kane County",17089,12.1,64242,"2880 of 3141"
"Lake County",17097,12.8,89865,"2796 of 3141"
"McHenry County",17111,12.9,39824,"2766 of 3141"
"Grundy County",17063,13.1,6572,"2742 of 3141"
"Cook County",17031,13.5,708546,"2678 of 3141"
"Brown County",17009,13.7,930,"2656 of 3141"
"Jackson County",17077,13.7,8100,"2653 of 3141"
"DuPage County",17043,14.0,130303,"2600 of 3141"
"Boone County",17007,14.3,7679,"2530 of 3141"
"St. Clair County",17163,14.3,37862,"2529 of 3141"
"Kankakee County",17091,15.5,17148,"2260 of 3141"
"Coles County",17029,15.5,8163,"2240 of 3141"
"Peoria County",17143,15.5,28945,"2237 of 3141"
"Clinton County",17027,15.8,5950,"2162 of 3141"
"McDonough County",17109,16.0,5064,"2090 of 3141"
"Madison County",17119,16.1,42741,"2077 of 3141"
"Sangamon County",17167,16.1,31929,"2065 of 3141"
"Winnebago County",17201,16.1,46416,"2055 of 3141"
"Monroe County",17133,16.3,5496,"2000 of 3141"
"Woodford County",17203,16.4,6397,"1966 of 3141"
"Cass County",17017,16.4,2116,"1964 of 3141"
"Effingham County",17049,16.5,5652,"1920 of 3141"
"Douglas County",17041,16.8,3339,"1828 of 3141"
"Lawrence County",17101,16.9,2789,"1792 of 3141"
"Bond County",17005,17.0,2895,"1773 of 3141"
"Logan County",17107,17.2,5065,"1724 of 3141"
"Tazewell County",17179,17.3,23273,"1685 of 3141"
"Ogle County",17141,17.4,8970,"1648 of 3141"
"Randolph County",17157,17.5,5752,"1602 of 3141"
"Perry County",17145,17.6,3768,"1594 of 3141"
"Livingston County",17105,17.6,6487,"1569 of 3141"
"La Salle County",17099,17.7,19652,"1544 of 3141"
"Williamson County",17199,17.7,11931,"1543 of 3141"
"Fayette County",17051,17.7,3899,"1525 of 3141"
"Jefferson County",17081,17.8,6845,"1484 of 3141"
"Rock Island County",17161,17.9,26174,"1470 of 3141"
"Jersey County",17083,18.0,3988,"1461 of 3141"
"Lee County",17103,18.0,6243,"1446 of 3141"
"Vermilion County",17183,18.0,14271,"1442 of 3141"
"Warren County",17187,18.1,3150,"1419 of 3141"
"De Witt County",17039,18.1,2927,"1416 of 3141"
"Moultrie County",17139,18.3,2685,"1367 of 3141"
"Crawford County",17033,18.3,3524,"1343 of 3141"
"Macon County",17115,18.4,19745,"1339 of 3141"
"Piatt County",17147,18.4,3022,"1330 of 3141"
"Menard County",17129,18.4,2284,"1329 of 3141"
"Jasper County",17079,18.4,1770,"1317 of 3141"
"Greene County",17061,18.5,2456,"1310 of 3141"
"Cumberland County",17035,18.5,2016,"1292 of 3141"
"Clark County",17023,18.7,2970,"1246 of 3141"
"Christian County",17021,18.7,6290,"1221 of 3141"
"Ford County",17053,18.7,2525,"1218 of 3141"
"Macoupin County",17117,18.8,8640,"1195 of 3141"
"Morgan County",17137,18.9,6496,"1177 of 3141"
"Marion County",17121,18.9,7228,"1172 of 3141"
"Montgomery County",17135,18.9,5518,"1153 of 3141"
"Washington County",17189,19.0,2707,"1137 of 3141"
"Adams County",17001,19.1,12782,"1092 of 3141"
"Fulton County",17057,19.2,6872,"1065 of 3141"
"Saline County",17165,19.2,4701,"1060 of 3141"
"Henry County",17073,19.2,9557,"1059 of 3141"
"Scott County",17171,19.3,984,"1056 of 3141"
"Wabash County",17185,19.3,2238,"1029 of 3141"
"Whiteside County",17195,19.4,11009,"1020 of 3141"
"Johnson County",17087,19.4,2508,"1001 of 3141"
"Union County",17181,19.5,3360,"995 of 3141"
"Franklin County",17055,19.6,7692,"972 of 3141"
"Clay County",17025,19.6,2622,"970 of 3141"
"Richland County",17159,19.7,3145,"936 of 3141"
"Knox County",17095,19.9,10233,"889 of 3141"
"Alexander County",17003,19.9,1350,"887 of 3141"
"Edwards County",17047,19.9,1309,"886 of 3141"
"Pike County",17149,19.9,3177,"884 of 3141"
"Massac County",17127,20.4,2979,"761 of 3141"
"Bureau County",17011,20.5,6879,"750 of 3141"
"Iroquois County",17075,20.5,5830,"745 of 3141"
"Edgar County",17045,20.5,3614,"732 of 3141"
"Mercer County",17131,20.6,3246,"727 of 3141"
"Schuyler County",17169,20.6,1477,"717 of 3141"
"Hardin County",17069,20.6,856,"715 of 3141"
"Pulaski County",17153,20.7,1179,"689 of 3141"
"Wayne County",17191,20.7,3435,"687 of 3141"
"Stephenson County",17177,20.8,9549,"674 of 3141"
"Hamilton County",17065,20.8,1721,"672 of 3141"
"Shelby County",17173,21.0,4593,"648 of 3141"
"Stark County",17175,21.1,1171,"624 of 3141"
"White County",17193,21.2,3004,"612 of 3141"
"Putnam County",17155,21.5,1238,"564 of 3141"
"Mason County",17125,21.6,3010,"538 of 3141"
"Hancock County",17067,22.0,4009,"498 of 3141"
"Marshall County",17123,22.2,2649,"463 of 3141"
"Calhoun County",17013,22.6,1106,"422 of 3141"
"Gallatin County",17059,22.9,1196,"389 of 3141"
"Carroll County",17015,23.8,3494,"315 of 3141"
"Henderson County",17071,24.2,1678,"271 of 3141"
"Jo Daviess County",17085,25.6,5644,"183 of 3141"
"Pope County",17151,27.9,1218,"79 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 65 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
