------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'mob', 'demo': '00021', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_012.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
Mobility: Moved from outside US (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Outside US),Rank within US
"Illinois",17000,0.5,68271,"30 of 51"
"United States",00000,0.7,2074097,"N/A"
"De Witt County",17039,0.0,0,"1 of 3140"
"Hamilton County",17065,0.0,0,"1 of 3140"
"Hardin County",17069,0.0,0,"1 of 3140"
"Pope County",17151,0.0,0,"1 of 3140"
"Scott County",17171,0.0,0,"1 of 3140"
"Stark County",17175,0.0,0,"1 of 3140"
"Union County",17181,0.0,0,"1 of 3140"
"Piatt County",17147,0.0,1,"361 of 3140"
"White County",17193,0.0,1,"364 of 3140"
"Clay County",17025,0.0,2,"393 of 3140"
"Menard County",17129,0.0,2,"399 of 3140"
"Mason County",17125,0.0,3,"426 of 3140"
"Greene County",17061,0.0,3,"432 of 3140"
"Iroquois County",17075,0.0,8,"453 of 3140"
"Edgar County",17045,0.0,5,"456 of 3140"
"Crawford County",17033,0.0,6,"472 of 3140"
"Grundy County",17063,0.0,17,"487 of 3140"
"Macoupin County",17117,0.0,17,"507 of 3140"
"Mercer County",17131,0.0,6,"513 of 3140"
"Jersey County",17083,0.1,12,"601 of 3140"
"Shelby County",17173,0.1,12,"603 of 3140"
"Perry County",17145,0.1,13,"638 of 3140"
"Edwards County",17047,0.1,4,"641 of 3140"
"Bureau County",17011,0.1,21,"655 of 3140"
"Saline County",17165,0.1,18,"751 of 3140"
"Livingston County",17105,0.1,29,"789 of 3140"
"Williamson County",17199,0.1,54,"800 of 3140"
"Calhoun County",17013,0.1,4,"807 of 3140"
"La Salle County",17099,0.1,93,"825 of 3140"
"Massac County",17127,0.1,13,"859 of 3140"
"Jo Daviess County",17085,0.1,21,"895 of 3140"
