------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"United States",00000,85.4,270854872,"N/A"
"Illinois",17000,86.9,11036791,"8 of 51"
"Coles County",17029,74.6,38793,"3095 of 3140"
"Jackson County",17077,74.7,43649,"3093 of 3140"
"DeKalb County",17037,76.5,79086,"3063 of 3140"
"Champaign County",17019,76.5,157328,"3060 of 3140"
"McDonough County",17109,79.3,24824,"2976 of 3140"
"Brown County",17009,79.8,5342,"2949 of 3140"
"Logan County",17107,80.4,23466,"2909 of 3140"
"Lawrence County",17101,81.0,13176,"2851 of 3140"
"Morgan County",17137,81.2,27719,"2837 of 3140"
"McLean County",17113,82.3,140907,"2714 of 3140"
"Macon County",17115,83.3,88694,"2570 of 3140"
"Sangamon County",17167,84.1,164981,"2416 of 3140"
"Edgar County",17045,84.2,14615,"2397 of 3140"
"Peoria County",17143,84.8,155712,"2258 of 3140"
"Jefferson County",17081,85.1,32207,"2205 of 3140"
"Bond County",17005,85.1,14383,"2189 of 3140"
"Fayette County",17051,85.1,18508,"2184 of 3140"
"Montgomery County",17135,85.3,24599,"2151 of 3140"
"Ford County",17053,85.3,11374,"2149 of 3140"
"Piatt County",17147,85.4,13866,"2132 of 3140"
"Rock Island County",17161,85.4,123337,"2115 of 3140"
"Winnebago County",17201,85.5,243142,"2081 of 3140"
"Johnson County",17087,85.8,10905,"2013 of 3140"
"Henderson County",17071,85.8,5888,"2010 of 3140"
"Lee County",17103,85.9,29488,"1971 of 3140"
"Richland County",17159,86.0,13613,"1955 of 3140"
"Clark County",17023,86.0,13533,"1930 of 3140"
"Stephenson County",17177,86.1,39180,"1912 of 3140"
"Marion County",17121,86.1,32631,"1906 of 3140"
"Livingston County",17105,86.2,31318,"1882 of 3140"
"Ogle County",17141,86.2,43993,"1873 of 3140"
"Madison County",17119,86.3,227260,"1852 of 3140"
"Franklin County",17055,86.4,33617,"1834 of 3140"
"Fulton County",17057,86.4,30680,"1827 of 3140"
"Menard County",17129,86.6,10622,"1760 of 3140"
"Cook County",17031,86.8,4489327,"1687 of 3140"
"Lake County",17097,87.0,606154,"1623 of 3140"
