------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"United States",00000,82.4,264493836,"N/A"
"Illinois",17000,83.2,10692456,"11 of 52"
"Kane County",17089,68.4,362115,"212 of 3141"
"Cook County",17031,74.9,3926237,"289 of 3141"
"Lake County",17097,78.9,555582,"356 of 3141"
"Boone County",17007,79.0,42355,"359 of 3141"
"Cass County",17017,81.2,10463,"411 of 3141"
"Kendall County",17093,82.4,101316,"439 of 3141"
"Will County",17197,83.2,572274,"461 of 3141"
"DuPage County",17043,85.9,800536,"549 of 3141"
"Rock Island County",17161,87.4,127844,"595 of 3141"
"McHenry County",17111,87.5,269512,"598 of 3141"
"Winnebago County",17201,87.8,252477,"614 of 3141"
"Whiteside County",17195,88.2,50132,"635 of 3141"
"DeKalb County",17037,89.2,93186,"685 of 3141"
"Kankakee County",17091,89.9,99659,"725 of 3141"
"Ogle County",17141,90.2,46540,"744 of 3141"
"Grundy County",17063,90.6,45616,"779 of 3141"
"La Salle County",17099,90.7,100828,"786 of 3141"
"Warren County",17187,90.8,15818,"790 of 3141"
"Bureau County",17011,91.2,30677,"828 of 3141"
"Douglas County",17041,92.8,18403,"977 of 3141"
"Iroquois County",17075,93.4,26580,"1044 of 3141"
"Lee County",17103,94.1,32629,"1143 of 3141"
"Champaign County",17019,94.3,195996,"1172 of 3141"
"Knox County",17095,94.5,48531,"1212 of 3141"
"Henry County",17073,94.5,46918,"1221 of 3141"
"Putnam County",17155,94.7,5463,"1253 of 3141"
"Union County",17181,95.0,16407,"1323 of 3141"
"Vermilion County",17183,95.2,75371,"1352 of 3141"
"McLean County",17113,95.3,165015,"1373 of 3141"
"Peoria County",17143,95.4,177600,"1404 of 3141"
"Livingston County",17105,95.6,35185,"1450 of 3141"
"Jackson County",17077,95.7,56597,"1483 of 3141"
"St. Clair County",17163,96.1,254140,"1590 of 3141"
"Lawrence County",17101,96.2,15834,"1621 of 3141"
"Stephenson County",17177,96.4,44172,"1664 of 3141"
"Brown County",17009,96.4,6546,"1670 of 3141"
"Carroll County",17015,96.4,14178,"1678 of 3141"
"Bond County",17005,96.5,16444,"1712 of 3141"
"Logan County",17107,96.6,28486,"1729 of 3141"
"Johnson County",17087,96.7,12469,"1746 of 3141"
"Madison County",17119,96.9,257843,"1830 of 3141"
"Clinton County",17027,96.9,36477,"1837 of 3141"
"Marshall County",17123,96.9,11560,"1855 of 3141"
"Randolph County",17157,96.9,31826,"1857 of 3141"
"Perry County",17145,97.0,20816,"1870 of 3141"
"Ford County",17053,97.0,13063,"1874 of 3141"
"Jo Daviess County",17085,97.1,21398,"1906 of 3141"
"Crawford County",17033,97.1,18657,"1918 of 3141"
"Fulton County",17057,97.1,34704,"1926 of 3141"
"McDonough County",17109,97.3,30746,"2031 of 3141"
"Massac County",17127,97.3,14201,"2032 of 3141"
"De Witt County",17039,97.4,15762,"2084 of 3141"
"Williamson County",17199,97.5,65776,"2109 of 3141"
"Jefferson County",17081,97.6,37430,"2152 of 3141"
"Coles County",17029,97.6,51273,"2158 of 3141"
"Morgan County",17137,97.7,33639,"2199 of 3141"
"Mercer County",17131,97.8,15440,"2244 of 3141"
"Tazewell County",17179,97.8,131677,"2245 of 3141"
"Sangamon County",17167,97.8,193774,"2266 of 3141"
"Macon County",17115,97.8,105260,"2289 of 3141"
"Pulaski County",17153,97.9,5572,"2333 of 3141"
"Wabash County",17185,98.0,11339,"2397 of 3141"
"Effingham County",17049,98.1,33503,"2418 of 3141"
"Pope County",17151,98.1,4276,"2419 of 3141"
