------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"Illinois",17000,1.6,207187,"5 of 51"
"United States",00000,2.3,7354769,"N/A"
"Hardin County",17069,0.1,5,"28 of 3140"
"Schuyler County",17169,0.2,17,"58 of 3140"
"De Witt County",17039,0.3,42,"65 of 3140"
"Moultrie County",17139,0.4,52,"107 of 3140"
"Hamilton County",17065,0.4,33,"124 of 3140"
"Marshall County",17123,0.4,51,"138 of 3140"
"Jasper County",17079,0.5,43,"151 of 3140"
"Brown County",17009,0.5,32,"166 of 3140"
"Scott County",17171,0.5,26,"189 of 3140"
"Livingston County",17105,0.6,214,"236 of 3140"
"Mason County",17125,0.7,97,"340 of 3140"
"Grundy County",17063,0.7,369,"364 of 3140"
"Knox County",17095,0.8,385,"377 of 3140"
"Woodford County",17203,0.8,303,"410 of 3140"
"Douglas County",17041,0.8,154,"417 of 3140"
"Edwards County",17047,0.8,52,"428 of 3140"
"Johnson County",17087,0.8,104,"441 of 3140"
"Logan County",17107,0.8,239,"443 of 3140"
"Clay County",17025,0.8,109,"446 of 3140"
"Shelby County",17173,0.8,179,"448 of 3140"
