------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"Illinois",17000,9.8,305588,"26 of 52"
"United States",00000,10.5,8253388,"N/A"
"Piatt County",17147,3.5,168,"78 of 3141"
"Monroe County",17133,3.9,392,"116 of 3141"
"Kendall County",17093,4.0,1266,"122 of 3141"
"DuPage County",17043,4.8,11486,"217 of 3141"
"Putnam County",17155,5.0,82,"239 of 3141"
"McHenry County",17111,5.3,4359,"281 of 3141"
"Jo Daviess County",17085,5.3,339,"288 of 3141"
"Logan County",17107,5.4,385,"301 of 3141"
"Tazewell County",17179,5.6,2068,"332 of 3141"
"Will County",17197,5.7,9744,"353 of 3141"
"Woodford County",17203,5.8,615,"367 of 3141"
"Clinton County",17027,6.4,618,"504 of 3141"
"Lake County",17097,6.5,11654,"518 of 3141"
"Lee County",17103,6.8,583,"585 of 3141"
"Marshall County",17123,7.1,226,"671 of 3141"
"Hancock County",17067,7.2,376,"681 of 3141"
"Washington County",17189,7.2,281,"694 of 3141"
"Grundy County",17063,7.2,1001,"697 of 3141"
"Boone County",17007,7.3,1009,"710 of 3141"
"McLean County",17113,7.3,2973,"712 of 3141"
"Henderson County",17071,7.4,147,"720 of 3141"
"Ogle County",17141,7.5,1073,"768 of 3141"
"Kane County",17089,7.6,9923,"794 of 3141"
"Schuyler County",17169,7.6,139,"798 of 3141"
