------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'inc', 'demo': '00010', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_004.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
Income: Median family income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"United States",00000,70850.000000000,"N/A"
"Illinois",17000,76533.000000000,"17 of 52"
"Alexander County",17003,37583.000000000,"3071 of 3141"
"Franklin County",17055,51081.000000000,"2402 of 3141"
"Pulaski County",17153,51250.000000000,"2389 of 3141"
"Saline County",17165,51921.000000000,"2326 of 3141"
"Gallatin County",17059,52171.000000000,"2291 of 3141"
"Pike County",17149,53109.000000000,"2201 of 3141"
"Fayette County",17051,53690.000000000,"2160 of 3141"
"Greene County",17061,53871.000000000,"2149 of 3141"
"Henderson County",17071,55098.000000000,"2047 of 3141"
"Union County",17181,55195.000000000,"2037 of 3141"
"Hardin County",17069,55625.000000000,"1995 of 3141"
"Lawrence County",17101,55739.000000000,"1986 of 3141"
"Vermilion County",17183,55995.000000000,"1961 of 3141"
"Mason County",17125,56437.000000000,"1924 of 3141"
"Marion County",17121,56510.000000000,"1918 of 3141"
"Massac County",17127,56601.000000000,"1907 of 3141"
"Jackson County",17077,56800.000000000,"1887 of 3141"
"Wayne County",17191,57027.000000000,"1861 of 3141"
"Pope County",17151,57281.000000000,"1838 of 3141"
"Johnson County",17087,57694.000000000,"1796 of 3141"
"Knox County",17095,57708.000000000,"1795 of 3141"
"Stephenson County",17177,58446.000000000,"1715 of 3141"
"Richland County",17159,58465.000000000,"1713 of 3141"
"White County",17193,58597.000000000,"1700 of 3141"
"Jefferson County",17081,58818.000000000,"1685 of 3141"
"Coles County",17029,59135.000000000,"1650 of 3141"
"Hamilton County",17065,59176.000000000,"1646 of 3141"
"Edgar County",17045,59354.000000000,"1627 of 3141"
"Shelby County",17173,59570.000000000,"1602 of 3141"
"Warren County",17187,59663.000000000,"1591 of 3141"
"Montgomery County",17135,59787.000000000,"1576 of 3141"
"Schuyler County",17169,59821.000000000,"1573 of 3141"
"Clark County",17023,59983.000000000,"1551 of 3141"
"Cass County",17017,60327.000000000,"1509 of 3141"
"Fulton County",17057,60450.000000000,"1495 of 3141"
"Christian County",17021,60527.000000000,"1487 of 3141"
"Clay County",17025,60720.000000000,"1466 of 3141"
"Iroquois County",17075,61113.000000000,"1424 of 3141"
"Hancock County",17067,61420.000000000,"1397 of 3141"
"Morgan County",17137,61560.000000000,"1383 of 3141"
"Winnebago County",17201,61580.000000000,"1379 of 3141"
"Crawford County",17033,62126.000000000,"1336 of 3141"
"Adams County",17001,62213.000000000,"1322 of 3141"
"Ford County",17053,62554.000000000,"1290 of 3141"
"Moultrie County",17139,63125.000000000,"1231 of 3141"
"Cumberland County",17035,63482.000000000,"1195 of 3141"
"Williamson County",17199,63494.000000000,"1192 of 3141"
"Edwards County",17047,63724.000000000,"1178 of 3141"
"Carroll County",17015,63856.000000000,"1169 of 3141"
"Douglas County",17041,64017.000000000,"1152 of 3141"
"Whiteside County",17195,64143.000000000,"1144 of 3141"
"Perry County",17145,64191.000000000,"1138 of 3141"
"Macon County",17115,64598.000000000,"1103 of 3141"
"Stark County",17175,64607.000000000,"1102 of 3141"
