------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'pop', 'demo': '00103', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_015.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
Population: Age 40-64
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40-64),Rank within US
"United States",00000,32.4,104105673,"N/A"
"Illinois",17000,32.7,4197051,"30 of 52"
"Champaign County",17019,25.3,52679,"53 of 3141"
"Jackson County",17077,26.0,15387,"75 of 3141"
"McDonough County",17109,26.0,8228,"77 of 3141"
"DeKalb County",17037,28.0,29235,"188 of 3141"
"Coles County",17029,28.4,14925,"220 of 3141"
"McLean County",17113,28.7,49686,"246 of 3141"
"Peoria County",17143,30.7,57220,"535 of 3141"
"Douglas County",17041,30.8,6099,"539 of 3141"
"Warren County",17187,30.8,5366,"547 of 3141"
"Kendall County",17093,31.1,38185,"609 of 3141"
"Cook County",17031,31.5,1651109,"745 of 3141"
"Alexander County",17003,31.6,2143,"781 of 3141"
"Moultrie County",17139,31.6,4656,"790 of 3141"
"Kankakee County",17091,32.1,35514,"922 of 3141"
"Rock Island County",17161,32.1,46959,"956 of 3141"
"Pulaski County",17153,32.2,1830,"977 of 3141"
"Vermilion County",17183,32.2,25506,"987 of 3141"
"Effingham County",17049,32.3,11022,"1017 of 3141"
"Morgan County",17137,32.3,11130,"1037 of 3141"
"Adams County",17001,32.3,21600,"1046 of 3141"
"Knox County",17095,32.4,16623,"1055 of 3141"
"Wabash County",17185,32.9,3801,"1266 of 3141"
"Macon County",17115,32.9,35413,"1298 of 3141"
"White County",17193,32.9,4672,"1305 of 3141"
