------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"Illinois",17000,21.9,2750295,"23 of 52"
"United States",00000,23.7,74202606,"N/A"
"Monroe County",17133,8.9,2988,"22 of 3141"
"Kendall County",17093,10.0,12256,"43 of 3141"
"Piatt County",17147,11.5,1876,"75 of 3141"
"McHenry County",17111,12.0,36678,"93 of 3141"
"DuPage County",17043,12.1,111398,"100 of 3141"
"Woodford County",17203,12.7,4831,"130 of 3141"
"Will County",17197,13.3,90168,"149 of 3141"
"Putnam County",17155,14.4,823,"199 of 3141"
"Grundy County",17063,14.5,7198,"203 of 3141"
"Lake County",17097,14.9,102590,"234 of 3141"
"Clinton County",17027,15.4,5470,"262 of 3141"
"Jo Daviess County",17085,16.0,3488,"298 of 3141"
"Tazewell County",17179,16.1,21131,"304 of 3141"
"Menard County",17129,16.7,2033,"358 of 3141"
"Washington County",17189,17.1,2396,"397 of 3141"
"Jersey County",17083,17.4,3707,"434 of 3141"
"Mercer County",17131,17.7,2743,"458 of 3141"
"Kane County",17089,17.7,92582,"462 of 3141"
"Logan County",17107,18.0,4529,"488 of 3141"
"Marshall County",17123,18.3,2124,"515 of 3141"
"Carroll County",17015,18.5,2671,"549 of 3141"
"Boone County",17007,19.3,10273,"646 of 3141"
"Effingham County",17049,19.5,6533,"670 of 3141"
"Henderson County",17071,19.5,1339,"671 of 3141"
"Jasper County",17079,19.6,1845,"684 of 3141"
"Whiteside County",17195,19.7,10996,"704 of 3141"
