------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"United States",00000,30.9,66887603,"N/A"
"Illinois",17000,33.4,2898584,"13 of 52"
"Alexander County",17003,10.7,497,"2980 of 3141"
"Hardin County",17069,11.1,347,"2943 of 3141"
"Pulaski County",17153,11.2,455,"2930 of 3141"
"Lawrence County",17101,11.6,1374,"2885 of 3141"
"Fayette County",17051,11.9,1843,"2843 of 3141"
"Greene County",17061,12.0,1125,"2837 of 3141"
"Massac County",17127,12.1,1256,"2809 of 3141"
"Edwards County",17047,12.5,571,"2750 of 3141"
"Perry County",17145,12.5,1913,"2740 of 3141"
"Gallatin County",17059,12.8,481,"2693 of 3141"
"Pope County",17151,13.1,446,"2642 of 3141"
"Randolph County",17157,13.1,3139,"2638 of 3141"
"Brown County",17009,13.2,664,"2635 of 3141"
"Wayne County",17191,13.2,1531,"2633 of 3141"
"Cass County",17017,13.4,1173,"2591 of 3141"
"Calhoun County",17013,13.7,484,"2541 of 3141"
"Scott County",17171,13.9,502,"2510 of 3141"
"Henderson County",17071,14.2,726,"2456 of 3141"
"Iroquois County",17075,14.3,2868,"2450 of 3141"
"Montgomery County",17135,14.4,3021,"2420 of 3141"
"Vermilion County",17183,14.6,7871,"2374 of 3141"
"Putnam County",17155,14.9,631,"2325 of 3141"
"Clay County",17025,14.9,1408,"2323 of 3141"
"Cumberland County",17035,15.0,1148,"2298 of 3141"
"Livingston County",17105,15.1,3869,"2295 of 3141"
"Franklin County",17055,15.2,4200,"2272 of 3141"
"Marion County",17121,15.2,4039,"2265 of 3141"
"Mason County",17125,15.4,1543,"2234 of 3141"
"White County",17193,15.6,1572,"2198 of 3141"
"Shelby County",17173,16.0,2487,"2114 of 3141"
"Pike County",17149,16.1,1790,"2089 of 3141"
"Jefferson County",17081,16.1,4318,"2081 of 3141"
"Johnson County",17087,16.2,1522,"2076 of 3141"
"Christian County",17021,16.4,3919,"2039 of 3141"
"Saline County",17165,16.4,2817,"2029 of 3141"
"Crawford County",17033,16.9,2351,"1958 of 3141"
"Hamilton County",17065,16.9,983,"1954 of 3141"
"Clark County",17023,17.1,1894,"1911 of 3141"
"Jasper County",17079,17.4,1165,"1867 of 3141"
"Carroll County",17015,17.4,1869,"1865 of 3141"
"Marshall County",17123,17.4,1495,"1854 of 3141"
"Edgar County",17045,17.6,2229,"1818 of 3141"
"Fulton County",17057,17.7,4549,"1813 of 3141"
"La Salle County",17099,17.8,13796,"1796 of 3141"
"Lee County",17103,17.8,4455,"1788 of 3141"
"Schuyler County",17169,17.9,967,"1778 of 3141"
"Knox County",17095,17.9,6397,"1776 of 3141"
"Whiteside County",17195,18.1,7172,"1744 of 3141"
"Moultrie County",17139,18.1,1800,"1735 of 3141"
"Macoupin County",17117,18.5,6011,"1664 of 3141"
"Stephenson County",17177,18.7,6032,"1624 of 3141"
"Mercer County",17131,18.7,2105,"1622 of 3141"
"Wabash County",17185,18.7,1507,"1620 of 3141"
