------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Illinois",17000,2.6,125088,"21 of 52"
"United States",00000,3.3,3975282,"N/A"
"Schuyler County",17169,0.2,6,"3078 of 3141"
"Jasper County",17079,0.5,18,"3001 of 3141"
"Monroe County",17133,0.6,74,"2966 of 3141"
"Henry County",17073,0.6,116,"2953 of 3141"
"Piatt County",17147,0.6,39,"2950 of 3141"
"Mercer County",17131,0.6,41,"2931 of 3141"
"Hardin County",17069,0.6,9,"2930 of 3141"
"Pulaski County",17153,0.7,15,"2909 of 3141"
"Hamilton County",17065,0.7,25,"2861 of 3141"
"Woodford County",17203,0.8,113,"2833 of 3141"
"Perry County",17145,0.8,64,"2831 of 3141"
"Edgar County",17045,0.8,61,"2816 of 3141"
"Logan County",17107,0.8,88,"2814 of 3141"
"Mason County",17125,0.8,49,"2803 of 3141"
"Stephenson County",17177,0.8,165,"2782 of 3141"
"Marshall County",17123,0.9,43,"2736 of 3141"
"Gallatin County",17059,0.9,20,"2733 of 3141"
"Clinton County",17027,0.9,126,"2723 of 3141"
"Putnam County",17155,0.9,22,"2705 of 3141"
"Ford County",17053,0.9,53,"2680 of 3141"
"Adams County",17001,0.9,257,"2676 of 3141"
"Morgan County",17137,1.0,133,"2660 of 3141"
"Randolph County",17157,1.0,116,"2657 of 3141"
"Bureau County",17011,1.0,133,"2654 of 3141"
"Grundy County",17063,1.0,188,"2623 of 3141"
"Williamson County",17199,1.0,273,"2595 of 3141"
"Edwards County",17047,1.0,29,"2576 of 3141"
"Carroll County",17015,1.1,72,"2518 of 3141"
"La Salle County",17099,1.1,492,"2500 of 3141"
"Stark County",17175,1.1,26,"2487 of 3141"
"Whiteside County",17195,1.1,263,"2480 of 3141"
"Madison County",17119,1.1,1218,"2460 of 3141"
"Tazewell County",17179,1.1,622,"2458 of 3141"
"Christian County",17021,1.1,158,"2457 of 3141"
"Coles County",17029,1.1,239,"2456 of 3141"
"Jersey County",17083,1.2,102,"2433 of 3141"
"Pope County",17151,1.2,19,"2426 of 3141"
"Effingham County",17049,1.2,158,"2413 of 3141"
"Washington County",17189,1.2,70,"2392 of 3141"
"Macon County",17115,1.2,538,"2361 of 3141"
"Pike County",17149,1.2,81,"2357 of 3141"
"Jackson County",17077,1.3,300,"2318 of 3141"
"Jo Daviess County",17085,1.3,123,"2314 of 3141"
"Johnson County",17087,1.3,57,"2304 of 3141"
"Livingston County",17105,1.3,183,"2302 of 3141"
"Franklin County",17055,1.3,212,"2264 of 3141"
"Hancock County",17067,1.3,98,"2257 of 3141"
"Knox County",17095,1.3,275,"2242 of 3141"
"Greene County",17061,1.3,67,"2231 of 3141"
"Macoupin County",17117,1.3,246,"2228 of 3141"
"Montgomery County",17135,1.3,149,"2219 of 3141"
"Fulton County",17057,1.4,192,"2182 of 3141"
"White County",17193,1.4,88,"2103 of 3141"
"McLean County",17113,1.4,953,"2088 of 3141"
"Peoria County",17143,1.5,1089,"2072 of 3141"
"Sangamon County",17167,1.5,1229,"2064 of 3141"
"Richland County",17159,1.5,95,"2060 of 3141"
"St. Clair County",17163,1.5,1520,"2058 of 3141"
"Crawford County",17033,1.5,113,"2057 of 3141"
"Kankakee County",17091,1.5,609,"2009 of 3141"
"McHenry County",17111,1.6,1737,"1950 of 3141"
"Wabash County",17185,1.6,79,"1910 of 3141"
"Vermilion County",17183,1.6,504,"1909 of 3141"
"Scott County",17171,1.6,34,"1906 of 3141"
"Henderson County",17071,1.7,51,"1810 of 3141"
"Lee County",17103,1.7,229,"1793 of 3141"
"Shelby County",17173,1.8,161,"1755 of 3141"
"McDonough County",17109,1.8,205,"1729 of 3141"
"Moultrie County",17139,1.8,105,"1722 of 3141"
"Clark County",17023,1.8,125,"1668 of 3141"
"Massac County",17127,1.9,114,"1619 of 3141"
"De Witt County",17039,1.9,126,"1612 of 3141"
"Iroquois County",17075,1.9,223,"1608 of 3141"
"Will County",17197,1.9,4306,"1598 of 3141"
"Saline County",17165,1.9,192,"1566 of 3141"
"Brown County",17009,1.9,40,"1562 of 3141"
"Kendall County",17093,1.9,773,"1560 of 3141"
"Marion County",17121,1.9,312,"1548 of 3141"
"Cumberland County",17035,2.0,84,"1538 of 3141"
"Menard County",17129,2.0,103,"1532 of 3141"
"Wayne County",17191,2.0,143,"1489 of 3141"
"Jefferson County",17081,2.1,316,"1429 of 3141"
"Rock Island County",17161,2.1,1246,"1427 of 3141"
"Winnebago County",17201,2.1,2409,"1394 of 3141"
"Ogle County",17141,2.1,446,"1358 of 3141"
"Cass County",17017,2.2,113,"1307 of 3141"
"Calhoun County",17013,2.2,42,"1264 of 3141"
"Alexander County",17003,2.3,56,"1200 of 3141"
"Douglas County",17041,2.3,177,"1167 of 3141"
"Fayette County",17051,2.3,179,"1165 of 3141"
"DuPage County",17043,2.4,8043,"1145 of 3141"
"Lake County",17097,2.5,5994,"1065 of 3141"
"Lawrence County",17101,2.6,164,"949 of 3141"
"Union County",17181,2.6,176,"938 of 3141"
"DeKalb County",17037,2.7,1004,"893 of 3141"
"Boone County",17007,3.1,575,"703 of 3141"
"Clay County",17025,3.5,196,"528 of 3141"
"Cook County",17031,3.5,69234,"510 of 3141"
"Warren County",17187,3.5,241,"505 of 3141"
"Bond County",17005,3.6,219,"495 of 3141"
"Kane County",17089,3.9,6888,"400 of 3141"
"Champaign County",17019,4.7,3792,"259 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
