------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'ins', 'demo': '00043', 'race': '00', 'sex': '0', 'age': '006', 'type': 'manyareacensus', 'file_name': 'demographics_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
"Insurance: Percent uninsured in demographic group, people at or below 138% of poverty"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2017 Small Area Health Insurance Estimates Data
Sorted by Value

County, FIPS,Value (Percent),People (Uninsured),Rank within US
"Illinois",17000,13.7,275448,"22 of 51"
"Alexander County",17003,7.1,146,"31 of 3139"
"Marion County",17121,7.8,635,"68 of 3139"
"Macon County",17115,7.9,1623,"75 of 3139"
"Adams County",17001,8.0,807,"79 of 3139"
"Brown County",17009,8.0,54,"79 of 3139"
"Knox County",17095,8.0,773,"79 of 3139"
"Williamson County",17199,8.0,942,"79 of 3139"
"Jefferson County",17081,8.1,580,"99 of 3139"
"Logan County",17107,8.1,315,"99 of 3139"
"Madison County",17119,8.1,3302,"99 of 3139"
"Morgan County",17137,8.1,448,"99 of 3139"
"Vermilion County",17183,8.2,1420,"112 of 3139"
"Hancock County",17067,8.5,233,"144 of 3139"
"Massac County",17127,8.5,251,"144 of 3139"
"Perry County",17145,8.5,291,"144 of 3139"
"Tazewell County",17179,8.5,1304,"144 of 3139"
"Franklin County",17055,8.6,731,"156 of 3139"
"White County",17193,8.6,212,"156 of 3139"
"De Witt County",17039,8.7,200,"168 of 3139"
"Scott County",17171,8.7,69,"168 of 3139"
"Christian County",17021,8.8,460,"186 of 3139"
"Edgar County",17045,8.8,276,"186 of 3139"
"Livingston County",17105,8.8,462,"186 of 3139"
"Richland County",17159,8.8,267,"186 of 3139"
"Gallatin County",17059,8.9,88,"215 of 3139"
"Hamilton County",17065,8.9,120,"215 of 3139"
