------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"United States",00000,6.6,10560305,"N/A"
"Illinois",17000,7.4,491310,"42 of 52"
"Moultrie County",17139,3.0,213,"306 of 3141"
"Calhoun County",17013,3.7,83,"521 of 3141"
"Clinton County",17027,3.9,756,"584 of 3141"
"McLean County",17113,3.9,3703,"591 of 3141"
"Hamilton County",17065,4.0,155,"617 of 3141"
"Jo Daviess County",17085,4.3,497,"747 of 3141"
"Randolph County",17157,4.4,614,"785 of 3141"
"Effingham County",17049,4.4,796,"787 of 3141"
"Shelby County",17173,4.4,479,"790 of 3141"
"Washington County",17189,4.4,331,"791 of 3141"
"Monroe County",17133,4.4,818,"795 of 3141"
"Jasper County",17079,4.4,210,"800 of 3141"
"Piatt County",17147,4.5,409,"830 of 3141"
"Menard County",17129,4.6,294,"866 of 3141"
"Christian County",17021,4.6,728,"880 of 3141"
"Brown County",17009,4.7,119,"908 of 3141"
"Woodford County",17203,4.7,923,"914 of 3141"
"Stark County",17175,4.8,129,"937 of 3141"
"Wayne County",17191,4.8,367,"938 of 3141"
"Kendall County",17093,5.0,3314,"1031 of 3141"
"Clay County",17025,5.0,334,"1045 of 3141"
"Cumberland County",17035,5.0,272,"1052 of 3141"
"Tazewell County",17179,5.1,3415,"1071 of 3141"
"Henry County",17073,5.1,1228,"1081 of 3141"
"Bond County",17005,5.1,402,"1088 of 3141"
"DuPage County",17043,5.2,26614,"1132 of 3141"
"Champaign County",17019,5.2,5682,"1150 of 3141"
"Putnam County",17155,5.2,165,"1159 of 3141"
"Union County",17181,5.3,409,"1202 of 3141"
"Douglas County",17041,5.4,518,"1216 of 3141"
"McHenry County",17111,5.4,9220,"1226 of 3141"
"Lawrence County",17101,5.4,363,"1236 of 3141"
"Adams County",17001,5.5,1874,"1281 of 3141"
"Livingston County",17105,5.5,945,"1310 of 3141"
"Logan County",17107,5.6,744,"1316 of 3141"
"Bureau County",17011,5.7,990,"1398 of 3141"
"Montgomery County",17135,5.8,663,"1447 of 3141"
"Carroll County",17015,5.8,419,"1461 of 3141"
"Grundy County",17063,5.8,1529,"1466 of 3141"
"Lee County",17103,5.9,964,"1491 of 3141"
"Henderson County",17071,6.0,213,"1547 of 3141"
"Will County",17197,6.0,21961,"1554 of 3141"
"Whiteside County",17195,6.0,1707,"1563 of 3141"
"Morgan County",17137,6.1,1023,"1592 of 3141"
"Edwards County",17047,6.1,204,"1600 of 3141"
"Kane County",17089,6.2,17375,"1643 of 3141"
"Marshall County",17123,6.2,366,"1657 of 3141"
"Crawford County",17033,6.2,539,"1664 of 3141"
"Lake County",17097,6.3,23235,"1679 of 3141"
"Jersey County",17083,6.3,694,"1680 of 3141"
"Richland County",17159,6.3,490,"1722 of 3141"
"Knox County",17095,6.3,1446,"1723 of 3141"
"Clark County",17023,6.5,531,"1794 of 3141"
"Mercer County",17131,6.5,511,"1824 of 3141"
"Iroquois County",17075,6.5,923,"1827 of 3141"
"Ogle County",17141,6.5,1731,"1841 of 3141"
"Hancock County",17067,6.6,582,"1850 of 3141"
"Warren County",17187,6.6,581,"1867 of 3141"
"Ford County",17053,6.6,437,"1879 of 3141"
"De Witt County",17039,6.6,575,"1884 of 3141"
"Pike County",17149,6.7,498,"1908 of 3141"
"Perry County",17145,6.7,593,"1922 of 3141"
"Greene County",17061,6.7,423,"1939 of 3141"
