------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '17', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=17&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Illinois by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"Illinois",17000,49.1,6312600,"23 of 52"
"United States",00000,49.2,158018753,"N/A"
"Gallatin County",17059,47.4,2475,"120 of 3141"
"Macon County",17115,47.8,51439,"192 of 3141"
"Sangamon County",17167,48.0,95103,"248 of 3141"
"Massac County",17127,48.1,7017,"275 of 3141"
"Alexander County",17003,48.1,3258,"276 of 3141"
"St. Clair County",17163,48.3,127649,"358 of 3141"
"Coles County",17029,48.3,25395,"390 of 3141"
"Stephenson County",17177,48.4,22183,"426 of 3141"
"Warren County",17187,48.4,8439,"437 of 3141"
"Peoria County",17143,48.5,90211,"462 of 3141"
"Pulaski County",17153,48.5,2760,"490 of 3141"
"Cook County",17031,48.5,2540704,"495 of 3141"
"McLean County",17113,48.7,84327,"606 of 3141"
"Moultrie County",17139,48.8,7173,"662 of 3141"
"Iroquois County",17075,48.8,13878,"668 of 3141"
"Madison County",17119,48.8,129987,"732 of 3141"
"Winnebago County",17201,48.9,140454,"740 of 3141"
"Jersey County",17083,48.9,10855,"754 of 3141"
"Logan County",17107,48.9,14420,"796 of 3141"
"Adams County",17001,49.0,32698,"856 of 3141"
"Menard County",17129,49.0,6080,"866 of 3141"
"Hamilton County",17065,49.0,4045,"876 of 3141"
"Edwards County",17047,49.0,3218,"878 of 3141"
"Scott County",17171,49.0,2503,"893 of 3141"
"Marion County",17121,49.0,18781,"919 of 3141"
"White County",17193,49.0,6957,"927 of 3141"
"DuPage County",17043,49.1,457327,"967 of 3141"
"Bureau County",17011,49.1,16506,"985 of 3141"
"Edgar County",17045,49.1,8643,"989 of 3141"
"Franklin County",17055,49.1,19302,"999 of 3141"
"Kankakee County",17091,49.1,54425,"1004 of 3141"
"Wabash County",17185,49.1,5684,"1017 of 3141"
"Henderson County",17071,49.1,3404,"1026 of 3141"
"Clark County",17023,49.2,7827,"1036 of 3141"
"Monroe County",17133,49.2,16585,"1042 of 3141"
"Saline County",17165,49.2,12028,"1123 of 3141"
"McDonough County",17109,49.3,15563,"1148 of 3141"
"Whiteside County",17195,49.3,27990,"1150 of 3141"
"Rock Island County",17161,49.3,72053,"1184 of 3141"
"Clay County",17025,49.3,6602,"1196 of 3141"
"Douglas County",17041,49.3,9780,"1219 of 3141"
"Tazewell County",17179,49.3,66456,"1238 of 3141"
"Stark County",17175,49.3,2739,"1244 of 3141"
"Ford County",17053,49.3,6647,"1257 of 3141"
"Macoupin County",17117,49.4,22691,"1295 of 3141"
"Piatt County",17147,49.4,8122,"1370 of 3141"
"Kendall County",17093,49.5,60801,"1413 of 3141"
"DeKalb County",17037,49.5,51739,"1486 of 3141"
"Wayne County",17191,49.5,8209,"1512 of 3141"
"Carroll County",17015,49.6,7288,"1532 of 3141"
"Henry County",17073,49.6,24610,"1539 of 3141"
"Mercer County",17131,49.6,7830,"1547 of 3141"
"Pike County",17149,49.6,7907,"1606 of 3141"
"Richland County",17159,49.6,7919,"1613 of 3141"
"Vermilion County",17183,49.6,39325,"1621 of 3141"
"Will County",17197,49.7,341719,"1659 of 3141"
"Shelby County",17173,49.7,10885,"1661 of 3141"
"Jasper County",17079,49.7,4776,"1682 of 3141"
"Hancock County",17067,49.7,9083,"1701 of 3141"
"Woodford County",17203,49.8,19374,"1722 of 3141"
"Kane County",17089,49.8,263392,"1726 of 3141"
"Ogle County",17141,49.8,25702,"1761 of 3141"
"Marshall County",17123,49.8,5938,"1766 of 3141"
"Effingham County",17049,49.8,17021,"1783 of 3141"
"McHenry County",17111,49.8,153503,"1790 of 3141"
"Jackson County",17077,49.8,29460,"1793 of 3141"
"Williamson County",17199,49.9,33646,"1814 of 3141"
"Boone County",17007,49.9,26755,"1833 of 3141"
"Champaign County",17019,49.9,103843,"1889 of 3141"
"Lake County",17097,49.9,351847,"1898 of 3141"
"Mason County",17125,50.0,6948,"1920 of 3141"
"Grundy County",17063,50.0,25154,"1924 of 3141"
"De Witt County",17039,50.0,8085,"1928 of 3141"
"Cumberland County",17035,50.0,5453,"1973 of 3141"
"Calhoun County",17013,50.1,2453,"2016 of 3141"
"Greene County",17061,50.2,6682,"2113 of 3141"
"La Salle County",17099,50.2,55819,"2127 of 3141"
"Jo Daviess County",17085,50.3,11081,"2170 of 3141"
"Morgan County",17137,50.3,17319,"2185 of 3141"
"Washington County",17189,50.4,7182,"2246 of 3141"
"Union County",17181,50.5,8712,"2300 of 3141"
"Cass County",17017,50.7,6529,"2426 of 3141"
"Knox County",17095,50.8,26079,"2464 of 3141"
"Christian County",17021,50.8,17040,"2468 of 3141"
"Putnam County",17155,51.2,2957,"2616 of 3141"
"Livingston County",17105,51.3,18890,"2636 of 3141"
"Jefferson County",17081,51.3,19691,"2642 of 3141"
"Bond County",17005,51.5,8767,"2672 of 3141"
"Clinton County",17027,51.9,19549,"2764 of 3141"
"Montgomery County",17135,52.1,15199,"2798 of 3141"
"Hardin County",17069,52.2,2171,"2810 of 3141"
"Fulton County",17057,52.3,18673,"2825 of 3141"
"Crawford County",17033,52.4,10067,"2842 of 3141"
"Lee County",17103,53.0,18375,"2897 of 3141"
"Pope County",17151,53.3,2322,"2922 of 3141"
"Fayette County",17051,53.5,11751,"2943 of 3141"
"Schuyler County",17169,54.2,3894,"2994 of 3141"
"Lawrence County",17101,54.9,9034,"3021 of 3141"
"Perry County",17145,55.1,11832,"3029 of 3141"
"Randolph County",17157,55.5,18235,"3043 of 3141"
"Johnson County",17087,56.9,7342,"3069 of 3141"
"Brown County",17009,64.2,4360,"3129 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Male, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
