------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '25', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Massachusetts by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"United States",00000,4.5,5305440,"N/A"
"Massachusetts",25000,5.8,149355,"44 of 51"
"Franklin County",25011,1.2,370,"1895 of 3140"
"Dukes County",25007,1.4,86,"2019 of 3140"
"Barnstable County",25001,1.4,1349,"2035 of 3140"
"Hampshire County",25015,1.6,962,"2177 of 3140"
"Berkshire County",25003,1.7,909,"2187 of 3140"
"Plymouth County",25023,2.8,5230,"2604 of 3140"
"Nantucket County",25019,3.0,114,"2639 of 3140"
"Norfolk County",25021,4.4,11480,"2814 of 3140"
"Worcester County",25027,4.8,14550,"2848 of 3140"
"Bristol County",25005,5.6,12031,"2893 of 3140"
"Middlesex County",25017,5.7,33789,"2897 of 3140"
"Essex County",25009,6.1,17918,"2924 of 3140"
"Hampden County",25013,6.4,11521,"2943 of 3140"
"Suffolk County",25025,12.9,39046,"3094 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Non-English Language: Language isolation, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#non-english."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
A "limited English speaking household" is one in which no member 14 years old and over (1) speaks only English or (2) speaks a non-English language and speaks English "very well."
Data for United States does not include Puerto Rico.
