------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '25', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Massachusetts by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"Massachusetts",25000,11.2,760177,"19 of 52"
"United States",00000,17.6,56510571,"N/A"
"Dukes County",25007,1.6,280,"2594 of 3141"
"Barnstable County",25001,2.7,5869,"1996 of 3141"
"Plymouth County",25023,3.7,18664,"1651 of 3141"
"Franklin County",25011,3.8,2669,"1625 of 3141"
"Norfolk County",25021,4.2,28900,"1515 of 3141"
"Berkshire County",25003,4.3,5461,"1478 of 3141"
"Hampshire County",25015,5.4,8634,"1247 of 3141"
"Bristol County",25005,7.3,40913,"958 of 3141"
"Middlesex County",25017,7.7,121171,"918 of 3141"
"Nantucket County",25019,8.6,943,"839 of 3141"
"Worcester County",25027,10.8,88475,"683 of 3141"
"Essex County",25009,19.6,152189,"389 of 3141"
"Suffolk County",25025,22.3,173707,"337 of 3141"
"Hampden County",25013,23.9,112302,"306 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Hispanic, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
