------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '25', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Massachusetts by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Massachusetts",25000,1.9,49539,"35 of 52"
"United States",00000,3.3,3975282,"N/A"
"Berkshire County",25003,0.6,332,"2941 of 3141"
"Hampshire County",25015,1.1,627,"2545 of 3141"
"Franklin County",25011,1.1,335,"2512 of 3141"
"Barnstable County",25001,1.1,1058,"2493 of 3141"
"Plymouth County",25023,1.2,2262,"2351 of 3141"
"Dukes County",25007,1.3,77,"2317 of 3141"
"Norfolk County",25021,1.3,3511,"2206 of 3141"
"Bristol County",25005,1.4,2949,"2180 of 3141"
"Middlesex County",25017,1.9,10990,"1652 of 3141"
"Worcester County",25027,2.0,6117,"1498 of 3141"
"Essex County",25009,2.2,6338,"1322 of 3141"
"Hampden County",25013,2.4,4228,"1139 of 3141"
"Suffolk County",25025,3.5,10560,"531 of 3141"
"Nantucket County",25019,4.1,155,"354 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
