------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '25', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Massachusetts by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"Massachusetts",25000,2.1,141378,"12 of 51"
"United States",00000,2.3,7354769,"N/A"
"Plymouth County",25023,1.1,5764,"818 of 3140"
"Essex County",25009,1.4,10465,"1086 of 3140"
"Bristol County",25005,1.4,7827,"1165 of 3140"
"Worcester County",25027,1.5,12338,"1288 of 3140"
"Hampden County",25013,1.6,7593,"1413 of 3140"
"Franklin County",25011,1.7,1176,"1461 of 3140"
"Barnstable County",25001,1.7,3566,"1467 of 3140"
"Norfolk County",25021,2.0,13995,"1816 of 3140"
"Nantucket County",25019,2.1,230,"1893 of 3140"
"Berkshire County",25003,2.5,3184,"2166 of 3140"
"Middlesex County",25017,2.6,40022,"2204 of 3140"
"Dukes County",25007,3.3,563,"2586 of 3140"
"Hampshire County",25015,3.5,5681,"2679 of 3140"
"Suffolk County",25025,3.8,28974,"2737 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
