------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '25', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Massachusetts by County
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"Massachusetts",25000,2.8,187038,"18 of 51"
"United States",00000,3.2,10247779,"N/A"
"Dukes County",25007,0.8,145,"32 of 3140"
"Berkshire County",25003,1.4,1816,"133 of 3140"
"Hampden County",25013,1.9,8923,"299 of 3140"
"Worcester County",25027,2.0,15818,"318 of 3140"
"Barnstable County",25001,2.0,4165,"321 of 3140"
"Essex County",25009,2.1,16002,"376 of 3140"
"Bristol County",25005,2.5,13600,"599 of 3140"
"Middlesex County",25017,2.6,39995,"666 of 3140"
"Plymouth County",25023,2.8,14041,"831 of 3140"
"Nantucket County",25019,3.4,370,"1272 of 3140"
"Franklin County",25011,3.5,2438,"1325 of 3140"
"Norfolk County",25021,4.0,27396,"1696 of 3140"
"Suffolk County",25025,4.1,31990,"1785 of 3140"
"Hampshire County",25015,6.5,10339,"2729 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different county this state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
