------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '25', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Massachusetts by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"United States",00000,85.4,270854872,"N/A"
"Massachusetts",25000,87.0,5842992,"6 of 51"
"Hampshire County",25015,78.9,126324,"3001 of 3140"
"Suffolk County",25025,80.5,621467,"2893 of 3140"
"Middlesex County",25017,86.5,1353082,"1808 of 3140"
"Hampden County",25013,87.1,404391,"1592 of 3140"
"Berkshire County",25003,87.7,111099,"1383 of 3140"
"Franklin County",25011,87.8,61739,"1334 of 3140"
"Nantucket County",25019,88.1,9518,"1231 of 3140"
"Norfolk County",25021,88.1,605143,"1230 of 3140"
"Bristol County",25005,88.6,488979,"1057 of 3140"
"Essex County",25009,88.6,680691,"1054 of 3140"
"Worcester County",25027,88.7,718173,"1043 of 3140"
"Plymouth County",25023,90.0,453544,"621 of 3140"
"Barnstable County",25001,90.8,192849,"447 of 3140"
"Dukes County",25007,93.1,15993,"126 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Haven't moved (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
