------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '25', 'areatype': 'county', 'topic': 'pop', 'demo': '00102', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_014.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Massachusetts by County
Population: Age 18-39
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 18-39),Rank within US
"United States",00000,29.8,95565066,"N/A"
"Massachusetts",25000,30.3,2055254,"41 of 52"
"Barnstable County",25001,20.4,43589,"222 of 3141"
"Dukes County",25007,23.4,4041,"792 of 3141"
"Franklin County",25011,24.6,17454,"1158 of 3141"
"Plymouth County",25023,24.8,126013,"1211 of 3141"
"Berkshire County",25003,25.2,32152,"1374 of 3141"
"Norfolk County",25021,27.2,189087,"2033 of 3141"
"Essex County",25009,27.3,211869,"2058 of 3141"
"Bristol County",25005,27.8,154868,"2180 of 3141"
"Worcester County",25027,28.2,230671,"2265 of 3141"
"Hampden County",25013,29.2,137106,"2481 of 3141"
"Nantucket County",25019,29.9,3265,"2599 of 3141"
"Middlesex County",25017,31.5,498943,"2781 of 3141"
"Hampshire County",25015,38.4,61934,"3050 of 3141"
"Suffolk County",25025,44.1,344262,"3110 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 18-39, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
