------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '25', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Massachusetts by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"United States",00000,5.5,17756436,"N/A"
"Massachusetts",25000,6.3,428478,"8 of 52"
"Dukes County",25007,0.3,53,"2375 of 3141"
"Plymouth County",25023,1.3,6480,"836 of 3141"
"Barnstable County",25001,1.6,3335,"685 of 3141"
"Berkshire County",25003,1.7,2138,"637 of 3141"
"Franklin County",25011,1.7,1196,"627 of 3141"
"Bristol County",25005,2.3,12537,"476 of 3141"
"Hampden County",25013,2.3,10587,"474 of 3141"
"Nantucket County",25019,2.4,266,"440 of 3141"
"Essex County",25009,3.5,26800,"273 of 3141"
"Worcester County",25027,4.7,38785,"176 of 3141"
"Hampshire County",25015,5.3,8578,"147 of 3141"
"Suffolk County",25025,8.7,67932,"59 of 3141"
"Norfolk County",25021,10.4,72124,"47 of 3141"
"Middlesex County",25017,11.2,177667,"41 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Asian / Pacific Islander, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
