------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '25', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Massachusetts by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"Massachusetts",25000,48.5,3293426,"6 of 52"
"United States",00000,49.2,158018753,"N/A"
"Hampshire County",25015,46.8,75492,"61 of 3141"
"Barnstable County",25001,47.8,102152,"185 of 3141"
"Dukes County",25007,47.9,8282,"235 of 3141"
"Norfolk County",25021,48.0,333237,"245 of 3141"
"Essex County",25009,48.2,373886,"315 of 3141"
"Hampden County",25013,48.3,226391,"347 of 3141"
"Berkshire County",25003,48.3,61741,"385 of 3141"
"Suffolk County",25025,48.4,377572,"406 of 3141"
"Bristol County",25005,48.4,269719,"438 of 3141"
"Plymouth County",25023,48.7,247788,"594 of 3141"
"Middlesex County",25017,48.8,773112,"736 of 3141"
"Franklin County",25011,48.9,34663,"761 of 3141"
"Worcester County",25027,49.3,403587,"1226 of 3141"
"Nantucket County",25019,53.2,5804,"2917 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Male, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
