------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '25', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Massachusetts by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"Massachusetts",25000,9.7,458080,"19 of 52"
"United States",00000,12.7,27437114,"N/A"
"Dukes County",25007,3.4,436,"18 of 3141"
"Barnstable County",25001,4.4,7287,"61 of 3141"
"Hampshire County",25015,5.5,5493,"151 of 3141"
"Nantucket County",25019,5.9,464,"181 of 3141"
"Norfolk County",25021,6.1,29749,"209 of 3141"
"Middlesex County",25017,7.2,79151,"370 of 3141"
"Franklin County",25011,7.2,3805,"377 of 3141"
"Plymouth County",25023,7.3,25749,"402 of 3141"
"Berkshire County",25003,9.2,8543,"833 of 3141"
"Worcester County",25027,9.7,54489,"967 of 3141"
"Essex County",25009,10.6,56716,"1192 of 3141"
"Hampden County",25013,14.6,46002,"1921 of 3141"
"Suffolk County",25025,14.8,79469,"1955 of 3141"
"Bristol County",25005,15.7,60727,"2090 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than High School, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
