------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '25', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Massachusetts by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"Massachusetts",25000,7.1,479017,"6 of 51"
"United States",00000,8.4,26717038,"N/A"
"Dukes County",25007,2.7,465,"192 of 3140"
"Norfolk County",25021,4.9,33347,"853 of 3140"
"Barnstable County",25001,5.0,10626,"918 of 3140"
"Plymouth County",25023,5.4,27387,"1134 of 3140"
"Nantucket County",25019,5.8,624,"1301 of 3140"
"Franklin County",25011,6.6,4658,"1732 of 3140"
"Middlesex County",25017,7.0,109049,"1853 of 3140"
"Bristol County",25005,7.0,38766,"1882 of 3140"
"Worcester County",25027,7.1,57714,"1921 of 3140"
"Essex County",25009,7.2,55188,"1952 of 3140"
"Berkshire County",25003,7.8,9904,"2208 of 3140"
"Hampden County",25013,8.8,40988,"2508 of 3140"
"Suffolk County",25025,9.6,74056,"2701 of 3140"
"Hampshire County",25015,10.1,16245,"2809 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, same county (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
