------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '25', 'areatype': 'county', 'topic': 'pop', 'demo': '00029', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_017.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Massachusetts by County
Population: Age 50 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 50 And Over),Rank within US
"United States",00000,34.5,110609456,"N/A"
"Massachusetts",25000,36.2,2454720,"17 of 52"
"Suffolk County",25025,27.3,212768,"3034 of 3141"
"Middlesex County",25017,34.5,545405,"2442 of 3141"
"Hampshire County",25015,35.3,56845,"2317 of 3141"
"Nantucket County",25019,35.9,3918,"2210 of 3141"
"Worcester County",25027,36.2,295797,"2178 of 3141"
"Hampden County",25013,36.3,170155,"2154 of 3141"
"Bristol County",25005,37.3,207629,"1956 of 3141"
"Norfolk County",25021,37.4,259625,"1924 of 3141"
"Essex County",25009,37.6,291913,"1865 of 3141"
"Plymouth County",25023,39.1,199309,"1546 of 3141"
"Franklin County",25011,44.5,31562,"566 of 3141"
"Berkshire County",25003,45.2,57706,"502 of 3141"
"Dukes County",25007,45.2,7810,"497 of 3141"
"Barnstable County",25001,53.4,114278,"73 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 50 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
