------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '40', 'areatype': 'county', 'topic': 'pop', 'demo': '00029', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_017.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oklahoma by County
Population: Age 50 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 50 And Over),Rank within US
"Oklahoma",40000,33.6,1308254,"41 of 52"
"United States",00000,34.5,110609456,"N/A"
"Payne County",40119,25.6,20660,"3085 of 3141"
"Texas County",40139,28.0,5984,"2995 of 3141"
"Comanche County",40031,28.4,34999,"2971 of 3141"
"Cleveland County",40027,29.5,80752,"2915 of 3141"
"Custer County",40039,30.2,8807,"2866 of 3141"
"Canadian County",40017,30.5,40505,"2843 of 3141"
"Oklahoma County",40109,30.8,238305,"2824 of 3141"
"Beckham County",40009,31.5,7227,"2774 of 3141"
"Jackson County",40065,31.7,8105,"2756 of 3141"
"Tulsa County",40143,31.7,202046,"2754 of 3141"
"Woodward County",40153,32.5,6878,"2672 of 3141"
"Woods County",40151,33.3,3038,"2592 of 3141"
"Cherokee County",40021,33.5,16212,"2570 of 3141"
"Pontotoc County",40123,33.7,12909,"2537 of 3141"
"Garfield County",40047,34.2,21326,"2473 of 3141"
"Adair County",40001,34.3,7590,"2454 of 3141"
"McClain County",40087,34.5,13082,"2439 of 3141"
"Pottawatomie County",40125,34.8,24891,"2395 of 3141"
"Wagoner County",40145,35.0,26873,"2360 of 3141"
"Caddo County",40015,35.0,10308,"2352 of 3141"
"Kingfisher County",40073,35.1,5441,"2338 of 3141"
"Logan County",40083,35.1,15927,"2327 of 3141"
"Carter County",40019,35.3,17088,"2307 of 3141"
"Muskogee County",40101,35.4,24588,"2294 of 3141"
"Bryan County",40013,35.5,15978,"2286 of 3141"
"Rogers County",40131,35.7,32192,"2241 of 3141"
"Grady County",40051,36.0,19556,"2195 of 3141"
"Ottawa County",40115,36.5,11592,"2112 of 3141"
"Okfuskee County",40107,36.7,4460,"2093 of 3141"
"Garvin County",40049,36.7,10185,"2088 of 3141"
"McCurtain County",40089,36.9,12191,"2042 of 3141"
"Seminole County",40133,36.9,9326,"2036 of 3141"
"Le Flore County",40079,37.0,18462,"2010 of 3141"
"Greer County",40055,37.4,2248,"1935 of 3141"
"Okmulgee County",40111,37.5,14658,"1906 of 3141"
"Creek County",40037,37.5,26592,"1892 of 3141"
"Love County",40085,37.7,3708,"1857 of 3141"
"Kay County",40071,37.8,17071,"1833 of 3141"
"Hughes County",40063,37.9,5122,"1818 of 3141"
"Sequoyah County",40135,37.9,15687,"1808 of 3141"
"Washita County",40149,37.9,4383,"1800 of 3141"
"Johnston County",40069,38.0,4191,"1792 of 3141"
"Harper County",40059,38.1,1464,"1767 of 3141"
"Mayes County",40097,38.2,15654,"1730 of 3141"
"Atoka County",40005,38.8,5386,"1629 of 3141"
"Washington County",40147,38.9,20179,"1596 of 3141"
"Lincoln County",40081,39.0,13573,"1569 of 3141"
"Beaver County",40007,39.1,2131,"1549 of 3141"
"Noble County",40103,39.2,4472,"1544 of 3141"
"Haskell County",40061,39.2,5001,"1528 of 3141"
"Stephens County",40137,39.3,17422,"1502 of 3141"
"Pittsburg County",40121,39.3,17572,"1501 of 3141"
"Pawnee County",40117,39.5,6491,"1465 of 3141"
"Harmon County",40057,39.6,1091,"1440 of 3141"
"Blaine County",40011,39.6,3837,"1423 of 3141"
"Cotton County",40033,39.7,2379,"1422 of 3141"
"Roger Mills County",40129,39.7,1482,"1413 of 3141"
"Dewey County",40043,39.7,1949,"1402 of 3141"
"Murray County",40099,40.0,5512,"1351 of 3141"
"Nowata County",40105,40.0,4182,"1333 of 3141"
"Tillman County",40141,40.1,3041,"1324 of 3141"
"Craig County",40035,40.1,5839,"1315 of 3141"
"Latimer County",40077,40.3,4280,"1274 of 3141"
"Osage County",40113,40.5,19168,"1222 of 3141"
"Choctaw County",40023,40.6,6085,"1183 of 3141"
"Coal County",40029,40.6,2303,"1180 of 3141"
"Major County",40093,40.8,3150,"1159 of 3141"
"Alfalfa County",40003,40.9,2403,"1130 of 3141"
"Kiowa County",40075,40.9,3732,"1128 of 3141"
"Jefferson County",40067,41.2,2581,"1066 of 3141"
"Marshall County",40095,41.9,6793,"946 of 3141"
"Ellis County",40045,42.8,1757,"784 of 3141"
"Pushmataha County",40127,43.4,4828,"705 of 3141"
"Grant County",40053,43.6,1942,"676 of 3141"
"Cimarron County",40025,44.0,978,"614 of 3141"
"Delaware County",40041,45.8,19166,"435 of 3141"
"McIntosh County",40091,46.7,9288,"358 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 50 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
