------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '40', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oklahoma by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Oklahoma",40000,24.8,634364,"45 of 52"
"United States",00000,30.9,66887603,"N/A"
"Nowata County",40105,11.5,832,"2887 of 3141"
"Okfuskee County",40107,12.1,996,"2826 of 3141"
"Hughes County",40063,12.4,1170,"2763 of 3141"
"Jefferson County",40067,12.5,535,"2756 of 3141"
"Choctaw County",40023,12.5,1280,"2749 of 3141"
"Haskell County",40061,12.9,1115,"2688 of 3141"
"McCurtain County",40089,13.5,2951,"2579 of 3141"
"Adair County",40001,13.6,1944,"2573 of 3141"
"McIntosh County",40091,13.6,1961,"2572 of 3141"
"Sequoyah County",40135,13.8,3888,"2534 of 3141"
"Seminole County",40133,13.9,2291,"2517 of 3141"
"Ottawa County",40115,14.0,2892,"2486 of 3141"
"Lincoln County",40081,14.3,3356,"2451 of 3141"
"Greer County",40055,14.3,614,"2440 of 3141"
"Atoka County",40005,14.6,1407,"2385 of 3141"
"Okmulgee County",40111,14.6,3772,"2381 of 3141"
"Marshall County",40095,14.6,1634,"2372 of 3141"
"Craig County",40035,14.7,1498,"2371 of 3141"
"Love County",40085,14.8,967,"2337 of 3141"
"Le Flore County",40079,14.9,5004,"2329 of 3141"
"Tillman County",40141,15.2,786,"2275 of 3141"
"Pushmataha County",40127,15.2,1194,"2274 of 3141"
"Mayes County",40097,15.4,4262,"2235 of 3141"
"Garvin County",40049,15.5,2875,"2216 of 3141"
"Creek County",40037,15.6,7482,"2197 of 3141"
"Pawnee County",40117,15.7,1765,"2182 of 3141"
"Cotton County",40033,15.8,646,"2166 of 3141"
"Pittsburg County",40121,16.3,5103,"2055 of 3141"
"Latimer County",40077,16.3,1166,"2046 of 3141"
"Delaware County",40041,16.5,4971,"2018 of 3141"
"Coal County",40029,16.6,629,"2010 of 3141"
"Johnston County",40069,16.6,1226,"2007 of 3141"
"Beckham County",40009,16.7,2523,"1989 of 3141"
"Major County",40093,16.7,878,"1982 of 3141"
"Caddo County",40015,17.0,3298,"1936 of 3141"
"Blaine County",40011,17.0,1180,"1930 of 3141"
"Kiowa County",40075,17.1,1079,"1920 of 3141"
"Stephens County",40137,17.4,5288,"1860 of 3141"
"Osage County",40113,18.0,5925,"1766 of 3141"
"Pottawatomie County",40125,18.0,8480,"1757 of 3141"
"Grady County",40051,18.9,6892,"1602 of 3141"
"Muskogee County",40101,18.9,8702,"1597 of 3141"
"Murray County",40099,19.8,1888,"1439 of 3141"
"Woodward County",40153,19.9,2742,"1421 of 3141"
"Beaver County",40007,19.9,720,"1420 of 3141"
"Kay County",40071,20.1,5979,"1394 of 3141"
"Carter County",40019,20.4,6529,"1330 of 3141"
"Texas County",40139,20.8,2703,"1265 of 3141"
"Roger Mills County",40129,20.8,508,"1262 of 3141"
"Alfalfa County",40003,20.9,906,"1241 of 3141"
"Jackson County",40065,21.1,3434,"1220 of 3141"
"Cimarron County",40025,21.2,333,"1199 of 3141"
"Washita County",40149,21.5,1662,"1166 of 3141"
"Ellis County",40045,21.6,614,"1163 of 3141"
"Dewey County",40043,21.8,703,"1133 of 3141"
"Comanche County",40031,21.9,16914,"1129 of 3141"
"Harmon County",40057,22.5,440,"1049 of 3141"
"Garfield County",40047,22.5,9154,"1048 of 3141"
"Bryan County",40013,22.5,6759,"1047 of 3141"
"Wagoner County",40145,22.7,11702,"1025 of 3141"
"Rogers County",40131,23.5,14117,"926 of 3141"
"Kingfisher County",40073,23.7,2401,"905 of 3141"
"Harper County",40059,23.8,609,"899 of 3141"
"Noble County",40103,23.9,1861,"890 of 3141"
"Cherokee County",40021,24.0,7193,"876 of 3141"
"McClain County",40087,24.1,6043,"864 of 3141"
"Grant County",40053,25.9,797,"737 of 3141"
"Canadian County",40017,26.2,22944,"714 of 3141"
"Custer County",40039,26.5,4510,"692 of 3141"
"Washington County",40147,27.0,9554,"651 of 3141"
"Logan County",40083,28.0,8338,"587 of 3141"
"Pontotoc County",40123,28.1,6967,"578 of 3141"
"Tulsa County",40143,30.9,128870,"427 of 3141"
"Oklahoma County",40109,31.2,156899,"413 of 3141"
"Woods County",40151,31.2,1801,"411 of 3141"
"Cleveland County",40027,32.1,55351,"373 of 3141"
"Payne County",40119,36.8,15962,"223 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: At least bachelors degree, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
