------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '40', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oklahoma by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"Oklahoma",40000,50.4,1965636,"20 of 52"
"United States",00000,50.8,162985654,"N/A"
"Alfalfa County",40003,40.4,2375,"39 of 3141"
"Greer County",40055,42.5,2555,"66 of 3141"
"Woods County",40151,45.8,4183,"152 of 3141"
"Hughes County",40063,46.4,6267,"184 of 3141"
"Okfuskee County",40107,46.4,5642,"188 of 3141"
"Texas County",40139,46.5,9965,"201 of 3141"
"Beckham County",40009,46.6,10708,"207 of 3141"
"Atoka County",40005,47.2,6559,"262 of 3141"
"Woodward County",40153,47.2,9985,"266 of 3141"
"Blaine County",40011,47.6,4610,"301 of 3141"
"Caddo County",40015,47.7,14054,"316 of 3141"
"Comanche County",40031,48.2,59311,"404 of 3141"
"Payne County",40119,48.8,39317,"525 of 3141"
"Tillman County",40141,48.9,3710,"557 of 3141"
"Craig County",40035,49.1,7147,"626 of 3141"
"Grant County",40053,49.2,2193,"664 of 3141"
"Pittsburg County",40121,49.3,22009,"691 of 3141"
"Latimer County",40077,49.3,5234,"699 of 3141"
"Harper County",40059,49.3,1895,"717 of 3141"
"Jefferson County",40067,49.6,3112,"893 of 3141"
"Cimarron County",40025,49.7,1103,"920 of 3141"
"Dewey County",40043,49.8,2440,"985 of 3141"
"Custer County",40039,49.8,14515,"990 of 3141"
"Le Flore County",40079,49.8,24832,"1031 of 3141"
"Osage County",40113,49.8,23602,"1072 of 3141"
"Murray County",40099,49.9,6879,"1085 of 3141"
"Cleveland County",40027,50.0,137054,"1211 of 3141"
"Grady County",40051,50.1,27205,"1243 of 3141"
"Pawnee County",40117,50.1,8234,"1251 of 3141"
"Mayes County",40097,50.1,20505,"1282 of 3141"
"Rogers County",40131,50.1,45175,"1330 of 3141"
"Logan County",40083,50.2,22733,"1341 of 3141"
"Jackson County",40065,50.2,12839,"1375 of 3141"
"Coal County",40029,50.2,2847,"1414 of 3141"
"Lincoln County",40081,50.3,17481,"1462 of 3141"
"Canadian County",40017,50.3,66854,"1466 of 3141"
"Johnston County",40069,50.3,5557,"1511 of 3141"
"Adair County",40001,50.4,11149,"1537 of 3141"
"Major County",40093,50.4,3894,"1545 of 3141"
"Haskell County",40061,50.4,6423,"1562 of 3141"
"Marshall County",40095,50.4,8177,"1566 of 3141"
"Beaver County",40007,50.4,2744,"1567 of 3141"
"Garvin County",40049,50.4,13986,"1568 of 3141"
"Washita County",40149,50.4,5821,"1569 of 3141"
"McClain County",40087,50.4,19119,"1588 of 3141"
"Creek County",40037,50.4,35757,"1607 of 3141"
"Cotton County",40033,50.5,3027,"1620 of 3141"
"Garfield County",40047,50.5,31494,"1626 of 3141"
"Kay County",40071,50.5,22798,"1643 of 3141"
"Kingfisher County",40073,50.6,7841,"1745 of 3141"
"Sequoyah County",40135,50.6,20913,"1754 of 3141"
"Wagoner County",40145,50.6,38869,"1791 of 3141"
"Delaware County",40041,50.6,21191,"1803 of 3141"
"McIntosh County",40091,50.6,10062,"1849 of 3141"
"Okmulgee County",40111,50.7,19823,"1912 of 3141"
"Nowata County",40105,50.7,5298,"1949 of 3141"
"Cherokee County",40021,50.7,24550,"1959 of 3141"
"Love County",40085,50.7,4993,"1973 of 3141"
"McCurtain County",40089,50.7,16758,"1991 of 3141"
"Kiowa County",40075,50.8,4634,"2026 of 3141"
"Ottawa County",40115,50.9,16155,"2176 of 3141"
"Noble County",40103,51.0,5822,"2228 of 3141"
"Seminole County",40133,51.1,12889,"2293 of 3141"
"Oklahoma County",40109,51.1,395361,"2319 of 3141"
"Muskogee County",40101,51.1,35493,"2341 of 3141"
"Pushmataha County",40127,51.1,5691,"2374 of 3141"
"Pontotoc County",40123,51.2,19609,"2461 of 3141"
"Tulsa County",40143,51.2,326311,"2462 of 3141"
"Harmon County",40057,51.3,1414,"2502 of 3141"
"Roger Mills County",40129,51.4,1918,"2566 of 3141"
"Washington County",40147,51.4,26671,"2608 of 3141"
"Bryan County",40013,51.4,23178,"2616 of 3141"
"Stephens County",40137,51.5,22817,"2662 of 3141"
"Carter County",40019,51.6,24958,"2692 of 3141"
"Choctaw County",40023,51.6,7731,"2720 of 3141"
"Ellis County",40045,51.7,2119,"2749 of 3141"
"Pottawatomie County",40125,52.4,37492,"2977 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Female, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
