------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '40', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oklahoma by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"United States",00000,49.2,158018753,"N/A"
"Oklahoma",40000,49.6,1930615,"33 of 52"
"Pottawatomie County",40125,47.6,34122,"165 of 3141"
"Ellis County",40045,48.3,1983,"393 of 3141"
"Choctaw County",40023,48.4,7248,"421 of 3141"
"Carter County",40019,48.4,23449,"450 of 3141"
"Stephens County",40137,48.5,21476,"480 of 3141"
"Bryan County",40013,48.6,21890,"526 of 3141"
"Washington County",40147,48.6,25196,"533 of 3141"
"Roger Mills County",40129,48.6,1816,"575 of 3141"
"Harmon County",40057,48.7,1344,"640 of 3141"
"Tulsa County",40143,48.8,310812,"680 of 3141"
"Pontotoc County",40123,48.8,18680,"681 of 3141"
"Pushmataha County",40127,48.9,5441,"768 of 3141"
"Muskogee County",40101,48.9,33978,"801 of 3141"
"Oklahoma County",40109,48.9,378842,"823 of 3141"
"Seminole County",40133,48.9,12357,"848 of 3141"
"Noble County",40103,49.0,5599,"914 of 3141"
"Ottawa County",40115,49.1,15570,"966 of 3141"
"Kiowa County",40075,49.2,4493,"1116 of 3141"
"McCurtain County",40089,49.3,16268,"1150 of 3141"
"Love County",40085,49.3,4850,"1169 of 3141"
"Cherokee County",40021,49.3,23854,"1183 of 3141"
"Nowata County",40105,49.3,5150,"1193 of 3141"
"Okmulgee County",40111,49.3,19298,"1230 of 3141"
"McIntosh County",40091,49.4,9812,"1293 of 3141"
"Delaware County",40041,49.4,20687,"1339 of 3141"
"Wagoner County",40145,49.4,37961,"1351 of 3141"
"Sequoyah County",40135,49.4,20451,"1388 of 3141"
"Kingfisher County",40073,49.4,7669,"1397 of 3141"
"Kay County",40071,49.5,22375,"1499 of 3141"
"Garfield County",40047,49.5,30927,"1516 of 3141"
"Cotton County",40033,49.6,2973,"1521 of 3141"
"Creek County",40037,49.6,35142,"1534 of 3141"
"McClain County",40087,49.6,18800,"1554 of 3141"
"Washita County",40149,49.6,5729,"1573 of 3141"
"Garvin County",40049,49.6,13765,"1574 of 3141"
"Beaver County",40007,49.6,2701,"1575 of 3141"
"Marshall County",40095,49.6,8049,"1576 of 3141"
"Haskell County",40061,49.6,6323,"1580 of 3141"
"Major County",40093,49.6,3836,"1597 of 3141"
"Adair County",40001,49.6,10987,"1605 of 3141"
"Johnston County",40069,49.7,5482,"1631 of 3141"
"Canadian County",40017,49.7,66068,"1676 of 3141"
"Lincoln County",40081,49.7,17278,"1680 of 3141"
"Coal County",40029,49.8,2819,"1728 of 3141"
"Jackson County",40065,49.8,12735,"1767 of 3141"
"Logan County",40083,49.8,22593,"1801 of 3141"
"Rogers County",40131,49.9,44923,"1812 of 3141"
"Mayes County",40097,49.9,20424,"1860 of 3141"
"Pawnee County",40117,49.9,8214,"1891 of 3141"
"Grady County",40051,49.9,27146,"1899 of 3141"
"Cleveland County",40027,50.0,136970,"1931 of 3141"
"Murray County",40099,50.1,6918,"2057 of 3141"
"Osage County",40113,50.2,23748,"2070 of 3141"
"Le Flore County",40079,50.2,25028,"2111 of 3141"
"Custer County",40039,50.2,14654,"2152 of 3141"
"Dewey County",40043,50.2,2464,"2157 of 3141"
"Cimarron County",40025,50.3,1118,"2222 of 3141"
"Jefferson County",40067,50.4,3158,"2248 of 3141"
"Harper County",40059,50.7,1948,"2424 of 3141"
"Latimer County",40077,50.7,5387,"2443 of 3141"
"Pittsburg County",40121,50.7,22664,"2450 of 3141"
"Grant County",40053,50.8,2265,"2478 of 3141"
"Craig County",40035,50.9,7416,"2516 of 3141"
"Tillman County",40141,51.1,3881,"2585 of 3141"
"Payne County",40119,51.2,41317,"2617 of 3141"
"Comanche County",40031,51.8,63755,"2738 of 3141"
"Caddo County",40015,52.3,15383,"2826 of 3141"
"Blaine County",40011,52.4,5070,"2840 of 3141"
"Woodward County",40153,52.8,11155,"2876 of 3141"
"Atoka County",40005,52.8,7340,"2880 of 3141"
"Beckham County",40009,53.4,12263,"2935 of 3141"
"Texas County",40139,53.5,11444,"2941 of 3141"
"Okfuskee County",40107,53.6,6518,"2954 of 3141"
"Hughes County",40063,53.6,7252,"2958 of 3141"
"Woods County",40151,54.2,4949,"2990 of 3141"
"Greer County",40055,57.5,3463,"3076 of 3141"
"Alfalfa County",40003,59.6,3502,"3103 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Male, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
