------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '40', 'areatype': 'county', 'topic': 'pop', 'demo': '00002', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_013.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oklahoma by County
Population: Age under 18
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age Under 18),Rank within US
"United States",00000,22.9,73601279,"N/A"
"Oklahoma",40000,24.5,956275,"8 of 52"
"Payne County",40119,19.4,15617,"2654 of 3141"
"Greer County",40055,19.5,1174,"2613 of 3141"
"Woods County",40151,19.7,1795,"2577 of 3141"
"Alfalfa County",40003,19.9,1171,"2512 of 3141"
"McIntosh County",40091,20.4,4061,"2349 of 3141"
"Delaware County",40041,20.9,8753,"2206 of 3141"
"Hughes County",40063,21.7,2933,"1914 of 3141"
"Latimer County",40077,22.1,2350,"1715 of 3141"
"Pittsburg County",40121,22.1,9894,"1704 of 3141"
"Craig County",40035,22.2,3231,"1680 of 3141"
"Cleveland County",40027,22.2,60931,"1659 of 3141"
"Blaine County",40011,22.3,2155,"1648 of 3141"
"Pushmataha County",40127,22.3,2480,"1635 of 3141"
"Atoka County",40005,22.5,3132,"1528 of 3141"
"Osage County",40113,22.9,10852,"1359 of 3141"
"Cherokee County",40021,22.9,11095,"1357 of 3141"
"Nowata County",40105,23.2,2419,"1251 of 3141"
"Cotton County",40033,23.2,1390,"1245 of 3141"
"Sequoyah County",40135,23.4,9663,"1157 of 3141"
"Marshall County",40095,23.4,3800,"1138 of 3141"
"Bryan County",40013,23.4,10558,"1132 of 3141"
"Murray County",40099,23.4,3233,"1130 of 3141"
"Okfuskee County",40107,23.5,2856,"1107 of 3141"
"Harmon County",40057,23.5,648,"1104 of 3141"
"Stephens County",40137,23.6,10475,"1035 of 3141"
"Washington County",40147,23.7,12269,"1032 of 3141"
"Ellis County",40045,23.7,971,"1024 of 3141"
"Jefferson County",40067,23.7,1485,"1021 of 3141"
"Kiowa County",40075,23.8,2169,"986 of 3141"
"Pontotoc County",40123,23.8,9103,"978 of 3141"
"Logan County",40083,23.9,10832,"927 of 3141"
"Le Flore County",40079,24.0,11951,"892 of 3141"
"Noble County",40103,24.0,2740,"883 of 3141"
"Mayes County",40097,24.0,9830,"871 of 3141"
"Pawnee County",40117,24.1,3956,"859 of 3141"
"Comanche County",40031,24.1,29683,"828 of 3141"
"Tillman County",40141,24.2,1835,"799 of 3141"
"Okmulgee County",40111,24.2,9458,"798 of 3141"
"Creek County",40037,24.2,17175,"774 of 3141"
"Pottawatomie County",40125,24.3,17403,"749 of 3141"
"Choctaw County",40023,24.3,3641,"748 of 3141"
"Cimarron County",40025,24.3,540,"747 of 3141"
"Haskell County",40061,24.3,3103,"736 of 3141"
"Grant County",40053,24.4,1087,"725 of 3141"
"Rogers County",40131,24.4,21992,"716 of 3141"
"Grady County",40051,24.4,13286,"706 of 3141"
"Muskogee County",40101,24.5,17034,"685 of 3141"
"Johnston County",40069,24.5,2707,"684 of 3141"
"Lincoln County",40081,24.6,8536,"674 of 3141"
"Coal County",40029,24.8,1405,"607 of 3141"
"Custer County",40039,24.9,7258,"574 of 3141"
"Ottawa County",40115,24.9,7912,"559 of 3141"
"Wagoner County",40145,25.1,19273,"524 of 3141"
"Kay County",40071,25.1,11337,"518 of 3141"
"Garvin County",40049,25.1,6972,"514 of 3141"
"Love County",40085,25.2,2480,"497 of 3141"
"Caddo County",40015,25.3,7436,"484 of 3141"
"McCurtain County",40089,25.3,8363,"474 of 3141"
"Beckham County",40009,25.4,5831,"466 of 3141"
"Major County",40093,25.4,1965,"461 of 3141"
"Seminole County",40133,25.4,6423,"457 of 3141"
"Carter County",40019,25.5,12329,"451 of 3141"
"Tulsa County",40143,25.5,162327,"448 of 3141"
"Woodward County",40153,25.5,5388,"445 of 3141"
"Washita County",40149,25.6,2961,"416 of 3141"
"Oklahoma County",40109,25.7,198781,"410 of 3141"
"Jackson County",40065,25.7,6573,"406 of 3141"
"Beaver County",40007,25.7,1402,"400 of 3141"
"McClain County",40087,25.8,9801,"379 of 3141"
"Roger Mills County",40129,26.0,970,"367 of 3141"
"Garfield County",40047,26.0,16237,"362 of 3141"
"Canadian County",40017,26.4,35081,"324 of 3141"
"Adair County",40001,26.4,5851,"317 of 3141"
"Dewey County",40043,26.8,1312,"283 of 3141"
"Harper County",40059,27.0,1037,"256 of 3141"
"Kingfisher County",40073,27.1,4202,"240 of 3141"
"Texas County",40139,27.6,5916,"199 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age under 18, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
