------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '40', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oklahoma by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"United States",00000,23.7,74202606,"N/A"
"Oklahoma",40000,27.0,1022438,"43 of 52"
"Canadian County",40017,15.4,20160,"260 of 3141"
"McClain County",40087,16.0,5999,"297 of 3141"
"Rogers County",40131,17.8,15752,"464 of 3141"
"Grant County",40053,17.8,775,"466 of 3141"
"Kingfisher County",40073,18.9,2886,"595 of 3141"
"Wagoner County",40145,19.9,15206,"732 of 3141"
"Cleveland County",40027,20.2,52749,"769 of 3141"
"Noble County",40103,20.4,2308,"796 of 3141"
"Major County",40093,20.4,1546,"798 of 3141"
"Alfalfa County",40003,20.8,1000,"850 of 3141"
"Woodward County",40153,20.8,4187,"855 of 3141"
"Woods County",40151,22.4,1857,"1070 of 3141"
"Grady County",40051,22.5,12057,"1081 of 3141"
"Washita County",40149,23.1,2599,"1154 of 3141"
"Washington County",40147,23.6,11990,"1233 of 3141"
"Murray County",40099,23.9,3192,"1263 of 3141"
"Logan County",40083,24.0,10520,"1292 of 3141"
"Beaver County",40007,24.7,1317,"1404 of 3141"
"Harper County",40059,25.3,966,"1484 of 3141"
"Tulsa County",40143,25.4,159247,"1500 of 3141"
"Creek County",40037,25.5,17760,"1509 of 3141"
"Love County",40085,25.8,2499,"1555 of 3141"
"Lincoln County",40081,26.3,8986,"1614 of 3141"
"Cotton County",40033,26.4,1539,"1640 of 3141"
"Pontotoc County",40123,26.6,9788,"1676 of 3141"
"Osage County",40113,26.7,12215,"1698 of 3141"
"Garfield County",40047,26.9,16303,"1718 of 3141"
"Beckham County",40009,27.0,5715,"1743 of 3141"
"Stephens County",40137,27.3,11862,"1775 of 3141"
"Roger Mills County",40129,27.3,1005,"1776 of 3141"
"Pottawatomie County",40125,27.4,18673,"1789 of 3141"
"Carter County",40019,27.5,13028,"1799 of 3141"
"Texas County",40139,27.6,5771,"1823 of 3141"
"Oklahoma County",40109,27.9,211077,"1864 of 3141"
"Pittsburg County",40121,28.0,11934,"1887 of 3141"
"Pawnee County",40117,28.1,4558,"1894 of 3141"
"Nowata County",40105,29.0,2966,"2012 of 3141"
"Marshall County",40095,29.0,4610,"2015 of 3141"
"Jackson County",40065,29.2,7199,"2043 of 3141"
"Harmon County",40057,29.2,773,"2047 of 3141"
"Comanche County",40031,29.3,33249,"2053 of 3141"
"Blaine County",40011,30.2,2465,"2164 of 3141"
"Kay County",40071,30.2,13347,"2165 of 3141"
"Ellis County",40045,30.5,1238,"2201 of 3141"
"Custer County",40039,30.8,8489,"2232 of 3141"
"Mayes County",40097,30.9,12435,"2244 of 3141"
"Garvin County",40049,31.0,8490,"2252 of 3141"
"Coal County",40029,31.1,1721,"2260 of 3141"
"Dewey County",40043,31.4,1500,"2308 of 3141"
"Caddo County",40015,31.9,9030,"2350 of 3141"
"McIntosh County",40091,32.1,6285,"2369 of 3141"
"Bryan County",40013,32.1,14026,"2372 of 3141"
"Cimarron County",40025,32.3,709,"2385 of 3141"
"Craig County",40035,33.6,4640,"2516 of 3141"
"Tillman County",40141,33.6,2434,"2518 of 3141"
"Hughes County",40063,33.7,4002,"2525 of 3141"
"Muskogee County",40101,33.8,22159,"2531 of 3141"
"Delaware County",40041,33.9,13993,"2535 of 3141"
"Okmulgee County",40111,34.0,12796,"2543 of 3141"
"Cherokee County",40021,34.0,15849,"2545 of 3141"
"Latimer County",40077,34.1,3477,"2546 of 3141"
"Atoka County",40005,34.1,4170,"2556 of 3141"
"Johnston County",40069,34.4,3688,"2579 of 3141"
"Pushmataha County",40127,34.6,3799,"2603 of 3141"
"Haskell County",40061,34.6,4371,"2604 of 3141"
"Greer County",40055,35.1,1752,"2643 of 3141"
"Kiowa County",40075,35.6,3150,"2677 of 3141"
"Jefferson County",40067,35.7,2183,"2686 of 3141"
"Seminole County",40133,35.8,8764,"2694 of 3141"
"Le Flore County",40079,36.0,17452,"2703 of 3141"
"Ottawa County",40115,36.0,11045,"2713 of 3141"
"Payne County",40119,36.1,26198,"2720 of 3141"
"McCurtain County",40089,38.5,12511,"2861 of 3141"
"Okfuskee County",40107,39.3,4363,"2892 of 3141"
"Sequoyah County",40135,39.4,16080,"2894 of 3141"
"Adair County",40001,43.7,9556,"3026 of 3141"
"Choctaw County",40023,43.7,6448,"3027 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below 150% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
