------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '40', 'areatype': 'county', 'topic': 'pop', 'demo': '00023', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_019.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oklahoma by County
Population: American Indian/Alaska Native
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (AI/AN),Rank within US
"United States",00000,0.8,2632102,"N/A"
"Oklahoma",40000,7.4,289871,"4 of 52"
"Harmon County",40057,0.3,8,"1770 of 3141"
"Harper County",40059,0.3,12,"1667 of 3141"
"Grant County",40053,0.5,21,"1218 of 3141"
"Beaver County",40007,0.6,30,"1090 of 3141"
"Texas County",40139,0.6,121,"1064 of 3141"
"Cimarron County",40025,0.6,13,"1038 of 3141"
"Dewey County",40043,0.8,40,"789 of 3141"
"Washita County",40149,1.1,125,"610 of 3141"
"Woods County",40151,1.3,122,"518 of 3141"
"Beckham County",40009,1.5,342,"472 of 3141"
"Woodward County",40153,1.5,323,"454 of 3141"
"Ellis County",40045,1.9,76,"411 of 3141"
"Alfalfa County",40003,1.9,110,"407 of 3141"
"Jackson County",40065,1.9,495,"393 of 3141"
"Garfield County",40047,2.1,1280,"377 of 3141"
"Custer County",40039,2.2,634,"364 of 3141"
"Roger Mills County",40129,2.2,84,"359 of 3141"
"Tillman County",40141,2.3,172,"355 of 3141"
"Major County",40093,2.6,198,"319 of 3141"
"Oklahoma County",40109,2.8,21605,"300 of 3141"
"Greer County",40055,3.1,187,"283 of 3141"
"Kingfisher County",40073,3.3,509,"272 of 3141"
"Logan County",40083,3.5,1602,"259 of 3141"
"Cleveland County",40027,3.7,10212,"248 of 3141"
"Canadian County",40017,3.8,5084,"240 of 3141"
"Kiowa County",40075,4.6,416,"220 of 3141"
"Tulsa County",40143,4.7,29880,"212 of 3141"
"Payne County",40119,5.1,4075,"204 of 3141"
"Grady County",40051,5.2,2830,"197 of 3141"
"Stephens County",40137,5.3,2348,"195 of 3141"
"Garvin County",40049,5.5,1519,"190 of 3141"
"Comanche County",40031,5.5,6745,"189 of 3141"
"McClain County",40087,5.7,2174,"182 of 3141"
"Johnston County",40069,6.1,668,"178 of 3141"
"Love County",40085,6.2,614,"176 of 3141"
"Blaine County",40011,7.0,676,"167 of 3141"
"Jefferson County",40067,7.2,452,"163 of 3141"
"Pittsburg County",40121,7.5,3341,"155 of 3141"
"Carter County",40019,7.5,3644,"154 of 3141"
"Marshall County",40095,7.5,1223,"153 of 3141"
"Noble County",40103,7.6,865,"151 of 3141"
"Kay County",40071,7.9,3576,"143 of 3141"
"Lincoln County",40081,8.0,2782,"141 of 3141"
"Murray County",40099,8.4,1162,"137 of 3141"
"Wagoner County",40145,8.5,6516,"136 of 3141"
"Pontotoc County",40123,8.8,3359,"133 of 3141"
"Cotton County",40033,9.0,537,"130 of 3141"
"Le Flore County",40079,10.4,5205,"117 of 3141"
"Washington County",40147,10.5,5470,"116 of 3141"
"Atoka County",40005,11.6,1606,"104 of 3141"
"Rogers County",40131,11.7,10556,"103 of 3141"
"Creek County",40037,11.8,8393,"101 of 3141"
"Pawnee County",40117,12.5,2062,"97 of 3141"
"Coal County",40029,13.1,742,"95 of 3141"
"McCurtain County",40089,13.5,4455,"91 of 3141"
"Okmulgee County",40111,13.6,5313,"90 of 3141"
"Okfuskee County",40107,13.7,1667,"87 of 3141"
"Osage County",40113,13.7,6504,"86 of 3141"
"Pushmataha County",40127,13.8,1541,"85 of 3141"
"Haskell County",40061,14.2,1804,"82 of 3141"
"Mayes County",40097,14.6,5957,"78 of 3141"
"Pottawatomie County",40125,14.7,10501,"77 of 3141"
"Bryan County",40013,15.4,6923,"74 of 3141"
"Ottawa County",40115,15.4,4895,"73 of 3141"
"Choctaw County",40023,15.5,2328,"72 of 3141"
"McIntosh County",40091,16.5,3283,"68 of 3141"
"Nowata County",40105,16.5,1726,"67 of 3141"
"Muskogee County",40101,18.3,12683,"63 of 3141"
"Sequoyah County",40135,19.2,7948,"62 of 3141"
"Hughes County",40063,20.0,2709,"60 of 3141"
"Seminole County",40133,20.1,5082,"59 of 3141"
"Latimer County",40077,20.6,2191,"58 of 3141"
"Craig County",40035,20.9,3042,"56 of 3141"
"Delaware County",40041,21.3,8925,"54 of 3141"
"Caddo County",40015,24.6,7248,"50 of 3141"
"Cherokee County",40021,34.5,16688,"42 of 3141"
"Adair County",40001,43.4,9617,"31 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: American Indian/Alaska Native, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
