------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '40', 'areatype': 'county', 'topic': 'ins', 'demo': '00043', 'race': '00', 'sex': '0', 'age': '006', 'type': 'manyareacensus', 'file_name': 'demographics_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=40&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Oklahoma by County
"Insurance: Percent uninsured in demographic group, people at or below 138% of poverty"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2017 Small Area Health Insurance Estimates Data
Sorted by Value

County, FIPS,Value (Percent),People (Uninsured),Rank within US
"Oklahoma",40000,26.4,208798,"49 of 51"
"Greer County",40055,20.0,252,"1963 of 3139"
"Kay County",40071,22.0,2147,"2232 of 3139"
"Okmulgee County",40111,22.7,2145,"2322 of 3139"
"Comanche County",40031,23.0,6100,"2360 of 3139"
"Kiowa County",40075,23.6,564,"2427 of 3139"
"Creek County",40037,24.2,3226,"2485 of 3139"
"Grady County",40051,24.5,2171,"2514 of 3139"
"Pottawatomie County",40125,24.7,3736,"2534 of 3139"
"Seminole County",40133,24.8,1678,"2541 of 3139"
"Cleveland County",40027,25.0,10545,"2556 of 3139"
"Stephens County",40137,25.1,2137,"2571 of 3139"
"Jackson County",40065,25.3,1379,"2589 of 3139"
"Carter County",40019,25.4,2522,"2596 of 3139"
"Oklahoma County",40109,25.5,42950,"2601 of 3139"
"Ottawa County",40115,25.5,2139,"2601 of 3139"
"Tulsa County",40143,25.5,31670,"2601 of 3139"
"Logan County",40083,25.8,1780,"2616 of 3139"
"Payne County",40119,25.8,5466,"2616 of 3139"
"Pontotoc County",40123,25.8,1986,"2616 of 3139"
"Craig County",40035,26.0,859,"2632 of 3139"
"Okfuskee County",40107,26.0,853,"2632 of 3139"
"Noble County",40103,26.1,457,"2641 of 3139"
"Woods County",40151,26.1,336,"2641 of 3139"
"Choctaw County",40023,26.2,1185,"2649 of 3139"
"Beckham County",40009,26.3,1132,"2657 of 3139"
"Jefferson County",40067,26.3,431,"2657 of 3139"
"Sequoyah County",40135,26.5,3052,"2675 of 3139"
"Muskogee County",40101,26.6,4477,"2683 of 3139"
"McCurtain County",40089,26.9,2500,"2708 of 3139"
"Murray County",40099,26.9,689,"2708 of 3139"
"Osage County",40113,26.9,2316,"2708 of 3139"
"Haskell County",40061,27.0,929,"2719 of 3139"
"Pawnee County",40117,27.0,912,"2719 of 3139"
"Pushmataha County",40127,27.0,776,"2719 of 3139"
"Rogers County",40131,27.0,3203,"2719 of 3139"
"Blaine County",40011,27.1,498,"2730 of 3139"
"Johnston County",40069,27.1,722,"2730 of 3139"
"Latimer County",40077,27.2,640,"2741 of 3139"
"Washita County",40149,27.2,624,"2741 of 3139"
"Atoka County",40005,27.3,917,"2751 of 3139"
"Garvin County",40049,27.3,1761,"2751 of 3139"
"Mayes County",40097,27.3,2565,"2751 of 3139"
"Le Flore County",40079,27.4,3615,"2762 of 3139"
"Caddo County",40015,27.6,1901,"2778 of 3139"
"Coal County",40029,27.6,386,"2778 of 3139"
"Hughes County",40063,27.6,828,"2778 of 3139"
"Bryan County",40013,27.7,3071,"2785 of 3139"
"McClain County",40087,27.7,1443,"2785 of 3139"
"Lincoln County",40081,27.9,2015,"2793 of 3139"
"Tillman County",40141,28.0,516,"2799 of 3139"
"McIntosh County",40091,28.1,1321,"2803 of 3139"
"Canadian County",40017,28.6,4550,"2824 of 3139"
"Adair County",40001,29.0,2128,"2841 of 3139"
"Cotton County",40033,29.1,358,"2846 of 3139"
"Pittsburg County",40121,29.2,2605,"2851 of 3139"
"Washington County",40147,29.3,2659,"2861 of 3139"
"Wagoner County",40145,29.5,3401,"2870 of 3139"
"Grant County",40053,29.6,211,"2876 of 3139"
"Garfield County",40047,29.8,3538,"2885 of 3139"
"Woodward County",40153,29.9,1008,"2891 of 3139"
"Nowata County",40105,30.2,656,"2910 of 3139"
"Love County",40085,30.3,585,"2916 of 3139"
"Roger Mills County",40129,30.3,205,"2916 of 3139"
"Custer County",40039,32.1,1980,"2971 of 3139"
"Alfalfa County",40003,32.2,259,"2977 of 3139"
"Delaware County",40041,32.3,3210,"2981 of 3139"
"Major County",40093,32.4,397,"2984 of 3139"
"Ellis County",40045,32.8,223,"2997 of 3139"
"Harmon County",40057,33.1,224,"3007 of 3139"
"Cherokee County",40021,33.3,4390,"3017 of 3139"
"Dewey County",40043,33.9,300,"3029 of 3139"
"Marshall County",40095,34.0,1185,"3036 of 3139"
"Texas County",40139,35.1,1588,"3066 of 3139"
"Beaver County",40007,36.0,333,"3079 of 3139"
"Kingfisher County",40073,36.4,775,"3087 of 3139"
"Cimarron County",40025,37.2,187,"3094 of 3139"
"Harper County",40059,44.7,320,"3130 of 3139"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & Small Area Health Insurance Estimates (https://www.census.gov/programs-surveys/sahie.html).
"For more information about Insurance: Percent uninsured in demographic group, people at or below 138% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#insurance."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
